,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,3556.0,2.52,,,,141731.9
1997-08-01,,2900.0,2.05,20.4,,,251880.4
1997-09-01,,2978.0,2.11,21.0,,,96872.1
1997-10-01,,2650.0,1.88,18.7,,,86458.8
1997-11-01,,2826.0,2.0,19.9,,,79288.2
1997-12-01,,2750.0,1.95,19.4,,,83614.9
1998-01-01,,3008.0,2.13,21.2,,,82299.9
1998-02-01,,3098.0,2.19,21.8,,,121272.4
1998-03-01,,2910.0,2.06,20.5,,,100069.3
1998-04-01,,2920.0,2.07,28.6,,,64995.8
1998-05-01,,3108.0,2.2,30.5,,,138236.7
1998-06-01,,3232.0,2.29,31.7,,,117655.2
1998-07-01,,3202.0,2.27,31.4,,,235101.9
1998-08-01,,3324.0,2.35,32.6,,,69099.4
1998-09-01,,2920.0,2.07,26.1,,,60136.6
1998-10-01,,3090.0,2.19,27.6,,,68573.7
1998-11-01,,3070.0,2.17,27.4,,,53064.7
1998-12-01,,3215.99,2.28,28.7,,,79512.3
1999-01-01,,3392.0,2.4,30.3,,,122518.6
1999-02-01,,3278.0,2.32,26.9,,,74030.4
1999-03-01,,3070.0,2.17,25.2,,,22396.0
1999-04-01,,3180.0,2.25,26.1,,,63434.4
1999-05-01,,3030.0,2.15,24.8,,,43558.6
1999-06-01,,3176.0,2.25,26.0,,,83222.6
1999-07-01,,4502.39,3.19,36.9,,,338914.0
1999-08-01,,5040.0,3.57,41.3,,,180307.3
1999-09-01,,5016.0,3.55,37.7,,,73488.3
1999-10-01,,4869.59,3.45,36.6,,,72858.5
1999-11-01,,4898.39,3.47,36.8,,,22028.0
1999-12-01,,4684.79,3.32,35.2,,,26146.1
2000-01-01,4.92,4692.0,3.32,35.3,4.92,,16524.7
2000-02-01,6.04,5762.39,4.08,43.3,6.04,,147296.6
2000-03-01,6.54,6237.59,4.42,46.9,6.54,,207961.3
2000-04-01,5.96,5685.59,4.03,42.8,5.96,,123410.1
2000-05-01,5.78,5515.2,3.91,41.5,5.78,,70316.6
2000-06-01,6.21,5918.39,4.19,44.5,6.21,,85972.2
2000-07-01,5.84,5572.79,3.95,41.9,5.84,,63732.0
2000-08-01,6.13,5844.0,4.14,44.0,6.13,,66699.6
2000-09-01,5.78,5515.2,3.91,41.5,5.78,,53265.3
2000-10-01,5.39,5136.0,3.64,40.1,5.39,,23939.5
2000-11-01,5.94,5666.39,4.01,44.2,5.94,,70504.9
2000-12-01,6.01,5726.39,4.06,44.7,6.01,,49025.5
2001-01-01,4.48,5575.2,3.95,43.5,4.27,,34566.8
2001-02-01,4.6,5731.2,4.06,44.7,4.39,,62061.7
2001-03-01,4.31,5367.46,3.99,45.1,4.31,,29827.5
2001-04-01,4.75,5910.45,4.39,49.7,4.75,,60617.1
2001-05-01,4.84,6029.95,4.48,38.0,4.85,,90536.1
2001-06-01,5.55,6902.88,5.13,43.6,5.55,,78974.8
2001-07-01,5.56,6921.34,5.14,43.7,5.56,,68842.9
2001-08-01,4.85,6032.12,4.48,38.1,4.85,,53436.4
2001-09-01,5.11,6353.96,4.72,40.1,5.11,,68444.1
2001-10-01,5.19,6460.14,4.8,40.8,5.19,,107107.3
2001-11-01,5.17,6433.6,4.78,40.6,5.17,,95751.6
2001-12-01,5.16,6417.01,4.77,40.5,5.16,,55480.2
2002-01-01,4.65,6486.68,4.82,40.9,4.65,,57568.7
2002-02-01,4.6,6420.32,4.77,31.7,4.6,,71366.6
2002-03-01,4.63,6450.18,4.79,31.9,4.63,,29006.1
2002-04-01,4.55,6337.37,4.71,31.3,4.55,,79078.7
2002-05-01,4.49,6254.42,4.65,30.9,4.49,,28711.3
2002-06-01,4.14,5766.68,4.29,28.5,4.14,,28384.8
2002-07-01,4.61,6423.64,4.77,31.7,4.61,,83486.8
2002-08-01,4.28,5969.07,4.44,29.5,4.28,,23121.5
2002-09-01,4.47,6227.88,4.63,30.8,4.47,,25039.8
2002-10-01,4.44,6188.07,4.6,30.6,4.44,,13606.1
2002-11-01,4.42,6168.16,4.58,27.7,4.42,,9836.3
2002-12-01,4.12,5740.13,4.27,25.8,4.12,,19946.8
2003-01-01,3.47,5680.41,4.22,25.6,3.47,,9130.0
2003-02-01,3.53,5773.32,4.29,26.0,3.53,,26367.5
2003-03-01,3.62,5919.31,4.4,26.6,3.62,,11872.9
