,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,546.34,1.12,,,,7673.6
1994-02-01,,405.9,0.83,,,,53913.9
1994-03-01,,436.75,0.9,,,,49699.0
1994-04-01,,429.44,0.88,,,,138024.1
1994-05-01,,393.72,0.81,,,,176026.9
1994-06-01,,375.05,0.77,,,,83008.9
1994-07-01,,259.13,0.53,,,,45263.4
1994-08-01,,243.54,0.5,,,,53674.8
1994-09-01,,448.11,0.92,,,,712581.6
1994-10-01,,364.34,0.75,,,,376448.6
1994-11-01,,321.47,0.66,,,,227713.9
1994-12-01,,308.81,0.63,,,,140813.8
1995-01-01,,283.48,0.58,,,,31675.0
1995-02-01,,256.2,0.53,,,,20777.5
1995-03-01,,242.57,0.5,,,,16725.2
1995-04-01,,269.84,0.55,10.3,,,54614.8
1995-05-01,,225.03,0.46,8.6,,,39231.7
1995-06-01,,262.05,0.54,10.0,,,117280.9
1995-07-01,,272.76,0.56,10.4,,,244028.4
1995-08-01,,369.66,0.66,12.2,,,360835.2
1995-09-01,,461.78,0.82,15.3,,,832631.3
1995-10-01,,492.1,0.88,16.3,,,274662.9
1995-11-01,,501.43,0.89,16.6,,,409282.8
1995-12-01,,390.65,0.7,12.9,,,131421.1
1996-01-01,,353.33,0.63,11.7,,,65340.2
1996-02-01,,368.49,0.66,12.2,,,137126.4
1996-03-01,,378.99,0.67,12.5,,,40036.3
1996-04-01,,425.63,0.76,14.1,,,147233.2
1996-05-01,,513.09,0.91,17.0,,,442322.8
1996-06-01,,399.98,0.71,13.2,,,206533.8
1996-07-01,,409.3,0.73,13.6,,,138466.0
1996-08-01,,427.96,0.76,14.2,,,228122.4
1996-09-01,,429.13,0.76,14.2,,,90263.3
1996-10-01,,430.29,0.77,14.2,,,144761.6
1996-11-01,,1058.83,1.89,35.1,,,1258554.0
1996-12-01,,1090.31,1.94,36.1,,,542511.9
1997-01-01,,667.01,1.19,22.1,,,472125.3
1997-02-01,,711.33,1.27,23.6,,,373660.3
1997-03-01,,848.93,1.51,72.8,,,343567.4
1997-04-01,,857.09,1.53,73.5,,,376919.4
1997-05-01,,900.24,1.6,77.2,,,608786.8
1997-06-01,,707.83,1.26,60.7,,,220919.3
1997-07-01,,573.73,1.02,49.2,,,97626.1
1997-08-01,,630.87,1.12,54.1,,,169789.4
1997-09-01,,726.49,1.29,62.3,,,243348.1
1997-10-01,,622.7,1.11,53.4,,,201102.4
1997-11-01,,618.04,1.1,53.0,,,93448.3
1997-12-01,,623.87,1.11,53.5,,,180867.4
1998-01-01,,618.04,1.1,53.0,,,86488.3
1998-02-01,,757.97,1.35,65.0,,,264497.9
1998-03-01,,798.79,1.42,68.5,,,119851.1
1998-04-01,,797.62,1.42,68.4,,,149000.5
1998-05-01,,1050.66,1.87,90.1,,,442595.7
1998-06-01,,1218.58,2.17,40.2,,,297914.0
1998-07-01,,1140.46,2.03,37.6,,,164246.3
1998-08-01,,915.4,1.63,30.2,,,199670.7
1998-09-01,,826.77,1.47,27.3,,,114630.6
1998-10-01,,916.56,1.63,25.4,,,198192.2
1998-11-01,,839.6,1.5,23.2,,,93604.9
1998-12-01,,825.61,1.47,22.8,,,90685.7
1999-01-01,,729.98,1.3,20.2,,,29232.7
1999-02-01,3.5,824.44,1.47,22.8,,,46111.0
1999-03-01,3.3,778.96,1.39,21.5,,,18850.2
1999-04-01,3.51,827.94,1.47,22.9,,,86414.8
1999-05-01,3.21,757.97,1.35,21.0,,,59108.1
1999-06-01,3.4,802.28,1.43,28.7,,,65025.6
1999-07-01,6.08,1433.15,2.55,51.2,,,449552.8
1999-08-01,4.96,1169.61,2.08,41.8,,,414061.1
1999-09-01,4.78,1126.46,2.01,48.3,,,226473.3
1999-10-01,4.31,1016.85,1.81,43.6,,,79972.5
1999-11-01,3.95,931.72,1.66,40.0,,,36785.8
1999-12-01,4.1,967.87,1.72,41.5,,,61208.4
2000-01-01,4.39,845.43,1.51,36.3,4.39,,28167.8
2000-02-01,4.52,869.92,1.55,37.3,4.52,,74166.6
2000-03-01,5.02,965.54,1.72,41.4,5.02,,110676.2
2000-04-01,5.49,1056.5,1.88,45.3,5.49,,293566.4
2000-05-01,5.31,1021.51,1.82,43.8,5.31,,122086.4
2000-06-01,6.54,1258.23,2.24,107.9,6.54,,168127.7
2000-07-01,6.01,1155.61,2.06,99.1,6.01,,246752.4
2000-08-01,7.24,1393.5,2.48,119.5,7.24,,247206.3
2000-09-01,7.08,1362.02,2.43,,7.08,,255152.3
2000-10-01,7.67,1475.13,2.63,,7.67,,106982.6
2000-11-01,8.04,1547.43,2.76,,8.04,,175637.8
2000-12-01,8.06,1550.93,2.76,,8.06,,149396.8
2001-01-01,7.85,1497.28,2.67,,7.85,,88145.3
2001-02-01,7.34,1399.33,2.49,,7.34,,33807.5
2001-03-01,6.19,1180.1,2.1,,6.19,,30142.3
2001-04-01,7.5,1430.82,2.55,,7.5,,58288.3
2001-05-01,8.11,1546.26,2.75,,8.11,,129404.1
2001-06-01,9.1,1735.17,3.09,,9.1,,141847.6
2001-07-01,8.26,1575.41,2.81,,8.26,,104820.9
2001-08-01,8.0,1525.27,2.72,,8.0,,45636.4
2001-09-01,8.49,1618.56,2.88,,8.49,,107049.6
2001-10-01,6.68,1273.39,2.27,,6.68,,72372.8
2001-11-01,6.35,1210.42,2.16,,6.35,,93183.9
2001-12-01,6.81,1299.05,2.31,,6.81,,113333.9
2002-01-01,6.33,1224.42,2.18,,6.33,,74386.6
