,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,898.03,3.47,,,,179247.0
1994-01-01,,637.67,2.46,,,,68483.1
1994-02-01,,512.12,1.98,,,,34724.1
1994-03-01,,508.82,1.97,,,,10172.6
1994-04-01,,498.9,1.93,22.2,,,70749.2
1994-05-01,,455.95,1.76,20.3,,,55840.7
1994-06-01,,340.18,1.31,15.1,,,14553.3
1994-07-01,,258.04,1.0,11.5,,,13511.1
1994-08-01,,240.6,0.93,10.7,,,18800.2
1994-09-01,,440.49,1.7,19.6,,,172507.1
1994-10-01,,676.0,2.61,33.2,,,346233.0
1994-11-01,,649.1,2.51,31.9,,,163374.3
1994-12-01,,631.66,2.44,31.0,,,64140.1
1995-01-01,,592.66,2.07,26.3,,,267808.3
1995-02-01,,443.11,1.55,19.7,,,43489.2
1995-03-01,,461.57,1.61,20.5,,,47607.1
1995-04-01,,574.19,2.0,18.3,,,225231.3
1995-05-01,,486.49,1.7,15.5,,,40474.7
1995-06-01,,731.13,2.55,23.3,,,178983.8
1995-07-01,,555.73,1.94,17.7,,,48263.2
1995-08-01,,636.97,2.22,20.3,,,67542.9
1995-09-01,,602.81,2.1,19.2,,,53966.9
1995-10-01,,570.5,1.99,20.6,,,28621.3
1995-11-01,,570.5,1.99,20.6,,,29191.0
1995-12-01,,532.65,1.86,19.2,,,10411.5
1996-01-01,,461.57,1.61,16.7,,,5051.7
1996-02-01,,451.42,1.58,16.3,,,6493.5
1996-03-01,,451.42,1.58,16.3,,,2671.5
1996-04-01,,450.49,1.57,16.3,,,9095.9
1996-05-01,,576.96,2.01,20.8,,,41494.3
1996-06-01,,510.5,1.78,18.4,,,44379.9
1996-07-01,,512.34,1.79,18.5,,,35301.4
1996-08-01,,558.5,1.95,20.2,,,46144.8
1996-09-01,,782.45,2.28,23.6,,,101636.3
1996-10-01,,769.25,2.24,23.2,,,75324.7
1996-11-01,,811.25,2.36,24.4,,,184567.8
1996-12-01,,1096.87,3.2,33.1,,,170922.3
1997-01-01,,906.06,2.64,27.3,,,234361.5
1997-02-01,,1022.47,2.98,30.8,,,92466.7
1997-03-01,,1095.67,3.19,32.6,,,96664.6
1997-04-01,,1308.09,3.81,38.9,,,220073.6
1997-05-01,,1500.1,4.37,44.6,,,245310.1
1997-06-01,,1140.08,3.32,33.9,,,100267.5
1997-07-01,,980.83,2.86,29.3,,,39335.5
1997-08-01,,1056.07,3.08,31.5,,,65228.9
1997-09-01,,1194.68,3.48,35.6,,,73423.1
1997-10-01,,1036.27,3.02,27.1,,,39413.6
1997-11-01,,1062.67,3.1,27.8,,,30250.0
1997-12-01,,1122.08,3.27,29.3,,,30300.4
1998-01-01,,1099.63,3.2,28.7,,,37233.8
1998-02-01,,1082.47,3.15,28.3,,,24331.7
1998-03-01,,1042.87,3.04,27.2,,,13635.8
1998-04-01,,1029.67,3.0,26.9,,,17537.7
1998-05-01,,1207.88,3.52,32.7,,,91976.2
1998-06-01,,1328.01,3.87,35.9,,,85197.2
1998-07-01,,1053.43,3.07,28.5,,,63850.5
1998-08-01,,1033.63,3.01,28.0,,,21108.9
1998-09-01,,912.18,2.66,24.7,,,27762.0
1998-10-01,,1009.87,2.94,30.6,,,32230.6
1998-11-01,,1056.07,3.08,32.0,,,46639.3
1998-12-01,,1073.23,3.13,32.5,,,41174.6
1999-01-01,,1000.63,2.92,30.3,,,14579.6
1999-02-01,2.48,961.03,2.8,22.1,2.48,,9862.1
1999-03-01,2.32,900.3,2.62,20.7,2.32,,2561.5
1999-04-01,2.8,1089.07,3.17,25.0,2.8,,16980.4
1999-05-01,3.03,1177.52,3.43,27.0,3.03,,97866.6
1999-06-01,4.35,1689.71,4.92,38.8,4.35,,158907.6
1999-07-01,3.76,1461.34,4.26,33.5,3.76,,267026.7
1999-08-01,3.65,1416.46,4.13,32.5,3.65,,68788.3
1999-09-01,3.5,1357.05,3.95,35.4,3.5,,68773.0
1999-10-01,3.54,1372.89,4.0,35.9,3.54,,26427.9
1999-11-01,3.19,1236.92,3.6,32.3,3.19,,7999.4
1999-12-01,3.02,1170.92,3.41,30.6,3.02,,11213.6
2000-01-01,2.77,1050.79,3.06,27.4,2.77,,10234.4
2000-02-01,3.09,1172.24,3.42,30.6,3.09,,39529.0
2000-03-01,3.17,1201.28,3.5,31.4,3.17,,54162.0
2000-04-01,4.04,1531.3,4.46,40.0,4.04,,130837.1
2000-05-01,4.38,1660.67,4.84,43.4,4.38,,69406.6
2000-06-01,5.03,1908.85,5.56,49.9,5.03,,81272.8
2000-07-01,4.82,1828.32,5.33,153.9,4.82,,54659.8
2000-08-01,4.45,1688.4,4.92,142.1,4.45,,54968.6
2000-09-01,4.58,1737.24,5.06,146.2,4.58,,88558.6
2000-10-01,4.31,1636.91,4.77,177.1,4.31,,57028.9
2000-11-01,4.36,1652.75,4.82,178.9,4.36,,30400.2
2000-12-01,4.63,1757.04,5.12,190.1,4.63,,65205.8
2001-01-01,5.36,1714.8,5.0,185.6,5.36,,63391.9
2001-02-01,5.32,1702.92,4.96,184.3,5.32,,18085.0
2001-03-01,4.8,1537.9,4.48,166.4,4.8,,15554.4
2001-04-01,5.54,1774.2,5.17,192.0,5.54,,32917.5
2001-05-01,6.35,2032.94,5.92,220.0,6.35,,109642.8
2001-06-01,7.2,2303.56,6.71,290.8,7.2,,83257.1
2001-07-01,6.19,1982.77,5.78,250.3,6.19,,86332.3
2001-08-01,5.45,1745.16,5.08,220.3,5.45,,19602.6
2001-09-01,4.95,1585.43,4.62,200.2,4.95,,17886.5
