,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,1424.0,4.69,,,,260012.8
1997-08-01,,1936.0,6.38,39.7,,,204570.4
1997-09-01,,2163.2,7.12,44.5,,,54979.1
1997-10-01,,1688.32,5.56,34.7,,,45609.7
1997-11-01,,2045.44,6.74,42.1,,,58230.2
1997-12-01,,2003.2,6.6,41.2,,,23694.3
1998-01-01,,2558.72,8.43,52.6,,,68942.1
1998-02-01,,2668.8,8.79,54.9,,,34481.3
1998-03-01,,2176.0,7.17,44.7,,,50705.9
1998-04-01,,2809.6,9.25,53.5,,,90035.6
1998-05-01,,4050.94,13.34,77.2,,,88358.9
1998-06-01,,4433.91,14.6,84.5,,,86180.9
1998-07-01,,3934.21,12.96,75.0,,,27331.0
1998-08-01,,3870.72,12.75,73.8,,,30088.0
1998-09-01,,4106.23,13.52,50.1,,,69961.6
1998-10-01,,3997.69,13.16,48.8,,,35420.2
1998-11-01,,3758.08,12.38,45.9,,,15133.1
1998-12-01,,3678.21,12.11,44.9,,,14872.4
1999-01-01,,3575.81,11.78,43.6,,,10630.9
1999-02-01,6.54,3145.73,10.36,38.4,6.54,,10715.2
1999-03-01,5.64,2711.55,8.93,33.1,5.64,,7446.5
1999-04-01,5.74,2760.7,9.09,33.7,5.74,,25823.1
1999-05-01,5.53,2658.3,8.75,32.5,5.53,,44222.4
1999-06-01,6.22,2990.08,9.85,36.5,6.22,,43440.3
1999-07-01,6.58,3162.11,10.41,38.6,6.58,,93006.5
1999-08-01,6.34,3047.42,10.04,37.2,6.34,,31120.4
1999-09-01,6.4,3076.09,10.13,37.6,6.4,,23395.8
1999-10-01,6.19,2977.79,9.81,38.3,6.19,,16055.7
1999-11-01,5.74,2758.65,9.08,35.4,5.74,,4358.3
1999-12-01,5.6,2691.07,8.86,34.6,5.6,,4435.7
2000-01-01,3.1,2437.12,8.03,31.3,3.11,,4847.3
2000-02-01,3.42,2689.02,8.86,34.6,3.44,,16361.1
2000-03-01,3.98,3129.34,10.31,40.2,4.0,,73587.6
2000-04-01,3.93,3092.48,10.18,39.7,3.95,,43458.6
2000-05-01,4.06,3194.88,10.52,41.1,4.08,,32335.9
2000-06-01,4.29,3373.05,11.11,43.3,4.31,,37904.5
2000-07-01,4.37,3440.64,11.33,44.2,4.4,,31272.2
2000-08-01,4.44,3497.15,11.45,44.7,4.44,,28073.0
2000-09-01,4.32,3400.2,11.14,43.5,4.32,,38122.8
2000-10-01,3.95,3111.65,10.19,32.1,3.95,,9924.5
2000-11-01,4.05,3185.52,10.43,32.8,4.05,,7713.0
2000-12-01,4.37,3434.82,11.25,35.4,4.37,,26325.3
2001-01-01,4.14,3411.74,11.17,35.2,4.14,,12271.4
2001-02-01,4.29,3536.39,11.58,36.5,4.29,,40316.1
2001-03-01,4.17,3432.51,11.24,35.4,4.17,,8025.9
2001-04-01,4.31,3554.86,11.64,36.6,4.31,,14361.3
2001-05-01,4.15,3418.66,11.2,,4.15,,17425.2
2001-06-01,4.2,3464.83,11.35,,4.2,,13240.9
2001-07-01,4.38,3607.95,11.82,,4.38,,21676.4
2001-08-01,3.88,3197.06,10.47,,3.88,,15037.8
2001-09-01,3.36,2770.02,9.07,,3.36,,7807.5
2001-10-01,3.37,2774.63,9.09,,3.37,,4118.9
2001-11-01,3.07,2527.64,8.28,,3.07,,7406.4
2001-12-01,3.2,2638.44,8.64,,3.2,,10313.8
2002-01-01,2.89,2453.77,8.04,,2.89,,6029.6
2002-02-01,2.42,2056.74,6.74,,2.42,,9590.5
2002-03-01,2.46,2091.36,6.85,45.3,2.46,,9598.3
2002-04-01,2.85,2426.07,7.95,52.6,2.85,,25948.2
2002-05-01,2.9,2469.93,8.09,53.5,2.9,,25960.7
2002-06-01,2.46,2089.06,6.84,45.3,2.46,,7769.4
2002-07-01,2.79,2372.98,7.77,51.4,2.79,,16044.2
2002-08-01,2.66,2262.18,7.41,49.0,2.66,,7144.3
2002-09-01,2.7,2299.11,7.53,49.8,2.7,,5076.9
2002-10-01,2.55,2172.16,7.11,47.1,2.55,,2740.0
2002-11-01,2.35,1996.72,6.54,43.3,2.35,,4156.5
2002-12-01,2.05,1742.8,5.71,37.8,2.05,,5120.4
2003-01-01,1.96,1696.64,5.56,43.2,1.96,,6204.0
2003-02-01,2.16,1867.45,6.12,47.6,2.16,,7843.7
