,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,1027.2,0.59,,,,578551.7
1996-11-01,,1037.6,0.59,,,,582827.9
1996-12-01,,1220.0,0.7,,,,444495.3
1997-01-01,,1120.0,0.64,,,,512928.6
1997-02-01,,1320.0,0.76,,,,142208.3
1997-03-01,,1488.0,0.85,35.8,,,179174.3
1997-04-01,,2016.0,1.15,48.5,,,641783.8
1997-05-01,,2236.8,1.28,53.8,,,496410.1
1997-06-01,,1956.8,1.12,47.0,,,319013.9
1997-07-01,,1784.0,1.02,42.9,,,103331.8
1997-08-01,,1620.8,0.93,28.9,,,100534.0
1997-09-01,,1868.8,1.07,33.4,,,188509.1
1997-10-01,,1593.6,0.91,28.5,,,84142.1
1997-11-01,,1820.8,1.04,32.5,,,85624.4
1997-12-01,,1619.2,0.93,28.9,,,41881.4
1998-01-01,,2099.2,1.2,37.5,,,229016.6
1998-02-01,,2094.4,1.2,37.4,,,131476.1
1998-03-01,,1808.0,1.03,32.3,,,53019.7
1998-04-01,,1896.0,1.09,33.9,,,78227.6
1998-05-01,,2024.0,1.16,30.9,,,150002.6
1998-06-01,,2788.8,1.6,42.5,,,331714.3
1998-07-01,,3968.0,2.27,60.5,,,387615.8
1998-08-01,,3982.4,2.28,60.7,,,196465.0
1998-09-01,,3348.8,1.83,39.6,,,165693.9
1998-10-01,,3613.76,1.98,42.7,,,263923.4
1998-11-01,,3440.8,1.88,23.9,,,258262.8
1998-12-01,,3215.58,1.76,22.3,,,412534.8
1999-01-01,,2777.66,1.52,19.3,,,79445.2
1999-02-01,5.85,2671.31,1.46,38.8,5.85,,63731.4
1999-03-01,5.56,2539.94,1.39,36.9,5.56,,14587.6
1999-04-01,6.23,2846.48,1.56,41.4,6.23,,150636.3
1999-05-01,5.43,2480.5,1.36,36.0,5.43,,80335.8
1999-06-01,5.6,2558.7,1.4,37.2,5.6,,80680.2
1999-07-01,5.87,2680.7,1.47,39.0,5.87,,419166.5
1999-08-01,6.15,2808.94,1.54,40.8,6.15,,119337.4
1999-09-01,6.06,2768.28,1.52,49.2,6.06,,90652.7
1999-10-01,6.08,2777.66,1.52,49.3,6.08,,84390.1
1999-11-01,5.82,2658.8,1.46,47.2,5.82,,20836.8
1999-12-01,5.64,2577.47,1.41,45.8,5.64,,25121.9
2000-01-01,18.35,2270.93,1.24,40.3,18.35,,16311.6
2000-02-01,19.64,2430.46,1.33,43.2,19.64,,63136.9
2000-03-01,21.33,2640.03,1.45,46.9,21.33,,111649.7
2000-04-01,22.72,2812.07,1.54,49.9,22.72,,274406.4
2000-05-01,22.62,2799.56,1.53,49.7,22.62,,195849.8
2000-06-01,29.54,3656.63,2.0,,29.54,,614739.0
2000-07-01,24.92,3084.21,1.69,,24.92,,266387.1
2000-08-01,26.74,3309.42,1.81,,26.74,,100924.0
2000-09-01,28.68,3550.28,1.94,,28.68,,343924.6
2000-10-01,25.73,3184.3,1.74,,25.73,,74008.6
2000-11-01,28.48,3525.26,1.93,,28.48,,65050.0
2000-12-01,28.76,3559.66,1.95,,28.76,,184212.6
2001-01-01,-561.11,3184.3,1.74,,-561.41,,75843.6
2001-02-01,-577.65,3278.14,1.79,,-577.95,,66979.1
2001-03-01,-463.0,2627.52,1.44,,-463.24,,62978.7
2001-04-01,-535.2,3037.29,1.66,,-535.49,,114410.1
2001-05-01,-581.5,3300.04,1.81,,-581.81,,111114.9
2001-06-01,-617.33,3503.36,1.92,,-617.66,,100497.9
2001-07-01,-600.24,3406.39,1.86,,-600.56,,88567.2
2001-08-01,-559.46,3174.92,1.74,,-559.75,,138169.3
2001-09-01,-540.72,3068.57,1.68,,-541.0,,54044.7
2001-10-01,-435.44,2471.12,1.35,,-435.67,,109389.5
2001-11-01,-399.61,2267.8,1.24,,-399.82,,51265.7
2001-12-01,-446.46,2533.68,1.39,,-446.7,,63306.3
2002-01-01,-425.48,1823.62,1.0,,-425.53,,123404.6
2002-02-01,-218.22,935.27,0.51,,-218.24,,244914.5
2002-03-01,-306.52,1313.76,0.72,,-306.56,,224034.0
2002-04-01,-309.44,1326.27,0.73,,-309.48,,632252.6
2002-05-01,-375.13,1607.79,0.88,,-375.17,,351271.4
2002-06-01,-375.13,1607.79,0.88,,-375.17,,
2002-07-01,-375.13,1607.79,0.88,,-375.17,,
2002-08-01,-375.13,1607.79,0.88,,-375.17,,
2002-09-01,-375.13,1607.79,0.88,,-375.17,,
2002-10-01,-403.59,1729.78,0.95,,-403.64,,551780.1
2002-11-01,-375.86,1610.92,0.88,,-375.9,,226852.7
