,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,252.15,0.49,,,,72.6
1992-06-01,,1483.23,2.89,,,,934497.1
1992-07-01,,1553.86,3.03,,,,2971011.0
1992-08-01,,1186.58,2.31,,,,2151265.0
1992-09-01,,870.16,1.7,,,,2331343.0
1992-10-01,,723.96,1.41,931.8,,,3454771.0
1992-11-01,,423.78,0.83,545.5,,,3581936.0
1992-12-01,,685.11,1.34,881.8,,,5437647.0
1993-01-01,,781.19,1.52,1005.5,,,374898.4
1993-02-01,,1169.67,2.28,1505.5,,,126750.4
1993-03-01,,974.72,1.9,1254.5,,,141927.4
1993-04-01,,709.85,1.38,913.6,,,41193.3
1993-05-01,,1051.0,2.05,1352.7,,,65684.8
1993-06-01,,834.16,1.63,1073.6,,,31976.1
1993-07-01,,648.14,1.68,1126.0,,,15967.8
1993-08-01,,566.14,1.47,983.6,,,11056.4
1993-09-01,,586.64,1.52,1019.2,,,32618.8
1993-10-01,,605.56,1.57,1052.1,,,16308.4
1993-11-01,,596.89,1.55,1037.0,,,48369.0
1993-12-01,,673.37,1.75,1169.9,,,97802.3
1994-01-01,,479.4,1.25,832.9,,,36530.8
1994-02-01,,421.84,1.1,732.9,,,19550.3
1994-03-01,,422.63,1.1,734.2,,,7041.5
1994-04-01,,399.76,1.04,694.5,,,49488.5
1994-05-01,,366.65,0.95,637.0,,,111920.5
1994-06-01,,307.51,0.8,534.2,,,19603.5
1994-07-01,,222.35,0.58,386.3,,,12861.6
1994-08-01,,207.37,0.54,360.3,,,18356.1
1994-09-01,,506.21,1.32,879.5,,,308937.1
1994-10-01,,792.43,2.06,1376.7,,,379359.9
1994-11-01,,697.02,1.81,1211.0,,,203729.1
1994-12-01,,685.99,1.78,1191.8,,,84075.4
1995-01-01,,654.45,1.7,1137.0,,,100817.8
1995-02-01,,542.48,1.41,942.5,,,12322.3
1995-03-01,,570.87,1.48,991.8,,,31674.8
1995-04-01,,663.91,1.73,46.8,,,74009.1
1995-05-01,,572.44,1.49,40.3,,,27592.7
1995-06-01,,666.27,1.73,46.9,,,91073.6
1995-07-01,,558.25,1.45,39.3,,,19883.5
1995-08-01,,649.64,1.69,45.8,,,39523.7
1995-09-01,,609.74,1.58,43.0,,,35487.6
1995-10-01,,561.17,1.46,58.8,,,10485.4
1995-11-01,,572.44,1.49,60.0,,,20999.9
1995-12-01,,556.83,1.45,58.4,,,12235.0
1996-01-01,,457.96,1.19,48.0,,,6547.8
1996-02-01,,433.67,1.13,45.5,,,4658.2
1996-03-01,,453.62,1.18,47.5,,,2100.0
1996-04-01,,479.64,1.25,50.3,,,10136.7
1996-05-01,,563.77,1.47,59.1,,,29498.6
1996-06-01,,472.7,1.23,136.3,,,16710.4
1996-07-01,,433.67,1.13,125.0,,,25526.4
1996-08-01,,475.3,1.24,137.0,,,37549.0
1996-09-01,,400.71,1.04,115.5,,,28301.2
1996-10-01,,401.58,1.04,115.8,,,26481.3
1996-11-01,,449.28,1.17,129.5,,,84542.9
1996-12-01,,614.08,1.6,177.0,,,60222.5
1997-01-01,,377.29,0.98,108.8,,,96428.4
1997-02-01,,407.65,1.06,117.5,,,29438.7
1997-03-01,,574.18,1.49,,,,97856.9
1997-04-01,,644.43,1.67,,,,146039.9
1997-05-01,,627.95,1.63,,,,121059.0
1997-06-01,,536.02,1.39,,,,94087.8
1997-07-01,,402.45,1.05,,,,23633.4
1997-08-01,,432.8,1.12,,,,28935.0
1997-09-01,,560.3,1.46,,,,43409.1
1997-10-01,,607.14,1.58,,,,123886.8
1997-11-01,,662.65,1.72,,,,68913.1
1997-12-01,,712.95,1.85,,,,45950.4
1998-01-01,,810.96,2.11,,,,64818.7
1998-02-01,,830.91,2.16,,,,39687.3
1998-03-01,,851.73,2.21,,,,37425.0
1998-04-01,,1140.55,2.96,,,,91630.9
1998-05-01,,1259.38,3.27,,,,109682.8
1998-06-01,,1292.34,3.36,496.7,,,84812.4
1998-07-01,,1231.62,3.2,473.3,,,35034.6
1998-08-01,,1212.54,3.15,466.0,,,43514.8
1998-09-01,,1030.4,2.68,396.0,,,26860.6
1998-10-01,,1262.85,3.28,,,,81782.3
1998-11-01,,1218.61,3.17,,,,27924.8
1998-12-01,,1144.89,2.98,,,,19747.9
1999-01-01,,1126.67,2.93,,,,17357.7
1999-02-01,,1099.79,2.86,,,,14605.6
1999-03-01,,1065.09,2.77,,,,2058.5
1999-04-01,,1093.72,2.84,,,,15344.1
1999-05-01,,1058.15,2.75,,,,14845.2
1999-06-01,,1109.33,2.88,49.2,,,21057.6
1999-07-01,,1322.69,3.44,58.7,,,91560.5
1999-08-01,,1392.08,3.62,61.7,,,61153.0
1999-09-01,,1453.66,3.78,39.0,,,34601.5
1999-10-01,,1444.12,3.75,38.7,,,29885.7
1999-11-01,,1516.98,3.94,40.7,,,10889.0
1999-12-01,,1752.03,4.55,47.0,,,21310.4
2000-01-01,,1819.68,4.73,48.8,,,35949.3
2000-02-01,,3120.69,8.11,83.7,,,41462.9
2000-03-01,,4033.13,10.48,108.1,,,160068.4
2000-04-01,,4111.19,10.68,98.8,,,110447.0
2000-05-01,,4223.69,10.98,101.5,,,38869.3
2000-06-01,,4215.45,10.96,101.3,,,36858.1
2000-07-01,,4540.1,11.8,109.1,,,91608.4
2000-08-01,,4301.14,11.18,103.3,,,23249.8
2000-09-01,,3971.56,10.32,89.3,,,30872.9
2000-10-01,,3243.16,8.43,72.9,,,12232.9
2000-11-01,,3417.85,8.88,76.8,,,15973.7
2000-12-01,,3233.27,8.4,72.7,,,22210.7
2001-01-01,,3421.14,8.89,76.9,,,12713.8
2001-02-01,11.55,3297.55,8.57,74.1,11.55,,8266.8
2001-03-01,9.29,2651.55,6.89,59.6,9.29,,8650.8
2001-04-01,9.89,2822.93,7.34,63.4,9.89,,11988.8
2001-05-01,10.03,2862.49,7.44,64.3,10.03,,13137.1
2001-06-01,10.54,3009.15,7.82,67.6,10.54,,12207.1
2001-07-01,10.29,2936.65,7.63,66.0,10.29,,16022.0
