,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,1352.13,2.72,37.9,,,148317.1
1997-02-01,,1393.17,2.81,39.0,,,126001.8
1997-03-01,,1504.9,3.03,35.5,,,65400.3
1997-04-01,,1858.32,3.74,43.8,,,188402.7
1997-05-01,,2622.17,5.28,61.8,,,114483.2
1997-06-01,,2421.52,4.88,56.9,,,71378.8
1997-07-01,,2216.31,4.46,52.1,,,31556.3
1997-08-01,,1948.16,3.92,45.8,,,21231.7
1997-09-01,,1805.88,3.64,42.4,,,14004.1
1997-10-01,,1597.93,3.22,29.2,,,9837.5
1997-11-01,,1785.36,3.6,32.6,,,21446.6
1997-12-01,,1696.43,3.42,31.0,,,9317.9
1998-01-01,,1775.78,3.58,32.5,,,10257.8
1998-02-01,,1857.87,3.74,34.0,,,15293.5
1998-03-01,,1923.53,3.87,35.2,,,24336.8
1998-04-01,,2001.52,4.03,35.7,,,14812.4
1998-05-01,,2165.01,4.36,38.6,,,34534.7
1998-06-01,,2848.37,5.74,50.8,,,126340.7
1998-07-01,,2708.82,5.45,48.3,,,141178.1
1998-08-01,,2893.51,5.83,51.6,,,50855.4
1998-09-01,,2296.34,4.62,41.1,,,17724.9
1998-10-01,,2520.03,5.07,45.1,,,25100.3
1998-11-01,,2298.4,4.63,41.2,,,19385.3
1998-12-01,,2364.06,4.76,42.3,,,23524.3
1999-01-01,,2212.21,4.45,39.6,,,6314.5
1999-02-01,4.01,2035.72,4.1,36.5,4.01,,7094.7
1999-03-01,3.63,1844.87,3.71,33.0,3.63,,2622.1
1999-04-01,3.87,1963.9,3.95,35.2,3.87,,17652.9
1999-05-01,3.6,1830.51,3.69,31.9,3.6,,11068.2
1999-06-01,4.16,2113.7,4.26,36.8,4.16,,35988.6
1999-07-01,5.31,2698.56,5.43,47.0,5.31,,116028.1
1999-08-01,5.98,3039.22,6.12,52.9,5.98,,111518.4
1999-09-01,5.55,2821.69,5.68,49.1,5.55,,30654.8
1999-10-01,6.2,3150.03,6.34,66.7,6.2,,53432.3
1999-11-01,5.31,2698.56,5.43,57.2,5.31,,15528.1
1999-12-01,4.5,2288.14,4.61,48.5,4.5,,35215.9
2000-01-01,3.36,1723.8,3.47,36.5,3.36,,81210.6
2000-02-01,4.05,2078.82,4.19,44.0,4.05,,202780.6
2000-03-01,5.16,2649.31,5.33,56.1,5.16,,346628.8
2000-04-01,4.96,2546.7,5.13,54.0,4.96,,155932.9
2000-05-01,5.26,2700.61,5.44,57.2,5.26,,163113.1
2000-06-01,5.43,2788.86,5.62,59.1,5.43,,113210.4
2000-07-01,6.22,3193.13,6.43,67.7,6.22,,193237.8
2000-08-01,6.32,3246.07,6.54,68.8,6.32,,102727.9
2000-09-01,6.07,3115.14,6.27,62.7,6.07,,111194.5
2000-10-01,5.85,3002.27,6.05,60.5,5.85,,47226.6
2000-11-01,6.16,3160.29,6.36,63.6,6.16,,59738.2
2000-12-01,6.22,3194.15,6.43,64.3,6.22,,85884.5
2001-01-01,5.86,2860.06,5.76,57.6,5.86,,44846.1
2001-02-01,6.35,3103.85,6.25,62.5,6.35,,49193.7
2001-03-01,5.68,2774.28,5.59,55.9,5.68,,20689.1
2001-04-01,5.91,2887.15,5.81,67.3,5.91,,39318.0
2001-05-01,5.93,2898.43,5.84,67.6,5.93,,47451.2
2001-06-01,5.85,2855.54,5.75,66.6,5.85,,34233.4
2001-07-01,6.56,3203.18,6.45,74.7,6.56,,95407.6
2001-08-01,6.23,3042.91,6.13,70.9,6.23,,66790.8
2001-09-01,5.99,2927.78,5.9,68.3,5.99,,18317.9
2001-10-01,5.74,2805.88,5.65,65.4,5.74,,11938.3
2001-11-01,5.07,2474.05,4.98,57.7,5.07,,20591.8
2001-12-01,5.19,2537.26,5.11,59.2,5.19,,15433.9
2002-01-01,10.8,2410.85,4.85,56.2,10.8,,22683.0
2002-02-01,9.41,2101.59,4.23,116.4,9.41,,37634.7
2002-03-01,9.68,2162.54,4.35,119.8,9.68,,24206.0
2002-04-01,10.49,2343.13,4.72,129.8,10.49,,71404.9
2002-05-01,9.95,2221.23,4.47,123.0,9.95,,24984.4
2002-06-01,8.6,1921.0,3.87,106.4,8.6,,10239.0
2002-07-01,10.73,2395.05,4.82,132.6,10.73,,85090.8
2002-08-01,9.81,2190.08,4.41,121.3,9.81,,39721.7
2002-09-01,9.87,2204.97,4.44,,9.87,,39499.4
2002-10-01,9.12,2036.13,4.1,,9.12,,14602.6
