,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,,,,,,
1997-08-01,,,,,,,
1997-09-01,,,,,,,
1997-10-01,,,,,,,
1997-11-01,,,,,,,
1997-12-01,,,,,,,
1998-01-01,,,,,,,
1998-02-01,,,,,,,
1998-03-01,,,,,,,
1998-04-01,,,,,,,
1998-05-01,,,,,,,
1998-06-01,,,,,,,
1998-07-01,,1363.21,4.77,28.6,,,147717.3
1998-08-01,,1255.63,4.39,26.3,,,24109.3
1998-09-01,,1104.46,3.86,32.4,,,29954.6
1998-10-01,,1169.83,4.09,34.4,,,30328.1
1998-11-01,,1209.32,4.23,35.5,,,36283.1
1998-12-01,,1195.7,4.18,35.1,,,41271.9
1999-01-01,,1085.39,3.8,31.9,,,10250.9
1999-02-01,2.68,1035.01,3.62,26.2,2.68,,8640.2
1999-03-01,2.64,1020.03,3.57,25.8,2.64,,2734.6
1999-04-01,2.92,1130.34,3.96,28.6,2.92,,22861.2
1999-05-01,3.05,1178.0,4.12,29.8,3.05,,29530.1
1999-06-01,3.9,1510.29,5.28,38.2,3.9,,87240.8
1999-07-01,4.75,1835.77,6.42,46.5,4.75,,181592.4
1999-08-01,6.25,2417.28,8.46,61.2,6.25,,84738.6
1999-09-01,6.13,2369.62,8.29,60.0,6.13,,79623.9
1999-10-01,6.01,2326.04,8.14,58.9,6.01,,14151.3
1999-11-01,5.91,2285.18,8.0,57.9,5.91,,5969.6
1999-12-01,5.74,2219.81,7.77,56.2,5.74,,25120.1
2000-01-01,3.91,2232.07,7.81,56.5,4.02,,12142.4
2000-02-01,4.44,2533.04,8.86,64.1,4.56,,43187.7
2000-03-01,4.19,2390.04,8.36,46.2,4.3,,75022.1
2000-04-01,4.85,2767.28,9.68,53.5,4.98,,67313.5
2000-05-01,5.04,2873.5,10.05,55.5,5.18,,99253.6
2000-06-01,5.11,2914.36,10.2,56.3,5.25,,32475.5
2000-07-01,4.84,2759.11,9.65,53.3,4.97,,21280.3
2000-08-01,5.3,3023.3,10.58,58.4,5.44,,42939.3
2000-09-01,5.55,3163.86,10.78,59.5,5.55,,56790.1
2000-10-01,5.11,2911.46,9.92,58.4,5.11,,12576.2
2000-11-01,5.24,2987.77,10.18,59.9,5.24,,11787.6
2000-12-01,5.37,3064.07,10.44,61.4,5.37,,18254.1
2001-01-01,5.15,3043.53,10.37,61.0,5.15,,12660.0
2001-02-01,5.32,3146.25,10.72,63.1,5.32,,15894.4
2001-03-01,5.09,3008.31,10.25,60.3,5.09,,5150.3
2001-04-01,5.25,3102.23,10.57,62.2,5.25,,10873.7
2001-05-01,5.06,2993.64,10.2,56.7,5.06,,14387.3
2001-06-01,5.31,3137.45,10.69,59.4,5.31,,19780.6
2001-07-01,5.59,3301.81,11.25,62.5,5.59,,28015.3
2001-08-01,4.91,2905.59,9.9,55.0,4.91,,10383.0
2001-09-01,4.62,2729.49,9.3,51.7,4.62,,5808.1
2001-10-01,4.07,2403.71,8.19,45.5,4.07,,5308.3
2001-11-01,4.04,2386.11,8.13,45.2,4.04,,7231.3
2001-12-01,4.3,2541.66,8.66,48.1,4.3,,14637.6
2002-01-01,3.83,2339.15,7.97,44.3,3.83,,5963.8
2002-02-01,3.22,1963.47,6.69,37.2,3.22,,11411.3
2002-03-01,3.21,1960.54,6.68,37.1,3.21,,5345.9
2002-04-01,3.75,2289.25,7.8,43.3,3.75,,21083.0
2002-05-01,3.93,2397.84,8.17,45.4,3.93,,12859.7
2002-06-01,3.31,2019.24,6.88,38.2,3.31,,5975.9
2002-07-01,4.02,2453.61,8.36,46.4,4.02,,22825.1
2002-08-01,3.74,2283.38,7.78,43.2,3.74,,7529.0
2002-09-01,3.9,2377.3,8.1,45.0,3.9,,10313.7
2002-10-01,3.57,2180.66,7.43,46.4,3.57,,3557.5
2002-11-01,3.49,2130.77,7.26,45.4,3.49,,2977.1
2002-12-01,3.06,1866.62,6.36,39.8,3.06,,6204.2
2003-01-01,2.7,1781.51,6.07,37.9,2.7,,3904.8
2003-02-01,2.99,1975.21,6.73,42.1,2.99,,12101.1
2003-03-01,3.0,1981.08,6.75,42.2,3.0,,4640.8
2003-04-01,2.88,1898.91,6.47,40.4,2.88,,6259.9
2003-05-01,2.73,1799.12,6.13,38.3,2.73,,11925.9
2003-06-01,2.89,1904.78,6.49,40.6,2.89,,9721.9
