,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,783.42,2.85,,,,54250.5
1996-11-01,,687.04,2.5,,,,48464.2
1996-12-01,,846.76,3.09,,,,76703.2
1997-01-01,,905.27,3.3,,,,161831.7
1997-02-01,,929.37,3.39,,,,43960.1
1997-03-01,,1077.24,3.93,26.4,,,41545.4
1997-04-01,,1227.04,4.47,30.1,,,95677.3
1997-05-01,,1543.16,5.62,37.9,,,113376.8
1997-06-01,,1338.29,4.88,32.8,,,38375.7
1997-07-01,,1233.65,4.5,30.3,,,11926.7
1997-08-01,,1145.53,4.17,37.1,,,10355.7
1997-09-01,,1068.43,3.89,34.6,,,8404.4
1997-10-01,,885.58,3.23,28.7,,,5910.0
1997-11-01,,932.94,3.4,30.3,,,6199.7
1997-12-01,,975.9,3.56,31.6,,,15411.4
1998-01-01,,1018.86,3.71,33.0,,,7043.1
1998-02-01,,1155.44,4.21,37.5,,,17949.0
1998-03-01,,1101.47,4.01,35.7,,,19185.5
1998-04-01,,1051.9,3.83,34.1,,,7808.6
1998-05-01,,1321.76,4.82,42.9,,,31171.2
1998-06-01,,1332.78,4.86,43.2,,,32389.7
1998-07-01,,1169.76,4.26,37.9,,,15629.4
1998-08-01,,1217.12,4.43,39.5,,,13809.6
1998-09-01,,1123.5,4.09,40.8,,,7946.6
1998-10-01,,1156.54,4.21,42.0,,,27787.9
1998-11-01,,1286.52,4.69,46.7,,,40385.6
1998-12-01,,1299.73,4.74,47.2,,,39150.8
1999-01-01,,1252.37,4.56,45.5,,,9201.7
1999-02-01,4.83,1109.18,4.04,40.3,4.83,,4446.1
1999-03-01,4.44,1021.06,3.72,37.1,4.44,,1257.8
1999-04-01,5.08,1167.56,4.25,42.4,5.08,,8086.2
1999-05-01,4.6,1056.31,3.85,34.3,4.6,,4867.0
1999-06-01,4.83,1109.18,4.04,36.0,4.83,,7705.9
1999-07-01,5.72,1315.16,4.79,42.6,5.72,,93745.6
1999-08-01,5.56,1276.6,4.65,41.4,5.56,,18943.8
1999-09-01,5.35,1228.14,4.48,38.4,5.35,,25165.6
1999-10-01,5.25,1206.11,4.39,37.8,5.25,,18820.4
1999-11-01,4.88,1121.3,4.09,35.1,4.88,,6598.4
1999-12-01,4.98,1144.43,4.17,35.8,4.98,,7837.6
2000-01-01,4.63,1062.92,3.87,33.3,4.63,,7156.2
2000-02-01,5.14,1178.57,4.29,36.9,5.14,,27819.6
2000-03-01,6.02,1381.24,5.03,43.2,6.02,,49539.4
2000-04-01,19.13,4389.36,15.99,137.4,19.13,,149123.2
2000-05-01,19.57,4490.69,16.36,140.6,19.57,,15533.7
2000-06-01,19.39,4449.94,16.21,139.3,19.39,,17835.3
2000-07-01,17.14,3932.25,14.33,123.1,17.14,,13578.3
2000-08-01,20.15,4623.97,16.85,144.8,20.15,,8110.9
2000-09-01,17.38,3987.32,14.53,164.5,17.38,,6908.2
2000-10-01,16.94,3888.19,14.17,160.5,16.94,,1494.4
2000-11-01,16.06,3684.42,13.43,152.0,16.06,,5527.9
2000-12-01,17.52,4020.36,14.65,165.9,17.52,,4749.9
2001-01-01,16.43,4493.99,16.38,185.5,16.43,,7679.7
2001-02-01,15.38,4207.61,15.33,173.6,15.38,,1079.8
2001-03-01,14.23,3891.49,14.18,160.6,14.23,,1180.6
2001-04-01,14.79,4046.8,14.75,229.6,14.79,,6863.9
2001-05-01,15.46,4229.65,15.41,240.0,15.46,,9926.1
2001-06-01,15.6,4266.0,15.54,242.1,15.6,,38419.0
2001-07-01,15.65,4280.87,15.6,242.9,15.65,,14893.0
2001-08-01,12.81,3504.34,12.77,70.7,12.81,,4664.5
2001-09-01,12.42,3398.59,12.38,68.6,12.42,,3991.8
2001-10-01,10.84,2965.71,10.81,59.8,10.84,,6174.6
2001-11-01,10.75,2940.93,10.72,59.3,10.75,,32946.3
2001-12-01,10.87,2973.98,10.84,60.0,10.87,,16640.9
2002-01-01,8.8,3000.41,10.93,60.5,8.8,,6993.7
2002-02-01,8.41,2866.58,10.45,57.8,8.41,,16382.5
2002-03-01,8.14,2775.71,10.11,56.0,8.14,,22914.0
2002-04-01,7.03,2395.7,8.73,48.3,7.03,,89481.2
2002-05-01,7.69,2622.06,9.55,49.6,7.69,,66094.5
2002-06-01,6.73,2293.27,8.36,43.4,6.73,,24614.5
2002-07-01,6.74,2298.22,8.37,43.5,6.74,,50050.2
2002-08-01,6.88,2346.14,8.55,44.4,6.88,,48245.7
2002-09-01,7.1,2418.83,8.81,45.8,7.1,,30057.6
2002-10-01,6.78,2311.44,8.42,43.7,6.78,,12376.9
