,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,104.0,0.37,,,,1.5
1992-06-01,,689.7,2.48,,,,17303.4
1992-07-01,,770.95,2.77,,,,53413.1
1992-08-01,,672.01,2.42,,,,38272.0
1992-09-01,,512.76,1.85,,,,35330.9
1992-10-01,,406.6,1.46,1126.0,,,45480.9
1992-11-01,,256.38,0.92,710.0,,,57720.9
1992-12-01,,405.15,1.46,1122.0,,,69676.1
1993-01-01,,421.72,1.52,1168.0,,,53436.2
1993-02-01,,613.8,2.21,1700.0,,,122962.2
1993-03-01,,527.15,1.9,1460.0,,,138486.6
1993-04-01,,400.05,1.44,1108.0,,,53379.3
1993-05-01,,657.13,2.37,1820.0,,,126481.2
1993-06-01,,450.51,2.01,157.1,,,40224.0
1993-07-01,,524.74,2.34,183.0,,,91079.6
1993-08-01,,453.07,2.02,158.0,,,52817.5
1993-09-01,,441.29,1.97,153.9,,,41851.8
1993-10-01,,478.66,2.14,167.0,,,28527.8
1993-11-01,,427.47,1.91,149.1,,,22052.4
1993-12-01,,527.3,2.36,183.9,,,133451.3
1994-01-01,,566.21,2.53,197.5,,,155525.6
1994-02-01,,511.94,2.29,178.6,,,220269.2
1994-03-01,,502.72,2.25,175.4,,,28820.2
1994-04-01,,501.7,2.24,98.0,,,176400.5
1994-05-01,,410.58,1.83,80.2,,,49214.3
1994-06-01,,332.35,1.48,65.2,,,23431.4
1994-07-01,,248.8,1.11,48.8,,,16327.9
1994-08-01,,224.23,1.0,44.0,,,22508.1
1994-09-01,,497.61,2.22,97.6,,,284611.8
1994-10-01,,488.39,2.18,95.8,,,298987.9
1994-11-01,,443.55,1.98,87.0,,,117052.5
1994-12-01,,444.16,1.98,87.1,,,67364.3
1995-01-01,,448.46,2.0,88.0,,,65528.6
1995-02-01,,380.27,1.7,74.6,,,8678.6
1995-03-01,,363.68,1.62,71.3,,,11179.4
1995-04-01,,404.23,1.81,27.4,,,32860.1
1995-05-01,,350.17,1.56,23.8,,,142282.0
1995-06-01,,433.1,1.93,29.4,,,937999.7
1995-07-01,,355.08,1.59,24.1,,,76611.9
1995-08-01,,395.63,1.77,26.8,,,19377.8
1995-09-01,,409.76,1.83,27.8,,,45139.1
1995-10-01,,410.06,1.68,25.5,,,32642.2
1995-11-01,,440.01,1.8,27.3,,,48842.3
1995-12-01,,411.6,1.68,25.6,,,33894.8
1996-01-01,,367.06,1.5,22.8,,,7537.9
1996-02-01,,331.74,1.36,20.6,,,6525.4
1996-03-01,,350.17,1.43,21.7,,,2482.8
1996-04-01,,360.92,1.48,22.4,,,10177.2
1996-05-01,,433.87,1.77,26.9,,,44005.8
1996-06-01,,379.27,1.41,23.6,,,17758.3
1996-07-01,,359.0,1.33,22.4,,,30513.2
1996-08-01,,424.88,1.58,26.5,,,65346.1
1996-09-01,,376.74,1.4,23.5,,,38111.1
1996-10-01,,409.68,1.52,25.5,,,39085.8
1996-11-01,,515.27,1.92,32.1,,,204907.2
1996-12-01,,635.21,2.36,39.6,,,124011.9
1997-01-01,,397.85,1.48,24.8,,,146101.4
1997-02-01,,460.36,1.71,28.7,,,48452.7
1997-03-01,,569.33,2.12,32.1,,,131556.8
1997-04-01,,724.75,2.69,40.9,,,252720.2
1997-05-01,,827.81,3.08,46.7,,,230946.6
1997-06-01,,685.9,2.55,38.7,,,112667.5
1997-07-01,,608.18,2.26,34.3,,,47647.7
1997-08-01,,577.01,2.15,25.8,,,44055.6
1997-09-01,,613.92,2.28,27.5,,,44469.0
1997-10-01,,514.84,1.91,23.0,,,55548.5
1997-11-01,,624.61,2.32,28.0,,,64740.0
1997-12-01,,626.55,2.33,28.0,,,85068.8
1998-01-01,,647.92,2.41,29.0,,,50544.7
1998-02-01,,670.27,2.49,30.0,,,58555.6
1998-03-01,,703.29,2.61,31.5,,,45141.8
1998-04-01,,778.09,2.89,34.8,,,80574.1
1998-05-01,,815.0,3.03,36.5,,,149431.0
1998-06-01,,881.06,3.28,43.2,,,106371.4
1998-07-01,,811.12,3.02,39.8,,,59927.0
1998-08-01,,755.36,2.81,37.0,,,23817.4
1998-09-01,,687.75,2.56,33.7,,,22285.9
1998-10-01,,779.84,2.9,24.8,,,56770.9
1998-11-01,,727.38,2.7,23.1,,,60242.9
1998-12-01,,743.7,2.77,23.6,,,27363.2
1999-01-01,,666.77,2.48,21.2,,,24538.1
1999-02-01,3.16,669.1,2.49,21.3,2.8,,15381.6
1999-03-01,3.2,677.26,2.52,21.5,2.84,,3693.2
1999-04-01,3.46,733.21,2.73,23.3,3.07,,34527.0
1999-05-01,3.28,694.75,2.58,22.1,2.91,,49516.5
1999-06-01,3.64,769.35,2.86,24.4,3.22,,35441.2
1999-07-01,4.79,1014.14,3.77,32.2,4.25,,149534.1
1999-08-01,4.78,1011.81,3.76,41.3,4.24,,129467.8
1999-09-01,5.53,1170.34,4.35,47.8,4.9,,127109.9
1999-10-01,4.8,1015.31,3.78,41.5,4.25,,31280.6
1999-11-01,4.57,967.51,3.6,39.5,4.05,,11698.7
1999-12-01,4.76,1007.15,3.74,41.1,4.22,,16351.9
2000-01-01,3.12,948.82,3.37,37.1,3.12,,34293.8
2000-02-01,5.52,1681.75,5.98,65.7,5.52,,160622.7
2000-03-01,5.17,1574.49,5.6,61.5,5.17,,82660.3
2000-04-01,5.97,1816.51,6.46,71.0,5.97,,179681.1
2000-05-01,6.16,1874.26,6.66,73.2,6.16,,61587.1
2000-06-01,7.49,2279.91,8.11,89.1,7.49,,131217.3
2000-07-01,6.73,2048.9,7.29,80.0,6.73,,46165.3
2000-08-01,6.75,2055.77,7.31,80.3,6.75,,38042.6
2000-09-01,7.34,2235.64,7.95,87.3,7.34,,85933.9
2000-10-01,7.47,2274.97,8.09,376.0,7.47,,34273.5
2000-11-01,7.84,2386.9,8.49,394.5,7.84,,34347.0
2000-12-01,8.92,2715.13,9.65,448.8,8.92,,64325.2
2001-01-01,8.02,2529.08,8.99,418.0,8.02,,52164.3
2001-02-01,7.27,2294.63,8.16,379.3,7.28,,35796.8
