,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,1.62,80.2,0.27,,1.62,,94096.1
1996-10-01,1.52,75.0,0.25,,1.52,,20124.3
1996-11-01,1.36,67.0,0.22,,1.36,,310033.4
1996-12-01,1.47,72.8,0.24,,1.47,,22065.0
1997-01-01,1.63,89.0,0.3,,1.63,,97280.2
1997-02-01,1.65,90.6,0.3,,1.65,,44510.7
1997-03-01,1.81,99.0,0.33,9.8,1.81,,37449.3
1997-04-01,1.86,102.0,0.34,10.1,1.86,,43359.0
1997-05-01,2.39,131.0,0.44,12.9,2.39,,48456.6
1997-06-01,2.94,161.0,0.54,15.9,2.94,,45252.2
1997-07-01,2.7,147.6,0.49,14.6,2.7,,26648.1
1997-08-01,2.72,149.0,0.5,,2.72,,23644.8
1997-09-01,3.29,180.0,0.6,,3.29,,29891.0
1997-10-01,3.29,180.0,0.6,,3.29,,19776.7
1997-11-01,3.06,167.4,0.56,,3.06,,12172.4
1997-12-01,2.47,135.0,0.45,,2.47,,12641.3
1998-01-01,3.21,181.8,0.61,,3.21,,10925.5
1998-02-01,2.29,129.3,0.43,,2.29,,16826.3
1998-03-01,2.73,154.5,0.51,,2.73,,19307.2
1998-04-01,2.38,134.7,0.45,,2.38,,12050.4
1998-05-01,2.44,137.7,0.46,,2.44,,5900.3
1998-06-01,1.94,109.5,0.36,10.4,1.94,,9004.1
1998-07-01,1.59,90.0,0.3,8.6,1.59,,11504.2
1998-08-01,0.97,54.9,0.18,5.2,0.97,,37612.2
1998-09-01,1.02,57.9,0.19,,1.02,,20136.7
1998-10-01,1.16,65.4,0.22,6.1,1.16,,16237.5
1998-11-01,1.27,71.7,0.24,6.7,1.27,,15824.4
1998-12-01,1.12,63.3,0.21,5.9,1.12,,13244.0
1999-01-01,1.06,64.5,0.21,6.0,1.01,,8500.2
1999-02-01,0.93,57.0,0.19,5.3,0.89,,8176.1
1999-03-01,0.9,55.2,0.18,5.2,0.86,,1818.3
1999-04-01,1.0,61.2,0.2,5.7,0.96,,9396.5
1999-05-01,1.02,62.1,0.21,5.8,0.97,,8577.7
1999-06-01,1.58,96.3,0.32,12.7,1.51,,28947.8
1999-07-01,2.26,138.3,0.46,18.2,2.17,,43557.6
1999-08-01,2.31,141.0,0.47,,2.21,,64206.7
1999-09-01,2.27,138.9,0.46,,2.18,,16152.4
1999-10-01,2.18,133.2,0.44,,2.09,,7845.7
1999-11-01,1.92,117.6,0.39,20.3,1.84,,4599.9
1999-12-01,1.71,104.4,0.35,18.0,1.64,,22735.5
2000-01-01,0.91,97.5,0.32,16.8,0.91,,12038.2
2000-02-01,1.11,119.1,0.4,20.5,1.11,,13097.2
2000-03-01,1.16,124.5,0.41,21.5,1.16,,13059.4
2000-04-01,1.2,129.3,0.43,22.3,1.2,,7087.9
2000-05-01,1.12,120.3,0.4,13.3,1.12,,5335.9
2000-06-01,1.37,147.3,0.49,16.3,1.37,,12458.3
2000-07-01,1.19,127.8,0.43,14.1,1.19,,11058.3
2000-08-01,1.24,132.9,0.44,14.7,1.24,,15715.5
2000-09-01,1.32,141.6,0.47,15.6,1.32,,42445.4
2000-10-01,1.3,139.2,0.46,15.4,1.3,,13886.9
2000-11-01,1.3,139.8,0.47,15.4,1.3,,14275.6
2000-12-01,1.36,145.8,0.49,16.1,1.36,,25590.3
2001-01-01,1.53,165.0,0.55,18.2,1.53,,20232.9
2001-02-01,1.48,160.5,0.53,17.7,1.48,,25049.3
2001-03-01,1.72,186.45,0.62,20.6,1.72,,13950.1
2001-04-01,2.33,252.45,0.84,27.9,2.33,,163353.1
2001-05-01,2.44,264.0,0.88,22.8,2.44,,97460.3
2001-06-01,2.71,292.8,0.98,25.2,2.71,,123542.0
2001-07-01,2.37,256.8,0.86,22.1,2.37,,61164.1
2001-08-01,1.85,200.1,0.67,17.3,1.85,,31371.7
2001-09-01,1.65,178.2,0.59,15.4,1.65,,53249.8
2001-10-01,1.65,178.8,0.6,15.4,1.65,,34720.2
2001-11-01,1.71,185.25,0.62,16.0,1.71,,21331.9
2001-12-01,1.82,196.65,0.66,17.0,1.82,,23537.8
2002-01-01,1.98,196.8,0.66,17.0,1.98,,27692.1
2002-02-01,1.79,178.2,0.59,18.9,1.79,,31884.5
2002-03-01,1.72,170.7,0.57,18.1,1.72,,8574.1
2002-04-01,1.76,174.9,0.58,18.6,1.76,,12676.1
2002-05-01,1.63,162.0,0.54,17.2,1.63,,14652.4
2002-06-01,1.57,156.15,0.52,16.6,1.57,,6145.1
2002-07-01,1.63,161.7,0.54,17.2,1.63,,16822.1
