,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,751.14,2.57,,,,179385.6
1997-01-01,,695.05,2.37,,,,113731.3
1997-02-01,,807.73,2.76,,,,61405.1
1997-03-01,,850.79,2.91,,,,34645.9
1997-04-01,,1011.53,3.46,,,,118158.4
1997-05-01,,1301.98,4.45,,,,93416.3
1997-06-01,,1185.3,4.05,,,,60226.5
1997-07-01,,1081.64,3.69,,,,14653.4
1997-08-01,,1142.94,3.9,42.3,,,19925.3
1997-09-01,,977.99,3.34,36.2,,,22664.2
1997-10-01,,1081.64,3.69,40.0,,,29700.7
1997-11-01,,1234.88,4.22,45.7,,,43699.2
1997-12-01,,1063.62,3.63,39.3,,,17075.5
1998-01-01,,1108.68,3.79,41.0,,,11301.3
1998-02-01,,1035.67,3.54,38.3,,,11036.7
1998-03-01,,954.55,3.26,35.3,,,8234.5
1998-04-01,,937.42,3.2,34.7,,,7882.4
1998-05-01,,1162.77,3.97,43.0,,,36030.2
1998-06-01,,1388.11,4.74,51.3,,,43878.0
1998-07-01,,1335.83,4.56,49.4,,,23415.3
1998-08-01,,1297.97,4.43,48.0,,,14083.1
1998-09-01,,1117.7,3.82,41.3,,,13468.9
1998-10-01,,1478.01,4.48,36.1,,,14912.0
1998-11-01,,1536.08,4.66,37.5,,,22449.8
1998-12-01,,1717.68,5.21,41.9,,,42415.9
1999-01-01,,1616.23,4.9,39.4,,,12958.6
1999-02-01,3.89,1548.59,4.7,39.3,3.89,,8905.6
1999-03-01,3.87,1544.36,4.68,39.1,3.87,,2265.8
1999-04-01,3.87,1542.95,4.68,39.1,3.87,,39689.2
1999-05-01,3.66,1458.41,4.42,37.0,3.66,,22023.8
1999-06-01,3.64,1451.36,4.4,36.8,3.64,,26902.0
1999-07-01,4.36,1737.41,5.27,44.0,4.36,,115943.7
1999-08-01,4.65,1851.54,5.62,46.9,4.65,,31693.4
1999-09-01,4.31,1718.25,5.21,34.7,4.31,,15522.1
1999-10-01,4.32,1721.91,5.22,34.8,4.32,,12979.2
1999-11-01,3.91,1557.05,4.72,31.5,3.91,,4931.7
1999-12-01,4.21,1679.78,5.09,34.0,4.21,,9350.4
2000-01-01,3.89,1560.71,4.73,31.6,3.89,,5256.4
2000-02-01,3.95,1584.52,4.81,32.0,3.95,,21634.0
2000-03-01,4.85,1949.06,5.91,39.4,4.85,,62782.7
2000-04-01,5.82,2335.57,7.08,47.2,5.82,,117532.9
2000-05-01,5.41,2172.54,6.59,43.9,5.41,,85778.9
2000-06-01,5.3,2128.57,6.46,58.1,5.3,,20051.5
2000-07-01,5.19,2084.61,6.32,56.9,5.19,,29967.2
2000-08-01,5.45,2189.02,6.64,59.8,5.45,,24214.5
2000-09-01,5.55,2227.49,6.76,60.8,5.55,,54845.8
2000-10-01,5.17,2077.28,6.3,56.7,5.17,,13941.8
2000-11-01,5.57,2238.48,6.79,61.1,5.57,,13401.3
2000-12-01,6.31,2535.24,7.69,69.2,6.31,,41242.3
2001-01-01,5.84,2460.13,7.46,67.2,5.84,,29687.4
2001-02-01,5.9,2483.95,7.53,67.8,5.9,,28904.5
2001-03-01,5.75,2423.5,7.35,66.2,5.75,,11540.7
2001-04-01,6.27,2641.48,8.01,49.7,6.27,,34205.1
2001-05-01,6.05,2548.06,7.73,48.0,6.05,,47396.6
2001-06-01,6.39,2690.94,8.16,50.7,6.39,,18784.2
2001-07-01,6.84,2879.62,8.73,54.2,6.84,,50714.3
2001-08-01,6.15,2592.02,7.86,48.8,6.15,,26356.5
2001-09-01,5.38,2267.79,6.88,42.7,5.38,,14168.6
2001-10-01,5.34,2247.64,6.82,42.3,5.34,,10952.5
2001-11-01,5.02,2115.75,6.42,39.8,5.02,,9641.2
2001-12-01,5.19,2185.36,6.63,41.1,5.19,,7348.3
2002-01-01,5.27,2200.01,6.67,41.4,5.27,,7210.6
2002-02-01,4.95,2066.29,6.27,38.9,4.95,,14658.8
2002-03-01,5.28,2205.51,6.69,41.5,5.28,,7609.5
2002-04-01,5.92,2469.29,7.49,46.5,5.92,,21869.5
2002-05-01,6.51,2718.42,8.24,51.2,6.51,,28444.6
2002-06-01,6.42,2678.12,8.12,86.0,6.42,,25436.0
2002-07-01,7.22,3015.17,9.14,96.8,7.22,,45431.3
2002-08-01,6.49,2711.09,8.22,87.1,6.49,,35107.5
2002-09-01,6.58,2747.73,8.33,68.2,6.58,,24426.2
2002-10-01,6.23,2601.18,7.89,64.5,6.23,,5055.1
2002-11-01,5.89,2458.3,7.46,61.0,5.89,,4789.3
