,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,641.47,2.34,,,,129183.5
1996-11-01,,877.97,3.21,,,,193285.4
1996-12-01,,1173.12,4.29,,,,109280.2
1997-01-01,,1204.94,4.4,,,,64522.6
1997-02-01,,1199.95,4.39,,,,26453.9
1997-03-01,,1199.33,4.38,45.8,,,12617.3
1997-04-01,,1334.11,4.88,50.9,,,183560.0
1997-05-01,,1575.6,5.76,60.1,,,190077.3
1997-06-01,,1151.9,4.21,44.0,,,46769.8
1997-07-01,,1059.55,3.87,40.4,,,28722.8
1997-08-01,,960.96,3.51,36.7,,,23475.9
1997-09-01,,1085.76,3.97,41.4,,,38522.7
1997-10-01,,897.31,3.28,28.8,,,21731.4
1997-11-01,,923.52,3.38,29.6,,,15395.7
1997-12-01,,886.08,3.24,28.4,,,14532.2
1998-01-01,,866.11,3.17,27.8,,,11737.1
1998-02-01,,942.24,3.44,30.2,,,26706.9
1998-03-01,,948.48,3.47,30.4,,,14188.5
1998-04-01,,879.84,3.22,28.2,,,13849.2
1998-05-01,,1110.72,4.06,42.4,,,80777.1
1998-06-01,,1633.63,5.97,62.3,,,138878.1
1998-07-01,,1428.96,5.22,54.5,,,76484.1
1998-08-01,,1592.45,5.82,60.8,,,51706.8
1998-09-01,,1561.25,5.71,59.6,,,38124.4
1998-10-01,,1716.0,6.27,52.9,,,63849.9
1998-11-01,,1740.96,6.36,53.7,,,39817.2
1998-12-01,,1674.82,6.12,51.6,,,49083.4
1999-01-01,,1360.32,4.97,41.9,,,22501.5
1999-02-01,2.74,1391.52,5.09,42.9,,,16611.8
1999-03-01,2.78,1410.24,5.15,43.5,,,3862.7
1999-04-01,3.23,1639.87,5.99,50.5,,,44533.7
1999-05-01,3.29,1669.82,6.1,49.6,,,43426.5
1999-06-01,4.0,2031.74,7.43,60.3,,,65861.1
1999-07-01,4.59,2331.26,8.52,69.2,,,86993.3
1999-08-01,5.13,2607.07,9.53,41.0,,,44715.8
1999-09-01,4.07,2069.18,7.56,32.5,,,29862.4
1999-10-01,4.28,2175.61,7.35,31.6,,,25679.3
1999-11-01,4.12,2090.86,7.07,30.4,,,14344.8
1999-12-01,3.95,2006.12,6.78,29.1,,,13658.5
2000-01-01,3.81,1896.53,6.41,27.6,3.81,,52397.3
2000-02-01,3.96,1969.59,6.66,28.6,3.96,,77907.3
2000-03-01,4.58,2276.42,7.69,33.1,4.58,,151587.3
2000-04-01,4.14,2057.26,6.95,29.9,4.14,,105039.8
2000-05-01,4.29,2133.23,7.21,31.0,4.29,,75188.5
2000-06-01,4.32,2149.31,7.26,31.2,4.32,,41626.9
2000-07-01,4.43,2204.83,7.45,32.0,4.43,,46282.7
2000-08-01,4.68,2326.1,7.86,33.8,4.68,,44213.1
2000-09-01,4.41,2194.6,7.42,31.9,4.41,,66135.2
2000-10-01,4.36,2168.3,7.33,106.0,4.36,,11249.7
2000-11-01,4.58,2277.89,7.7,111.4,4.58,,11460.2
2000-12-01,4.8,2388.93,8.07,116.8,4.8,,95828.8
2001-01-01,4.77,2483.9,8.4,121.4,4.77,,58564.0
2001-02-01,4.59,2393.31,8.09,117.0,4.59,,70822.8
2001-03-01,4.38,2279.35,7.7,111.4,4.38,,13009.3
2001-04-01,4.75,2475.14,8.37,89.2,4.75,,40735.7
2001-05-01,4.48,2331.95,7.88,84.0,4.48,,45759.8
2001-06-01,4.65,2424.0,8.19,87.3,4.65,,22969.0
2001-07-01,4.86,2529.2,8.55,91.1,4.86,,37907.4
2001-08-01,4.51,2350.94,7.95,84.7,4.51,,67188.3
2001-09-01,4.44,2311.49,7.81,83.3,4.44,,31029.0
2001-10-01,3.82,1987.12,6.72,71.6,3.82,,11187.6
2001-11-01,3.53,1841.01,6.22,66.3,3.53,,8485.1
2001-12-01,3.95,2055.8,6.95,74.1,3.95,,29932.0
2002-01-01,3.88,2130.31,7.2,76.7,3.88,,24972.8
2002-02-01,3.59,1975.43,6.68,193.1,3.59,,24240.4
2002-03-01,3.6,1979.82,6.69,193.6,3.6,,10499.8
2002-04-01,3.75,2058.72,6.96,201.3,3.75,,29435.0
2002-05-01,3.78,2079.17,7.03,203.3,3.78,,8414.2
2002-06-01,3.32,1826.4,6.17,178.6,3.32,,7951.2
2002-07-01,3.9,2142.0,7.24,209.4,3.9,,24960.6
2002-08-01,3.67,2017.81,6.82,197.3,3.67,,6241.1
2002-09-01,3.85,2117.16,7.16,63.0,3.85,,12190.0
2002-10-01,3.8,2087.94,7.06,62.1,3.8,,9175.1
2002-11-01,3.36,1848.32,6.25,55.0,3.36,,6820.9
