,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,,,,,,
1997-08-01,,,,,,,
1997-09-01,,,,,,,
1997-10-01,,,,,,,
1997-11-01,,,,,,,
1997-12-01,,,,,,,
1998-01-01,,,,,,,
1998-02-01,,,,,,,
1998-03-01,,,,,,,
1998-04-01,,,,,,,
1998-05-01,,,,,,,
1998-06-01,,,,,,,
1998-07-01,,,,,,,
1998-08-01,,,,,,,
1998-09-01,,,,,,,
1998-10-01,,,,,,,
1998-11-01,,,,,,,
1998-12-01,,,,,,,
1999-01-01,,,,,,,
1999-02-01,,,,,,,
1999-03-01,,,,,,,
1999-04-01,,,,,,,
1999-05-01,,,,,,,
1999-06-01,,,,,,,
1999-07-01,,,,,,,
1999-08-01,,,,,,,
1999-09-01,,,,,,,
1999-10-01,,,,,,,
1999-11-01,,,,,,,
1999-12-01,,,,,,,
2000-01-01,,,,,,,
2000-02-01,,,,,,,
2000-03-01,,,,,,,
2000-04-01,,,,,,,
2000-05-01,,,,,,,
2000-06-01,,,,,,,
2000-07-01,,,,,,,
2000-08-01,,,,,,,
2000-09-01,,,,,,,
2000-10-01,,,,,,,
2000-11-01,,,,,,,
2000-12-01,,,,,,,
2001-01-01,,,,,,,
2001-02-01,,,,,,,
2001-03-01,,,,,,,
2001-04-01,,,,,,,
2001-05-01,,,,,,,
2001-06-01,,,,,,,
2001-07-01,,,,,,,
2001-08-01,,,,,,,
2001-09-01,,,,,,,
2001-10-01,,,,,,,
2001-11-01,,,,,,,
2001-12-01,,,,,,,
2002-01-01,,,,,,,
2002-02-01,,,,,,,
2002-03-01,,,,,,,
2002-04-01,,,,,,,
2002-05-01,,,,,,,
2002-06-01,,,,,,,
2002-07-01,,,,,,,
2002-08-01,,,,,,,
2002-09-01,,,,,,,
2002-10-01,,,,,,,
2002-11-01,,,,,,,
2002-12-01,,,,,,,
2003-01-01,,,,,,,
2003-02-01,,,,,,,
2003-03-01,,,,,,,
2003-04-01,,,,,,,
2003-05-01,,,,,,,
2003-06-01,,,,,,,
2003-07-01,,,,,,,
2003-08-01,,,,,,,
2003-09-01,2.03,1028.28,3.57,24.6,2.03,,83044.0
2003-10-01,1.73,876.99,3.04,21.0,1.73,,92415.6
2003-11-01,2.0,1012.29,3.51,24.2,2.0,,121939.1
2003-12-01,1.99,1009.83,3.5,24.1,1.99,,101866.0
2004-01-01,1.93,1105.77,3.83,26.4,1.93,,136716.9
2004-02-01,1.95,1118.07,3.88,26.7,1.95,,73226.4
2004-03-01,2.06,1183.26,4.1,28.3,2.06,,97972.6
2004-04-01,1.99,1140.21,3.95,27.3,1.99,,52172.8
2004-05-01,1.63,934.8,3.24,25.4,1.63,,43543.1
2004-06-01,1.63,938.49,3.25,25.5,1.63,,14878.1
2004-07-01,1.43,821.64,2.85,22.3,1.43,,19447.3
2004-08-01,1.5,859.77,2.98,23.4,1.5,,56081.4
2004-09-01,1.43,822.87,2.85,22.4,1.43,,63859.6
2004-10-01,1.43,821.64,2.85,22.3,1.43,,40385.5
2004-11-01,1.57,901.59,3.13,16.2,1.57,,70395.8
2004-12-01,1.57,904.05,3.13,16.3,1.57,,34854.8
2005-01-01,1.38,836.4,2.9,15.1,1.38,,16854.7
2005-02-01,1.28,778.59,2.7,14.0,1.28,,13032.3
2005-03-01,1.45,881.91,3.06,15.9,1.45,,14077.8
2005-04-01,1.23,744.15,2.58,13.5,1.23,,33892.3
2005-05-01,0.93,565.8,1.96,10.2,0.93,,43151.4
2005-06-01,0.83,504.3,1.75,9.6,0.83,,16619.2
2005-07-01,0.82,498.15,1.73,9.5,0.82,,41660.2
2005-08-01,0.89,537.51,1.86,10.2,0.89,,34625.8
2005-09-01,0.97,589.17,2.04,11.1,0.97,,68771.8
2005-10-01,1.06,644.52,2.23,12.1,1.06,,91918.1
2005-11-01,1.14,690.03,2.39,14.9,1.14,,75526.8
2005-12-01,0.99,600.24,2.08,12.9,0.99,,62095.2
2006-01-01,0.96,599.01,2.08,12.9,0.96,,28560.4
2006-02-01,1.05,655.59,2.27,14.1,1.05,,43162.5
2006-03-01,1.27,790.89,2.74,17.0,1.27,,89029.4
2006-04-01,1.52,948.33,3.29,18.5,1.52,,72256.5
2006-05-01,1.16,724.47,2.51,14.1,1.16,,102728.4
2006-06-01,1.58,982.77,3.41,25.3,1.58,,97699.9
