,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,850.0,5.25,106.3,,,86730.5
1994-05-01,,619.5,3.82,77.4,,,49199.1
1994-06-01,,519.0,3.2,64.9,,,15144.1
1994-07-01,,407.5,2.52,50.9,,,7301.7
1994-08-01,,355.0,2.19,44.4,,,12927.6
1994-09-01,,664.5,4.1,83.1,,,90152.3
1994-10-01,,602.5,3.72,75.3,,,77191.3
1994-11-01,,520.0,3.21,65.0,,,40001.4
1994-12-01,,541.5,3.34,67.7,,,20627.1
1995-01-01,,515.0,3.18,64.4,,,10357.3
1995-02-01,,437.5,2.7,54.7,,,2779.9
1995-03-01,,443.5,2.74,55.4,,,5245.0
1995-04-01,,549.5,3.39,78.5,,,20405.7
1995-05-01,,452.5,2.79,64.6,,,10133.0
1995-06-01,,560.0,3.46,80.0,,,29786.9
1995-07-01,,481.0,2.97,68.7,,,10586.1
1995-08-01,,549.5,3.39,78.5,,,10748.3
1995-09-01,,530.0,3.27,75.7,,,7840.4
1995-10-01,,470.0,2.9,72.3,,,3897.0
1995-11-01,,486.0,3.0,74.8,,,4683.5
1995-12-01,,450.5,2.78,69.3,,,1606.0
1996-01-01,,409.0,2.52,62.9,,,889.4
1996-02-01,,365.0,2.25,56.2,,,699.8
1996-03-01,,425.0,2.62,65.4,,,1899.3
1996-04-01,,515.0,3.18,79.2,,,7867.9
1996-05-01,,495.5,3.06,90.1,,,23723.6
1996-06-01,,400.0,2.47,72.7,,,6014.6
1996-07-01,,517.0,3.19,94.0,,,22925.8
1996-08-01,,500.0,3.09,90.9,,,12965.7
1996-09-01,,470.0,2.9,85.5,,,6227.6
1996-10-01,,457.5,2.82,83.2,,,5199.8
1996-11-01,,590.0,3.64,107.3,,,31881.8
1996-12-01,,695.0,4.29,126.4,,,122483.8
1997-01-01,,464.0,2.86,84.4,,,84117.8
1997-02-01,,489.0,3.02,88.9,,,36847.8
1997-03-01,,531.5,3.28,81.8,,,31159.3
1997-04-01,,586.0,3.62,90.2,,,74986.6
1997-05-01,,565.0,3.49,86.9,,,68031.4
1997-06-01,,500.0,3.09,76.9,,,50427.8
1997-07-01,,450.0,2.78,69.2,,,17819.9
1997-08-01,,542.0,3.35,67.8,,,63398.4
1997-09-01,,497.5,3.07,62.2,,,19049.0
1997-10-01,,504.0,3.11,63.0,,,15543.3
1997-11-01,,560.0,3.46,70.0,,,20772.5
1997-12-01,,499.0,3.08,62.4,,,9641.9
1998-01-01,,552.0,3.41,69.0,,,12800.6
1998-02-01,,622.5,3.84,77.8,,,36298.3
1998-03-01,,563.5,3.48,70.4,,,9295.3
1998-04-01,,744.5,4.6,93.1,,,37408.4
1998-05-01,,827.5,5.11,66.2,,,64220.6
1998-06-01,,858.0,5.3,68.6,,,25630.7
1998-07-01,,1090.8,6.73,87.3,,,56779.6
1998-08-01,,951.0,5.87,76.1,,,20431.0
1998-09-01,,775.8,4.79,62.1,,,12361.9
1998-10-01,,928.2,5.73,81.4,,,37171.3
1998-11-01,,903.0,5.57,79.2,,,18975.0
1998-12-01,,849.6,5.24,74.5,,,11497.4
1999-01-01,,778.8,4.81,68.3,,,5656.6
1999-02-01,5.11,738.0,4.56,64.7,,,10705.5
1999-03-01,4.94,712.8,4.4,62.5,,,1432.8
1999-04-01,5.4,780.0,4.81,68.4,,,10141.5
1999-05-01,5.4,780.0,4.81,68.4,,,10134.2
1999-06-01,7.15,1032.48,6.37,68.8,,,41907.8
1999-07-01,7.58,1094.4,6.76,73.0,,,78977.5
1999-08-01,8.51,1228.32,7.58,81.9,,,37623.2
1999-09-01,8.14,1175.76,7.26,81.7,,,13411.1
1999-10-01,8.08,1166.4,7.2,81.0,,,25259.3
1999-11-01,8.18,1180.8,7.29,82.0,,,9773.0
1999-12-01,7.78,1123.2,6.93,78.0,,,6355.8
2000-01-01,5.36,1152.0,7.11,80.0,5.66,,4565.2
2000-02-01,6.2,1332.0,8.22,92.5,6.54,,19967.7
2000-03-01,8.44,1814.4,11.2,126.0,8.92,,43976.8
2000-04-01,11.89,2554.56,15.77,177.4,12.55,,39439.6
2000-05-01,12.36,2655.36,16.39,184.4,13.05,,15337.9
2000-06-01,14.49,3112.56,19.21,216.2,15.29,,14834.2
2000-07-01,13.55,2910.6,17.97,202.1,14.3,,10310.9
2000-08-01,14.69,3156.84,19.49,219.2,15.51,,9507.7
2000-09-01,14.06,3021.84,18.65,164.6,14.85,,7821.7
2000-10-01,14.28,3068.28,18.94,167.1,15.08,,3225.5
2000-11-01,14.38,3089.88,19.07,168.3,15.18,,5606.2
2000-12-01,14.88,3196.8,19.73,174.1,15.71,,14360.2
2001-01-01,13.12,2998.75,17.53,154.7,13.12,,8856.5
2001-02-01,12.82,2930.34,17.13,151.2,12.82,,5002.0
2001-03-01,12.22,2793.51,16.33,144.1,12.22,,4020.4
2001-04-01,12.77,2918.93,17.07,150.6,12.77,,10292.0
2001-05-01,12.91,2950.86,17.25,152.2,12.91,,16567.7
2001-06-01,13.31,3040.95,17.78,156.9,13.31,,26547.6
2001-07-01,12.69,2898.99,16.95,149.6,12.69,,10916.5
2001-08-01,11.57,2644.15,15.46,136.4,11.57,,6415.9
2001-09-01,11.21,2562.06,14.98,132.2,11.21,,3507.3
2001-10-01,10.99,2510.75,14.68,129.5,10.99,,2625.4
2001-11-01,10.37,2368.79,13.85,122.2,10.37,,7207.4
