,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,93.75,0.4,,2.06,,231620.6
1992-08-01,,75.0,0.32,,1.65,,4500855.0
1992-09-01,,67.5,0.29,,1.48,,2321609.0
1992-10-01,,62.5,0.27,147.0,1.37,,1592927.0
1992-11-01,,76.25,0.33,179.4,1.68,,1478328.0
1992-12-01,,75.0,0.32,176.4,1.65,,2702768.0
1993-01-01,,73.75,0.32,190.5,0.99,,47579.1
1993-02-01,,93.75,0.4,242.2,1.26,,28186.3
1993-03-01,,105.0,0.45,271.2,1.41,,48115.2
1993-04-01,,85.0,0.36,219.6,1.14,,22571.5
1993-05-01,,87.5,0.38,226.0,1.18,,11491.0
1993-06-01,,77.5,0.33,200.2,1.04,,15807.8
1993-07-01,,66.5,0.29,17.2,0.89,,7642.5
1993-08-01,,66.5,0.29,17.2,0.89,,6838.3
1993-09-01,,92.75,0.4,24.0,1.25,,25535.0
1993-10-01,,94.5,0.41,24.5,1.27,,17167.1
1993-11-01,,91.0,0.39,23.6,1.22,,17898.1
1993-12-01,,108.5,0.47,28.1,1.46,,40241.6
1994-01-01,2.37,138.25,0.59,35.8,2.6,,24877.2
1994-02-01,1.83,106.75,0.46,27.7,2.01,,8976.1
1994-03-01,1.92,112.0,0.48,29.0,2.11,,8848.9
1994-04-01,1.08,63.0,0.27,17.4,1.19,,12651.8
1994-05-01,0.9,52.5,0.23,14.5,0.99,,17932.8
1994-06-01,1.17,68.25,0.29,18.9,1.29,,19821.2
1994-07-01,0.86,50.4,0.22,13.9,0.95,,3031.4
1994-08-01,0.88,51.1,0.22,14.1,0.96,,8118.8
1994-09-01,1.1,64.05,0.27,17.7,1.21,,25723.8
1994-10-01,1.08,63.0,0.27,8.3,1.19,,13422.1
1994-11-01,1.05,61.25,0.26,8.1,1.15,,17048.2
1994-12-01,0.75,43.75,0.19,5.8,0.82,,5831.9
1995-01-01,0.67,35.0,0.15,4.6,0.67,,8791.4
1995-02-01,0.55,28.7,0.12,3.8,0.55,,15480.1
1995-03-01,0.65,34.3,0.15,4.5,0.65,,27545.0
1995-04-01,0.62,32.55,0.14,7.8,0.62,,7083.5
1995-05-01,0.48,25.2,0.11,6.1,0.48,,7907.6
1995-06-01,0.56,29.4,0.13,7.1,0.56,,14392.3
1995-07-01,0.48,25.41,0.11,6.1,0.48,,14850.0
1995-08-01,0.64,33.49,0.14,8.0,0.64,,17933.5
1995-09-01,0.62,32.72,0.14,7.8,0.62,,13626.4
1995-10-01,0.62,32.72,0.14,12.9,0.62,,16926.3
1995-11-01,0.59,30.8,0.13,12.1,0.59,,3654.1
1995-12-01,0.62,32.72,0.14,12.9,0.62,,10703.0
1996-01-01,0.49,27.72,0.12,10.9,0.49,,2939.6
1996-02-01,0.53,30.03,0.13,11.8,0.53,,5250.5
1996-03-01,0.49,27.72,0.12,10.9,0.49,,687.8
1996-04-01,0.46,26.18,0.11,10.3,0.46,,2955.7
1996-05-01,0.46,25.79,0.11,10.1,0.46,,4783.7
1996-06-01,0.42,23.48,0.1,20.3,0.42,,7206.4
1996-07-01,0.46,26.26,0.11,22.9,0.46,,6507.5
1996-08-01,0.4,22.87,0.1,20.0,0.4,,1926.3
1996-09-01,0.4,22.45,0.1,14.7,0.4,,3612.4
1996-10-01,0.37,21.17,0.09,13.8,0.37,,2966.8
1996-11-01,0.4,22.45,0.1,14.7,0.4,,2895.4
1996-12-01,0.46,26.26,0.11,17.2,0.46,,6108.6
1997-01-01,0.76,36.42,0.16,23.8,0.76,,33598.7
1997-02-01,0.69,33.03,0.14,21.6,0.69,,6669.9
1997-03-01,0.82,39.39,0.17,,0.82,,22207.3
1997-04-01,0.83,39.81,0.17,,0.83,,17232.1
1997-05-01,0.83,39.81,0.17,,0.83,,14832.8
1997-06-01,0.67,32.19,0.14,,0.67,,14262.3
1997-07-01,0.63,30.28,0.13,,0.63,,3356.9
1997-08-01,0.52,25.16,0.11,,0.52,,4489.2
1997-09-01,0.58,27.95,0.12,,0.58,,12581.9
1997-10-01,0.59,28.42,0.12,,0.59,,6863.0
1997-11-01,0.49,23.29,0.1,,0.49,,7071.1
1997-12-01,0.39,18.63,0.08,,0.39,,7354.2
1998-01-01,0.39,17.7,0.08,,0.39,,9517.6
1998-02-01,0.32,14.44,0.06,,0.32,,14274.3
1998-03-01,0.45,20.5,0.09,,0.45,,20297.4
1998-04-01,0.45,20.5,0.09,,0.45,,9999.1
1998-05-01,0.46,20.96,0.09,,0.46,,13365.1
1998-06-01,0.5,22.83,0.1,,0.5,,17553.7
1998-07-01,0.46,20.96,0.09,,0.46,,10671.8
1998-08-01,0.31,13.98,0.06,,0.31,,7052.7
1998-09-01,0.34,15.37,0.07,,0.34,,10333.9
1998-10-01,0.37,16.77,0.07,,0.37,,35549.4
1998-11-01,0.34,15.37,0.07,,0.34,,35649.8
1998-12-01,0.32,14.44,0.06,,0.32,,6562.0
1999-01-01,0.39,13.04,0.06,,0.39,,7721.8
1999-02-01,0.36,12.11,0.05,43.0,0.36,,6186.3
1999-03-01,0.32,10.71,0.05,38.1,0.32,,1688.0
1999-04-01,0.39,13.04,0.06,46.4,0.39,,29532.8
1999-05-01,0.4,13.51,0.06,48.0,0.4,,11928.9
1999-06-01,0.65,21.89,0.09,77.8,0.65,,42031.6
1999-07-01,0.72,24.22,0.1,86.1,0.72,,115361.6
1999-08-01,0.79,26.55,0.11,94.4,0.79,,62142.4
1999-09-01,0.88,29.81,0.13,21.2,0.88,,52980.1
1999-10-01,0.84,28.42,0.12,20.2,0.84,,33742.7
1999-11-01,0.84,28.42,0.12,20.2,0.84,,12706.7
1999-12-01,0.88,29.81,0.13,21.2,0.88,,23755.0
2000-01-01,0.84,27.02,0.12,19.2,0.84,,6209.6
2000-02-01,0.9,28.88,0.12,20.5,0.9,,13734.5
2000-03-01,0.8,25.62,0.11,18.2,0.8,,15628.6
2000-04-01,0.92,29.35,0.13,20.9,0.92,,20872.7
2000-05-01,0.9,28.88,0.12,102.7,0.9,,10819.8
