,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,3264.0,9.73,,,,105578.9
1997-08-01,,2934.4,8.75,38.2,,,56571.4
1997-09-01,,2912.0,8.68,37.9,,,48929.6
1997-10-01,,2585.6,7.71,33.7,,,24993.2
1997-11-01,,3136.0,9.35,40.8,,,75202.9
1997-12-01,,2710.4,8.08,35.3,,,29326.1
1998-01-01,,2668.8,7.96,34.8,,,23845.2
1998-02-01,,2675.2,7.98,34.8,,,21214.1
1998-03-01,,2643.2,7.88,34.4,,,22922.6
1998-04-01,,2569.6,7.66,33.5,,,12355.3
1998-05-01,,2665.6,7.95,28.7,,,22560.5
1998-06-01,,2902.4,8.65,31.3,,,37311.7
1998-07-01,,2848.0,8.49,30.7,,,45334.6
1998-08-01,,2585.6,7.71,27.9,,,13242.9
1998-09-01,,1964.8,5.86,21.2,,,16312.8
1998-10-01,,2326.71,6.74,29.3,,,34919.4
1998-11-01,,2499.32,7.24,31.5,,,28903.5
1998-12-01,,2433.73,7.05,30.7,,,30973.8
1999-01-01,,2047.09,5.93,25.8,,,9191.0
1999-02-01,1.94,1978.05,5.73,24.9,,,8998.1
1999-03-01,1.78,1822.71,5.28,23.0,,,2023.3
1999-04-01,2.02,2064.35,5.98,26.0,,,26480.2
1999-05-01,1.96,1998.77,5.79,25.2,,,30271.8
1999-06-01,1.89,1926.27,5.58,24.3,,,21501.3
1999-07-01,2.24,2288.74,6.63,28.8,,,115030.8
1999-08-01,2.31,2364.69,6.85,29.8,,,40736.2
1999-09-01,2.44,2495.87,7.23,,,,46654.8
1999-10-01,2.26,2312.91,6.7,,,,21402.7
1999-11-01,2.06,2109.23,6.11,,,,6359.6
1999-12-01,2.08,2123.04,6.15,,,,15581.2
2000-01-01,1.7,1846.87,5.35,,,,7316.5
2000-02-01,1.78,1933.18,5.6,,,,23824.1
2000-03-01,3.17,3452.1,10.0,,,,187264.1
2000-04-01,2.88,3127.6,9.06,,,,105394.2
2000-05-01,2.69,2927.38,8.48,,,,36788.1
2000-06-01,2.71,2941.19,8.52,,,,23312.3
2000-07-01,2.77,3006.78,8.71,,,,48713.9
2000-08-01,3.13,3400.32,9.85,,,,45637.2
2000-09-01,2.96,3213.9,9.31,,,,45257.4
2000-10-01,2.75,2992.97,8.67,,,,11835.9
2000-11-01,2.93,3189.74,9.24,,,,13316.0
2000-12-01,3.78,4114.9,11.92,,,,103100.9
2001-01-01,4.51,4125.26,11.95,,,,26757.4
2001-02-01,4.34,3969.91,11.5,,,,21864.4
2001-03-01,3.85,3521.14,10.2,,,,12624.0
2001-04-01,4.32,3952.65,11.45,,,,21120.2
2001-05-01,4.02,3683.39,10.67,133.4,,,26832.6
2001-06-01,4.56,4173.58,12.09,151.1,,,26266.7
2001-07-01,4.45,4073.47,11.8,147.5,,,26016.1
2001-08-01,3.62,3310.56,9.59,119.9,,,13791.9
2001-09-01,3.48,3182.83,9.22,115.3,,,10762.7
2001-10-01,2.77,2537.29,7.35,91.9,,,6768.3
2001-11-01,3.01,2751.32,7.97,99.6,,,12838.5
2001-12-01,3.03,2772.03,8.03,100.4,,,10944.1
2002-01-01,2.63,2416.47,7.0,87.5,2.63,,25778.0
2002-02-01,2.06,1888.3,5.47,68.4,2.06,,26711.5
2002-03-01,2.17,1995.31,5.78,72.3,2.17,,14261.1
2002-04-01,2.52,2316.36,6.71,83.9,2.52,,35597.6
2002-05-01,2.6,2392.3,6.93,86.6,2.6,,35587.6
2002-06-01,2.68,2464.8,7.14,89.3,2.68,,45287.4
2002-07-01,2.96,2720.25,7.88,98.5,2.96,,46945.0
2002-08-01,2.76,2533.84,7.34,91.8,2.76,,14603.2
2002-09-01,2.76,2537.29,7.35,,2.76,,8738.4
2002-10-01,2.56,2350.88,6.81,,2.56,,4317.5
2002-11-01,2.44,2243.86,6.5,,2.44,,4286.9
2002-12-01,2.0,1839.97,5.33,,2.0,,11015.1
2003-01-01,1.92,1850.32,5.36,,1.92,,10068.2
2003-02-01,2.15,2078.16,6.02,,2.15,,19697.3
2003-03-01,2.29,2209.34,6.4,,2.29,,37304.3
2003-04-01,2.24,2167.92,6.28,,2.24,,12187.7
2003-05-01,2.42,2337.07,6.77,,2.42,,44146.9
2003-06-01,2.39,2306.0,6.68,,2.39,,55448.0
