,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,353.49,1.01,,,,176811.6
1994-06-01,,311.77,0.89,,,,94305.4
1994-07-01,,239.33,0.68,,,,11673.8
1994-08-01,,217.31,0.62,,,,15777.8
1994-09-01,,330.31,0.94,,,,102219.7
1994-10-01,,492.57,1.4,,,,284571.4
1994-11-01,,339.36,1.03,,,,170507.3
1994-12-01,,352.03,1.07,,,,99215.1
1995-01-01,,360.48,1.1,,,,151880.4
1995-02-01,,323.87,0.99,,,,21343.5
1995-03-01,,337.95,1.03,,,,23452.7
1995-04-01,,356.96,1.09,19.5,,,77466.3
1995-05-01,,316.83,0.97,17.3,,,25450.0
1995-06-01,,362.6,1.11,19.8,,,136647.6
1995-07-01,,325.28,0.99,17.8,,,46324.8
1995-08-01,,336.55,1.03,18.4,,,35281.5
1995-09-01,,320.35,0.98,17.5,,,66636.8
1995-10-01,,320.35,0.98,19.0,,,26784.3
1995-11-01,,303.45,0.93,18.0,,,20347.4
1995-12-01,,274.59,0.84,16.3,,,188850.8
1996-01-01,,235.16,0.72,13.9,,,63192.2
1996-02-01,,226.71,0.69,13.4,,,6692.3
1996-03-01,,225.3,0.69,13.3,,,2752.5
1996-04-01,,218.97,0.67,13.0,,,7873.2
1996-05-01,,346.4,0.88,17.0,,,87951.6
1996-06-01,,307.43,0.78,32.3,,,143556.3
1996-07-01,,403.56,1.02,42.4,,,252289.8
1996-08-01,,775.42,1.96,81.4,,,681196.1
1996-09-01,,743.04,1.88,78.0,,,212266.3
1996-10-01,,672.54,1.7,70.6,,,141744.3
1996-11-01,,960.23,2.43,100.8,,,623941.8
1996-12-01,,1033.58,2.61,108.5,,,331323.4
1997-01-01,,728.75,1.84,76.5,,,196637.3
1997-02-01,,1006.91,2.55,105.7,,,297137.2
1997-03-01,,1095.5,2.77,50.0,,,140976.5
1997-04-01,,1050.73,2.66,48.0,,,156636.3
1997-05-01,,1019.29,2.58,46.5,,,111304.9
1997-06-01,,997.38,2.52,45.5,,,215880.8
1997-07-01,,853.54,2.16,39.0,,,67710.4
1997-08-01,,779.23,1.97,58.4,,,36188.5
1997-09-01,,929.46,2.35,68.2,,,79156.1
1997-10-01,,758.66,1.92,55.7,,,51079.3
1997-11-01,,878.11,2.22,64.5,,,67324.4
1997-12-01,,772.28,1.95,56.7,,,45524.2
1998-01-01,,838.3,2.12,61.5,,,50403.1
1998-02-01,,790.09,2.0,58.0,,,38726.4
1998-03-01,,761.8,1.93,55.9,,,18093.6
1998-04-01,,767.04,1.94,56.3,,,21565.8
1998-05-01,,835.15,2.11,36.2,,,89329.3
1998-06-01,,944.13,2.39,41.0,,,106516.4
1998-07-01,,940.99,2.38,40.8,,,105103.1
1998-08-01,,1148.47,2.9,49.8,,,245447.4
1998-09-01,,1266.87,3.2,93.0,,,112492.4
1998-10-01,,1550.85,3.92,113.8,,,75052.1
1998-11-01,,1240.68,3.14,91.1,,,84499.8
1998-12-01,,1130.65,2.86,83.0,,,57621.1
1999-01-01,,1002.81,2.54,73.6,,,91606.9
1999-02-01,3.99,995.48,2.52,73.1,4.37,,39746.0
1999-03-01,4.13,1032.15,2.61,75.8,4.53,,7296.7
1999-04-01,4.98,1243.82,3.14,91.3,5.46,,62721.2
1999-05-01,4.53,1131.7,2.86,83.1,4.97,,21765.2
1999-06-01,5.45,1362.23,3.44,46.4,5.98,,88302.5
1999-07-01,5.9,1472.79,3.72,50.2,6.46,,288798.1
1999-08-01,6.13,1530.94,3.87,52.2,6.72,,66175.9
1999-09-01,6.05,1512.08,3.82,41.8,6.64,,44774.1
1999-10-01,5.92,1479.07,3.74,40.9,6.49,,32366.9
1999-11-01,5.17,1290.46,3.26,35.7,5.66,,13232.0
1999-12-01,4.82,1204.01,3.04,33.3,5.28,,16846.2
2000-01-01,3.53,1233.14,2.84,31.1,4.94,,19203.4
2000-02-01,4.61,1607.76,3.71,40.6,6.44,,111860.0
2000-03-01,6.39,2228.66,5.14,56.2,8.92,,382857.6
2000-04-01,5.57,1944.23,4.48,49.1,7.78,,147333.8
2000-05-01,5.59,1951.17,4.5,49.2,7.81,,77939.7
2000-06-01,5.37,1873.12,4.32,47.3,7.5,,38922.0
2000-07-01,5.36,1869.65,4.31,47.2,7.49,,126391.8
2000-08-01,5.17,1805.48,4.16,45.6,7.23,,49757.8
2000-09-01,5.35,1867.92,4.31,47.1,7.48,,80107.3
2000-10-01,5.55,1935.56,4.46,48.8,7.75,,34496.2
2000-11-01,5.99,2089.92,4.82,52.7,8.37,,80013.5
2000-12-01,6.48,2261.62,5.22,57.1,9.05,,122310.8
2001-01-01,7.13,2504.43,5.78,63.2,7.13,,84213.8
2001-02-01,7.28,2556.46,5.9,64.5,7.28,,100318.4
2001-03-01,6.85,2407.3,5.55,60.7,6.85,,35742.4
2001-04-01,8.0,2809.68,6.48,70.9,8.0,,89857.1
2001-05-01,8.12,2851.3,6.58,822.0,8.12,,69323.0
2001-06-01,7.7,2705.62,6.24,780.0,7.7,,86817.8
2001-07-01,7.52,2639.71,6.09,761.0,7.52,,74124.3
2001-08-01,6.24,2190.51,5.05,631.5,6.24,,23564.6
2001-09-01,6.14,2155.82,4.97,248.6,6.14,,31910.0
2001-10-01,5.65,1985.85,4.58,229.0,5.65,,21124.8
2001-11-01,4.84,1701.42,3.92,196.2,4.84,,29606.1
