,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,733.61,2.1,,,,41282.0
1994-12-01,,799.02,2.28,,,,223923.1
1995-01-01,,744.37,2.13,,,,43641.1
1995-02-01,,602.78,1.72,,,,12689.7
1995-03-01,,621.0,1.78,,,,10128.2
1995-04-01,,670.68,1.92,18.4,,,26782.7
1995-05-01,,541.51,1.55,14.9,,,32561.7
1995-06-01,,596.16,1.7,16.4,,,77226.3
1995-07-01,,574.63,1.64,15.8,,,23124.6
1995-08-01,,552.28,1.58,15.2,,,13235.5
1995-09-01,,563.04,1.61,15.5,,,20558.8
1995-10-01,,572.98,1.64,18.7,,,16748.7
1995-11-01,,625.97,1.79,20.4,,,12736.6
1995-12-01,,631.76,1.81,20.6,,,100231.3
1996-01-01,,563.04,1.61,18.4,,,17460.4
1996-02-01,,511.7,1.46,16.7,,,924.7
1996-03-01,,507.56,1.45,16.6,,,756.1
1996-04-01,,562.21,1.61,18.4,,,3406.8
1996-05-01,,1140.98,3.26,37.2,,,57003.0
1996-06-01,,1175.76,3.36,38.4,,,91514.6
1996-07-01,,1202.92,3.44,37.8,,,85705.6
1996-08-01,,1601.68,4.58,50.4,,,158250.4
1996-09-01,,1467.88,4.2,30.5,,,69118.8
1996-10-01,,1364.54,3.9,28.3,,,43532.1
1996-11-01,,1534.12,4.39,31.8,,,155630.5
1996-12-01,,1966.0,5.62,40.8,,,190024.4
1997-01-01,,1548.69,4.43,32.1,,,133301.0
1997-02-01,,1626.85,4.65,33.8,,,60177.1
1997-03-01,,1667.92,4.77,45.5,,,29142.0
1997-04-01,,1883.87,5.39,51.4,,,107882.1
1997-05-01,,1799.08,5.14,49.1,,,98982.4
1997-06-01,,1783.18,5.1,48.6,,,104355.6
1997-07-01,,1869.29,5.34,51.0,,,135795.9
1997-08-01,,1645.5,4.21,41.6,,,51818.2
1997-09-01,,1466.17,3.75,45.1,,,22749.4
1997-10-01,,1260.08,3.22,38.8,,,32700.0
1997-11-01,,1510.21,3.86,46.5,,,43354.6
1997-12-01,,1615.61,4.13,49.7,,,60340.9
1998-01-01,,1702.14,4.36,52.4,,,72888.0
1998-02-01,,1727.31,4.42,53.2,,,64349.4
1998-03-01,,1755.62,4.49,247.6,,,49130.6
1998-04-01,,1623.48,4.15,229.0,,,34646.1
1998-05-01,,2362.86,6.05,333.3,,,73439.0
1998-06-01,,2949.64,7.55,416.0,,,25681.2
1998-07-01,,3420.0,8.75,482.4,,,37127.7
1998-08-01,,3740.93,9.57,527.6,,,29243.1
1998-09-01,,3248.53,8.31,264.8,,,13767.5
1998-10-01,,3377.53,8.64,275.3,,,10635.3
1998-11-01,,3955.81,10.12,322.5,,,20374.4
1998-12-01,,4601.43,11.78,375.1,,,30962.4
1999-01-01,,5147.93,13.17,419.7,,,32891.8
1999-02-01,11.11,6085.21,15.57,496.1,11.11,,22966.2
1999-03-01,12.49,6838.43,17.5,169.5,12.49,,17589.5
1999-04-01,13.21,7232.03,18.51,179.3,13.21,,31555.9
1999-05-01,15.12,8279.74,21.19,205.2,15.12,,21683.9
1999-06-01,17.48,9570.97,24.49,237.2,17.48,,28186.0
1999-07-01,23.22,12711.27,32.53,315.1,23.22,,28063.3
1999-08-01,22.6,12374.3,31.67,306.7,22.6,,15225.4
1999-09-01,23.31,12765.07,32.67,,23.31,,12818.8
1999-10-01,23.03,12609.33,32.27,,23.03,,13825.6
1999-11-01,19.91,10899.02,27.89,,19.91,,6321.1
1999-12-01,21.94,12014.68,30.75,,21.94,,20869.0
2000-01-01,69.29,10893.35,27.88,,69.29,,7509.9
2000-02-01,89.81,14118.6,36.13,,89.81,,22626.9
2000-03-01,133.29,20954.2,53.62,,133.29,,16251.4
2000-04-01,121.43,19090.98,48.86,,121.44,,15536.0
2000-05-01,122.57,19269.37,49.31,,122.57,,9711.8
2000-06-01,117.92,18537.97,47.44,223.3,117.92,,6462.7
2000-07-01,110.34,17346.14,44.39,208.9,110.34,,9448.5
2000-08-01,107.08,16834.23,43.08,202.8,107.08,,8727.7
2000-09-01,101.66,15982.36,40.9,,101.66,,4422.2
2000-10-01,98.11,15423.56,39.47,,98.11,,7804.1
2000-11-01,90.6,14243.45,36.45,,90.6,,4038.8
2000-12-01,90.2,14180.92,36.29,,90.2,,10678.7
2001-01-01,152.73,7752.81,19.84,,152.72,,20397.3
2001-02-01,101.38,5146.4,13.17,,101.38,,151888.6
2001-03-01,106.54,5408.21,13.84,,106.54,,59765.8
2001-04-01,107.39,5451.2,13.95,,107.38,,53129.8
2001-05-01,104.0,5279.26,13.51,,104.0,,56963.4
2001-06-01,92.68,4704.83,12.04,,92.68,,34374.0
2001-07-01,85.6,4345.32,11.12,,85.6,,23851.5
2001-08-01,67.66,3434.84,8.79,,67.66,,19148.5
2001-09-01,83.52,4239.82,10.85,,83.52,,81891.3
2001-10-01,69.36,3520.81,9.01,,69.36,,40242.8
2001-11-01,67.66,3434.84,8.79,,67.66,,25080.5
2001-12-01,63.82,3239.46,8.29,,63.81,,25853.2
2002-01-01,55.58,2379.77,6.09,,55.59,,18507.5
2002-02-01,38.15,1633.41,4.18,,38.15,,40827.2
2002-03-01,44.91,1922.58,4.92,,44.91,,28255.2
