,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,794.95,0.66,,,,815445.1
1994-07-01,,611.64,0.5,,,,117973.1
1994-08-01,,661.16,0.55,,,,127104.9
1994-09-01,,1229.35,1.01,,,,1200403.0
1994-10-01,,1307.54,1.08,12.5,,,632495.4
1994-11-01,,1094.69,0.9,10.5,,,253636.4
1994-12-01,,1107.72,0.91,10.6,,,68532.1
1995-01-01,,1033.87,0.85,9.9,,,57690.9
1995-02-01,,986.09,0.81,9.5,,,46735.2
1995-03-01,,1073.84,0.89,10.3,,,46542.6
1995-04-01,,1155.5,0.95,10.4,,,192264.3
1995-05-01,,1125.96,0.93,10.1,,,108725.4
1995-06-01,,1320.32,1.09,11.9,,,252436.6
1995-07-01,,1152.03,0.95,10.4,,,57429.3
1995-08-01,,1580.09,1.3,14.2,,,462046.8
1995-09-01,,1581.22,1.3,14.2,,,165231.4
1995-10-01,,1881.65,1.55,10.7,,,109080.5
1995-11-01,,2514.13,2.07,14.4,,,226971.7
1995-12-01,,2462.18,2.03,14.1,,,1058015.0
1996-01-01,,2388.77,1.97,13.6,,,791909.8
1996-02-01,,2402.32,1.98,13.7,,,15075.7
1996-03-01,,2402.32,1.98,13.7,,,8124.1
1996-04-01,,2397.24,1.98,13.7,,,46879.2
1996-05-01,,3456.08,2.85,19.7,,,178967.6
1996-06-01,,2978.33,2.46,18.3,,,223785.9
1996-07-01,,3164.69,2.61,19.5,,,247214.4
1996-08-01,,3183.32,2.63,19.6,,,421991.4
1996-09-01,,2825.86,2.33,17.4,,,230297.3
1996-10-01,,2973.25,2.45,18.3,,,183406.2
1996-11-01,,3042.71,2.51,28.5,,,281833.9
1996-12-01,,3938.92,3.25,36.9,,,432066.7
1997-01-01,,3557.73,2.93,33.3,,,370212.4
1997-02-01,,4057.51,3.35,38.0,,,214007.8
1997-03-01,,5228.86,4.31,13.4,,,184682.4
1997-04-01,,6085.43,5.02,15.6,,,231044.9
1997-05-01,,8687.66,7.17,22.3,,,354898.6
1997-06-01,,10018.58,8.26,25.7,,,376500.4
1997-07-01,,9429.83,7.78,24.2,,,151580.7
1997-08-01,,8086.43,6.67,29.6,,,88133.9
1997-09-01,,6391.72,5.27,23.4,,,61250.9
1997-10-01,,5539.5,4.57,20.3,,,27592.1
1997-11-01,,7198.41,5.94,26.3,,,89709.6
1997-12-01,,6658.45,5.49,24.4,,,52670.0
1998-01-01,,8197.02,6.76,30.0,,,88929.9
1998-02-01,,10214.98,8.16,36.2,,,145871.1
1998-03-01,,9282.24,7.42,25.2,,,42075.4
1998-04-01,,9651.57,7.71,26.3,,,52434.7
1998-05-01,,9949.82,7.95,27.1,,,116218.7
1998-06-01,,9201.75,7.35,19.2,,,66689.4
1998-07-01,,8072.31,6.45,16.8,,,33758.2
1998-08-01,,8116.31,6.48,16.9,,,27443.2
1998-09-01,,5568.96,4.45,11.6,,,59599.0
1998-10-01,,5818.32,4.65,21.6,,,37145.0
1998-11-01,,6302.37,5.04,23.4,,,36913.1
1998-12-01,,5965.0,4.77,22.2,,,41837.0
1999-01-01,,5583.63,4.46,20.8,,,10687.8
1999-02-01,4.53,5187.59,4.14,19.3,4.53,,12553.6
1999-03-01,4.15,4752.45,3.8,17.7,4.15,,6644.7
1999-04-01,4.0,4581.32,3.66,17.0,4.0,,18575.0
1999-05-01,3.63,4160.83,3.32,15.5,3.63,,23925.7
1999-06-01,4.42,5060.47,4.04,29.6,4.42,,68601.8
1999-07-01,5.35,6126.35,4.89,35.8,5.35,,164269.8
1999-08-01,4.92,5637.41,4.5,32.9,4.92,,53683.0
1999-09-01,4.61,5280.49,4.22,30.9,4.61,,31863.3
1999-10-01,4.58,5241.38,4.19,30.6,4.58,,18153.5
1999-11-01,4.48,5128.93,4.1,28.4,4.48,,11243.0
1999-12-01,4.2,4816.0,3.85,26.6,4.2,,8581.3
2000-01-01,3.35,4400.41,3.52,24.3,3.35,,7052.1
2000-02-01,3.46,4556.87,3.64,25.2,3.46,,23689.0
2000-03-01,3.62,4757.33,3.8,26.3,3.62,,39609.4
2000-04-01,3.96,5207.15,4.16,28.8,3.96,,85308.8
2000-05-01,3.87,5094.7,4.07,28.2,3.87,,43504.1
2000-06-01,3.9,5128.93,4.1,28.4,3.9,,30239.3
2000-07-01,4.01,5280.49,4.22,29.2,4.01,,101920.5
2000-08-01,4.3,5661.86,4.52,31.3,4.3,,66451.5
2000-09-01,3.97,5226.71,4.18,28.9,3.97,,67242.8
2000-10-01,3.72,4899.13,3.91,27.1,3.72,,23261.6
2000-11-01,4.06,5334.27,4.26,29.5,4.06,,36467.5
2000-12-01,4.51,5930.78,4.74,32.8,4.51,,113691.9
2001-01-01,4.78,6057.9,4.84,33.5,4.78,,44502.6
2001-02-01,4.86,6155.69,4.92,34.0,4.86,,55607.9
2001-03-01,4.74,6013.89,4.8,33.2,4.75,,22661.4
2001-04-01,4.93,6243.7,4.99,37.6,4.93,,40505.3
2001-05-01,4.71,5969.89,4.77,35.9,4.71,,35363.9
2001-06-01,4.63,5872.11,4.69,35.3,4.63,,26682.6
2001-07-01,4.54,5759.65,4.6,34.6,4.54,,25032.8
2001-08-01,4.0,5075.14,4.05,30.5,4.0,,18708.7
2001-09-01,3.6,4566.65,3.65,27.5,3.6,,11109.9
2001-10-01,3.48,4405.3,3.52,26.5,3.48,,7593.3
