,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,893.94,0.75,,,,136374.7
1994-03-01,,1008.55,0.85,,,,95733.4
1994-04-01,,853.83,0.72,18.2,,,119935.9
1994-05-01,,725.47,0.61,15.4,,,74031.6
1994-06-01,,616.59,0.52,13.1,,,77205.6
1994-07-01,,432.07,0.36,9.2,,,30398.5
1994-08-01,,522.61,0.44,11.1,,,38471.6
1994-09-01,,977.84,0.82,20.9,,,1008457.0
1994-10-01,,1052.1,0.89,13.0,,,941779.4
1994-11-01,,891.19,0.75,11.0,,,362242.3
1994-12-01,,922.83,0.78,11.4,,,101054.9
1995-01-01,,859.56,0.73,10.6,,,72709.9
1995-02-01,,807.3,0.68,9.9,,,41528.6
1995-03-01,,834.81,0.7,10.3,,,36584.2
1995-04-01,,939.33,0.79,13.1,,,190413.0
1995-05-01,,860.94,0.73,12.0,,,56772.8
1995-06-01,,954.46,0.81,13.3,,,246397.3
1995-07-01,,859.56,0.73,12.0,,,61129.4
1995-08-01,,877.44,0.74,12.3,,,32630.1
1995-09-01,,836.18,0.71,11.7,,,178918.6
1995-10-01,,764.67,0.65,12.4,,,34196.9
1995-11-01,,726.16,0.61,11.7,,,31122.7
1995-12-01,,673.9,0.57,10.9,,,589060.3
1996-01-01,,609.26,0.51,9.8,,,71905.4
1996-02-01,,584.5,0.49,9.4,,,40730.1
1996-03-01,,568.0,0.48,9.2,,,34872.6
1996-04-01,,572.12,0.48,9.2,,,117978.6
1996-05-01,,995.72,0.84,16.1,,,520808.1
1996-06-01,,921.45,0.78,14.9,,,677506.1
1996-07-01,,1010.85,0.85,43.2,,,738755.9
1996-08-01,,1302.41,1.1,55.7,,,818044.1
1996-09-01,,1427.56,1.2,61.1,,,1037034.0
1996-10-01,,1361.55,1.15,58.2,,,348755.8
1996-11-01,,1431.69,1.21,104.1,,,586761.9
1996-12-01,,1643.48,1.39,119.5,,,597460.6
1997-01-01,,1307.91,1.1,95.1,,,458778.9
1997-02-01,,1540.34,1.3,112.0,,,483390.5
1997-03-01,,1571.97,1.33,63.5,,,284093.3
1997-04-01,,1781.01,1.5,71.9,,,673763.0
1997-05-01,,1523.83,1.29,61.6,,,423166.1
1997-06-01,,1647.61,1.39,66.6,,,603754.1
1997-07-01,,1593.97,1.34,64.4,,,406058.9
1997-08-01,,1482.57,1.25,59.9,,,203017.1
1997-09-01,,1409.68,1.19,56.9,,,125521.8
1997-10-01,,1296.91,1.09,52.4,,,131500.7
1997-11-01,,1424.81,1.2,57.6,,,392518.6
1997-12-01,,1415.18,1.19,57.2,,,242098.1
1998-01-01,,1494.13,1.13,53.5,,,125161.4
1998-02-01,,1419.07,1.08,50.8,,,89282.6
1998-03-01,,1605.84,1.22,57.5,,,206212.8
1998-04-01,,1490.64,1.13,53.4,,,159172.6
1998-05-01,,1813.55,1.37,64.9,,,551761.6
1998-06-01,,2412.25,1.83,86.4,,,425053.6
1998-07-01,,2626.95,1.99,71.7,,,261782.7
1998-08-01,,2818.95,2.14,76.9,,,250050.3
1998-09-01,,2825.93,2.14,77.1,,,149889.9
1998-10-01,,3166.3,2.4,,,,245829.3
1998-11-01,,2853.86,2.16,,,,112876.9
1998-12-01,,3005.71,2.28,,,,103342.8
1999-01-01,,2661.86,2.02,,,,121550.9
1999-02-01,5.44,2696.77,2.04,,5.44,,41623.4
1999-03-01,5.36,2658.37,2.01,,5.36,,6955.1
1999-04-01,5.47,2715.97,2.06,,5.47,,38274.7
1999-05-01,5.29,2625.2,1.99,,5.29,,42223.1
1999-06-01,6.45,3201.21,2.43,,6.45,,221066.8
1999-07-01,7.04,3493.75,2.65,,7.04,,349898.6
1999-08-01,6.9,3424.62,2.6,,6.9,,68404.8
1999-09-01,6.68,3314.66,2.51,,6.68,,35866.5
1999-10-01,6.78,3364.93,2.55,,6.78,,67951.0
1999-11-01,6.37,3160.71,2.4,71.9,6.37,,17146.4
1999-12-01,6.37,3160.71,2.4,71.9,6.37,,34769.2
2000-01-01,5.52,2855.95,2.16,64.9,5.52,,29802.3
2000-02-01,5.66,2928.21,2.22,66.6,5.66,,62623.3
2000-03-01,6.34,3280.1,2.49,74.6,6.34,,255071.8
2000-04-01,8.46,4379.75,3.32,99.6,8.46,,1122192.0
2000-05-01,7.63,3949.31,2.99,89.8,7.63,,381062.4
2000-06-01,7.33,3795.36,2.88,86.3,7.33,,106830.4
2000-07-01,7.06,3653.98,2.77,83.1,7.06,,144107.8
2000-08-01,7.59,3927.32,2.98,89.3,7.59,,147857.5
2000-09-01,7.11,3679.12,2.79,83.6,7.11,,128469.2
2000-10-01,6.79,3515.74,2.66,79.9,6.79,,50979.1
2000-11-01,6.96,3600.57,2.73,81.9,6.96,,47663.4
2000-12-01,7.28,3767.09,2.85,85.6,7.28,,101941.6
2001-01-01,7.23,3701.11,2.8,84.1,7.23,,57920.4
2001-02-01,7.55,3864.49,2.93,87.9,7.55,,97918.2
2001-03-01,7.75,3965.03,3.0,90.1,7.75,,87814.3
2001-04-01,8.35,4272.93,3.24,97.1,8.35,,206442.1
2001-05-01,7.55,3864.49,2.93,123.0,7.55,,149298.4
2001-06-01,7.58,3880.19,2.94,77.2,7.58,,61792.1
2001-07-01,7.3,3735.67,2.83,74.3,7.3,,80527.1
2001-08-01,6.98,3572.29,2.71,71.1,6.98,,45011.9
2001-09-01,6.17,3157.57,2.39,62.8,6.17,,33312.6
2001-10-01,6.29,3217.26,2.44,64.0,6.29,,32966.0
