,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,483.89,1.06,,,,65637.8
1997-08-01,,470.36,1.03,44.7,,,92347.9
1997-09-01,,497.41,1.09,47.3,,,53980.8
1997-10-01,,449.33,0.99,42.9,,,83258.5
1997-11-01,,488.4,1.07,46.6,,,75097.3
1997-12-01,,548.96,1.2,52.4,,,120594.4
1998-01-01,,615.38,1.35,58.7,,,87564.8
1998-02-01,,589.99,1.29,56.3,,,52264.5
1998-03-01,,736.51,1.62,70.2,,,130536.9
1998-04-01,,847.86,1.86,80.9,,,111894.2
1998-05-01,,1029.55,2.26,98.2,,,95897.8
1998-06-01,,939.68,2.06,84.9,,,91927.9
1998-07-01,,821.16,1.8,74.2,,,106093.8
1998-08-01,,835.49,1.83,75.5,,,37988.6
1998-09-01,,685.06,1.5,87.7,,,31348.0
1998-10-01,,849.82,1.86,108.8,,,68325.8
1998-11-01,,918.19,2.01,117.5,,,99226.4
1998-12-01,,769.72,1.69,98.5,,,69134.6
1999-01-01,,702.64,1.54,89.9,,,18170.8
1999-02-01,10.89,651.2,1.43,83.3,,,20425.5
1999-03-01,11.1,664.22,1.46,85.0,,,6507.8
1999-04-01,12.21,730.65,1.6,93.5,,,44995.5
1999-05-01,11.8,705.9,1.55,90.3,,,26773.3
1999-06-01,13.54,810.09,1.78,103.7,,,53275.1
1999-07-01,13.63,815.3,1.79,104.3,,,175426.9
1999-08-01,13.71,819.86,1.8,104.9,,,38616.5
1999-09-01,13.99,836.79,1.84,71.4,,,29983.6
1999-10-01,14.11,843.95,1.85,72.0,,,44505.9
1999-11-01,13.44,804.23,1.76,68.6,,,23892.3
1999-12-01,14.1,843.3,1.85,71.9,,,23590.3
2000-01-01,58.85,786.65,1.73,67.1,58.84,,49782.4
2000-02-01,70.15,937.73,2.06,80.0,70.14,,59251.9
2000-03-01,71.91,961.17,2.11,82.0,71.9,,84114.8
2000-04-01,82.82,1107.04,2.43,94.4,82.81,,158192.3
2000-05-01,72.49,968.99,2.13,82.7,72.48,,52819.2
2000-06-01,77.27,1032.8,2.27,88.1,77.25,,47187.8
2000-07-01,77.65,1038.01,2.28,88.6,77.64,,94031.0
2000-08-01,84.38,1127.88,2.47,96.2,84.37,,50952.4
2000-09-01,82.82,1107.04,2.43,94.4,82.81,,65927.9
2000-10-01,86.03,1150.02,2.52,98.1,86.02,,32356.5
2000-11-01,95.0,1269.84,2.79,108.3,94.98,,60736.5
2000-12-01,99.77,1333.66,2.93,113.8,99.76,,41618.1
2001-01-01,36.04,1243.14,2.73,106.1,36.04,,32521.2
2001-02-01,33.83,1166.95,2.56,99.6,33.84,,28448.6
2001-03-01,28.94,998.29,2.19,85.2,28.95,,21524.4
2001-04-01,32.55,1122.67,2.46,,32.55,,25861.6
2001-05-01,34.59,1193.0,2.62,,34.59,,31001.5
2001-06-01,37.16,1281.56,2.81,,37.16,,34161.0
2001-07-01,37.16,1281.56,2.81,,37.16,,38157.1
2001-08-01,34.0,1172.81,2.57,,34.01,,45145.7
2001-09-01,33.44,1153.27,2.53,,33.44,,17893.6
2001-10-01,27.38,944.24,2.07,,27.38,,17341.0
2001-11-01,26.58,916.89,2.01,,26.59,,13747.8
2001-12-01,28.06,967.68,2.12,,28.06,,16929.9
2002-01-01,20.0,868.7,1.91,,20.0,,45105.4
2002-02-01,17.81,773.63,1.7,,17.81,,20154.7
2002-03-01,18.81,817.26,1.79,,18.81,,11174.3
2002-04-01,20.03,870.0,1.91,,20.03,,35819.8
2002-05-01,22.87,993.73,2.18,,22.87,,29812.8
2002-06-01,21.3,925.35,2.03,,21.3,,40026.8
2002-07-01,22.63,983.31,2.16,,22.63,,21560.5
2002-08-01,24.58,1067.97,2.34,,24.58,,27102.6
2002-09-01,23.7,1029.55,2.26,,23.7,,11943.0
2002-10-01,21.9,951.4,2.09,63.5,21.9,,10045.4
2002-11-01,22.63,983.31,2.16,65.7,22.63,,16969.8
2002-12-01,20.76,901.91,1.98,60.2,20.76,,12837.3
2003-01-01,11.65,902.56,1.98,60.3,11.65,,4867.8
2003-02-01,12.13,940.33,2.06,62.8,12.13,,8447.6
2003-03-01,12.08,936.43,2.05,62.5,12.08,,4224.1
2003-04-01,12.18,944.24,2.07,63.0,12.18,,6845.9
2003-05-01,10.71,830.28,1.82,55.4,10.71,,14941.6
