,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,2969.4,3.59,,,,257591.9
1997-06-01,,2966.6,3.59,,,,420660.9
1997-07-01,,2665.6,3.22,,,,109527.4
1997-08-01,,2438.8,2.95,,,,79276.7
1997-09-01,,2478.0,3.0,,,,89489.0
1997-10-01,,2402.4,2.91,33.6,,,37474.8
1997-11-01,,2985.92,3.61,41.7,,,270093.1
1997-12-01,,2808.96,3.4,39.2,,,66363.4
1998-01-01,,3270.4,3.96,45.6,,,123794.4
1998-02-01,,3124.8,3.78,43.6,,,70478.9
1998-03-01,,2860.48,3.46,39.9,,,29607.0
1998-04-01,,2999.36,3.63,41.8,,,51291.8
1998-05-01,,3330.88,4.03,46.5,,,119950.9
1998-06-01,,3998.4,4.84,43.5,,,115424.5
1998-07-01,,4318.71,5.22,47.0,,,84105.3
1998-08-01,,4648.0,5.62,50.6,,,89841.0
1998-09-01,,4074.55,4.93,44.4,,,85860.4
1998-10-01,,4105.91,4.97,38.2,,,86563.2
1998-11-01,,3980.48,4.82,37.0,,,38424.6
1998-12-01,,4504.63,5.45,41.9,,,126846.8
1999-01-01,,4320.96,5.23,40.2,,,60665.3
1999-02-01,4.96,4067.83,4.92,37.8,4.96,,40809.8
1999-03-01,4.91,4027.52,4.87,37.5,4.91,,9056.2
1999-04-01,4.87,3991.68,4.83,37.1,4.87,,83285.1
1999-05-01,4.77,3911.04,4.73,36.4,4.77,,161650.5
1999-06-01,5.33,4368.0,5.28,40.6,5.33,,204468.2
1999-07-01,5.72,4691.45,5.68,43.6,5.72,,527634.0
1999-08-01,5.59,4583.93,5.55,42.6,5.59,,201606.6
1999-09-01,4.44,3637.76,4.4,33.8,4.44,,111785.4
1999-10-01,4.24,3476.48,4.21,32.3,4.24,,71679.6
1999-11-01,4.25,3483.65,4.21,34.7,4.25,,35758.7
1999-12-01,4.18,3429.89,4.15,34.2,4.18,,20777.2
2000-01-01,3.8,2795.52,3.38,27.9,3.8,,27626.9
2000-02-01,6.09,4472.83,5.41,44.6,6.09,,290550.1
2000-03-01,7.16,5257.72,6.36,52.4,7.16,,347778.3
2000-04-01,7.74,5687.8,6.88,56.7,7.74,,285346.9
2000-05-01,6.67,4902.91,5.93,48.9,6.67,,104633.1
2000-06-01,6.39,4695.04,5.68,46.8,6.39,,71376.4
2000-07-01,6.17,4533.75,5.48,45.2,6.17,,82394.4
2000-08-01,6.46,4745.21,5.74,47.3,6.46,,61620.9
2000-09-01,6.84,5024.76,6.08,50.1,6.84,,143210.1
2000-10-01,6.07,4458.49,5.39,44.4,6.07,,67362.4
2000-11-01,5.54,4067.84,4.92,40.5,5.54,,40281.5
2000-12-01,5.91,4343.8,5.25,43.3,5.91,,56332.6
2001-01-01,4.67,4125.18,4.99,41.1,4.96,,43668.5
2001-02-01,4.95,4371.48,4.98,41.0,4.95,,29237.6
2001-03-01,4.55,4019.13,4.58,37.7,4.55,,20066.8
2001-04-01,4.76,4201.12,4.78,39.4,4.76,,45714.8
2001-05-01,4.46,3941.69,4.49,46.3,4.46,,40292.4
2001-06-01,4.79,4228.22,4.81,49.6,4.79,,79469.6
2001-07-01,4.65,4104.32,4.67,48.2,4.65,,24809.9
2001-08-01,4.1,3620.32,4.12,42.5,4.1,,35470.5
2001-09-01,3.64,3213.76,3.66,37.7,3.64,,15287.6
2001-10-01,3.53,3116.96,3.55,36.6,3.53,,9858.7
2001-11-01,3.25,2873.02,3.27,33.7,3.25,,18375.9
2001-12-01,3.57,3147.93,3.58,37.0,3.57,,25756.9
2002-01-01,3.07,2826.56,3.22,33.2,3.07,,24231.4
2002-02-01,2.47,2272.86,2.59,26.7,2.47,,41809.1
2002-03-01,2.47,2280.61,2.6,26.8,2.47,,25384.8
2002-04-01,2.69,2478.08,2.82,29.1,2.69,,64015.9
2002-05-01,2.83,2609.73,2.97,30.6,2.83,,25222.0
2002-06-01,2.96,2729.76,3.11,32.0,2.96,,61788.7
2002-07-01,3.37,3105.34,3.54,36.5,3.37,,219934.1
2002-08-01,3.11,2865.28,3.26,,3.11,,43358.6
2002-09-01,3.23,2977.57,3.39,,3.23,,23914.3
2002-10-01,2.98,2749.12,3.13,,2.98,,15028.0
2002-11-01,3.02,2783.97,3.17,,3.02,,24876.4
2002-12-01,2.49,2292.22,2.61,,2.49,,35974.9
2003-01-01,2.2,2207.04,2.51,,2.2,,17219.1
