,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,288.6,0.7,,,,237387.0
1994-08-01,,277.5,0.67,,,,141669.1
1994-09-01,,358.9,0.87,,,,475146.9
1994-10-01,,461.76,1.12,,,,503610.0
1994-11-01,,375.92,0.91,,,,226971.6
1994-12-01,,392.2,0.95,,,,87370.9
1995-01-01,,373.7,0.9,,,,62896.7
1995-02-01,,325.6,0.79,,,,18687.0
1995-03-01,,352.24,0.85,,,,18799.3
1995-04-01,,386.28,0.93,15.4,,,66680.3
1995-05-01,,319.68,0.77,12.7,,,24432.9
1995-06-01,,483.22,1.17,19.2,,,197805.9
1995-07-01,,432.9,1.05,17.2,,,101345.3
1995-08-01,,441.34,1.07,17.6,,,77483.4
1995-09-01,,510.75,1.23,20.4,,,285131.3
1995-10-01,,474.49,1.15,16.4,,,60331.9
1995-11-01,,546.05,1.22,17.4,,,99219.3
1995-12-01,,647.38,1.45,20.7,,,2596923.0
1996-01-01,,650.76,1.45,20.8,,,450566.3
1996-02-01,,722.81,1.61,23.1,,,65643.8
1996-03-01,,808.38,1.81,25.8,,,20010.6
1996-04-01,,966.0,2.16,30.8,,,50899.9
1996-05-01,,1181.05,2.64,37.7,,,104065.5
1996-06-01,,1075.22,2.4,34.3,,,79309.5
1996-07-01,,1245.22,2.78,39.8,,,178362.9
1996-08-01,,1229.46,2.75,39.3,,,265429.3
1996-09-01,,1053.82,2.35,33.6,,,121725.2
1996-10-01,,1033.33,2.31,33.0,,,157437.0
1996-11-01,,1358.26,3.03,38.7,,,493818.4
1996-12-01,,1547.07,3.45,44.0,,,509789.9
1997-01-01,,1006.98,2.25,28.7,,,324972.3
1997-02-01,,1412.41,3.15,40.2,,,363709.8
1997-03-01,,1563.17,3.49,33.4,,,159956.1
1997-04-01,,2034.46,4.54,43.4,,,352119.6
1997-05-01,,2195.46,4.9,46.9,,,238273.9
1997-06-01,,2262.21,5.05,48.3,,,203704.0
1997-07-01,,2581.86,5.77,55.1,,,192188.4
1997-08-01,,2327.54,4.96,29.4,,,154675.1
1997-09-01,,2235.06,4.76,28.2,,,59359.7
1997-10-01,,1807.87,3.85,22.8,,,44969.2
1997-11-01,,2012.65,4.29,25.4,,,62457.3
1997-12-01,,1922.37,4.09,24.3,,,104103.6
1998-01-01,,1933.38,4.12,24.4,,,37785.9
1998-02-01,,1911.36,4.07,24.1,,,38440.4
1998-03-01,,1931.18,4.11,24.4,,,135865.7
1998-04-01,,2058.9,4.38,26.0,,,41603.1
1998-05-01,,2169.0,4.62,27.4,,,120322.5
1998-06-01,,2878.05,6.13,59.4,,,292826.3
1998-07-01,,3221.57,6.86,66.5,,,168891.6
1998-08-01,,3622.34,7.71,74.8,,,131089.5
1998-09-01,,2897.87,6.17,18.8,,,71688.3
1998-10-01,,2911.08,6.2,18.9,,,60482.4
1998-11-01,,2985.95,6.36,19.4,,,69196.1
1998-12-01,,2789.97,5.94,18.1,,,52061.3
1999-01-01,,2538.94,5.41,16.5,,,20382.4
1999-02-01,2.59,2442.05,5.2,15.8,,,29806.1
1999-03-01,2.45,2312.13,4.92,15.0,,,6534.5
1999-04-01,2.45,2305.52,4.91,15.0,,,38005.0
1999-05-01,2.53,2380.39,5.07,15.4,,,52223.5
1999-06-01,3.3,3111.46,6.63,18.4,,,130437.6
1999-07-01,3.08,2904.47,6.18,17.1,,,238576.4
1999-08-01,3.13,2950.72,6.28,17.4,,,69755.9
1999-09-01,3.24,3054.21,6.5,35.6,,,137239.3
1999-10-01,3.5,3294.31,6.52,35.7,,,51299.9
1999-11-01,3.55,3347.36,6.62,36.2,,,23881.4
1999-12-01,3.5,3296.83,6.52,35.7,,,33095.7
2000-01-01,2.92,3529.25,6.98,35.8,2.92,,66755.4
2000-02-01,4.25,5138.51,10.17,52.2,4.25,,284704.9
2000-03-01,5.17,6250.08,12.37,63.4,5.17,,171527.0
2000-04-01,5.85,7068.61,13.99,71.7,5.85,,145094.5
2000-05-01,9.35,11297.63,22.36,114.7,9.35,,113313.3
2000-06-01,9.0,10878.27,21.53,110.4,9.0,,77679.1
2000-07-01,8.74,10559.95,20.9,107.2,8.74,,136770.3
2000-08-01,10.63,12848.78,25.43,130.4,10.63,,80976.8
2000-09-01,12.98,15688.34,31.05,159.2,12.98,,92799.8
2000-10-01,13.45,16254.24,32.17,165.0,13.45,,42341.6
2000-11-01,12.89,15577.19,30.83,158.1,12.89,,27930.9
2000-12-01,13.67,16522.03,32.7,167.7,13.67,,26370.1
2001-01-01,-22.73,19063.49,37.73,193.5,-22.73,,36849.4
2001-02-01,-22.39,18775.49,37.16,190.6,-22.39,,19810.6
2001-03-01,-22.23,18644.12,36.9,189.2,-22.23,,20316.8
2001-04-01,-21.54,18068.13,35.76,43.1,-21.54,,12388.4
2001-05-01,-21.08,17684.13,35.0,42.2,-21.08,,25177.9
2001-06-01,-20.22,16956.55,33.56,40.4,-20.22,,14557.5
2001-07-01,-19.33,16208.76,32.08,38.7,-19.33,,26046.6
2001-08-01,-18.54,15546.87,30.77,37.1,-18.54,,12882.1
2001-09-01,-18.55,15556.98,30.79,37.1,-18.55,,168.0
2001-10-01,-4.25,3562.09,7.05,8.5,-4.25,,182290.9
2001-11-01,-3.69,3092.2,6.12,7.4,-3.69,,258473.3
2001-12-01,-2.87,2405.04,4.76,5.7,-2.87,,213221.8
