,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,799.25,1.67,,,,88242.1
1997-07-01,,870.55,1.82,,,,143922.0
1997-08-01,,848.7,1.77,,,,127455.2
1997-09-01,,891.25,1.86,,,,122838.6
1997-10-01,,803.85,1.68,12.1,,,30835.8
1997-11-01,,759.0,1.59,11.4,,,38693.6
1997-12-01,,609.5,1.27,9.1,,,10647.4
1998-01-01,,629.05,1.32,9.4,,,21855.5
1998-02-01,,510.6,1.07,7.7,,,32730.0
1998-03-01,,587.65,1.23,6.6,,,20098.9
1998-04-01,,606.97,1.27,6.8,,,23214.9
1998-05-01,,534.52,1.12,6.0,,,16185.8
1998-06-01,,595.7,1.25,6.7,,,31759.9
1998-07-01,,529.69,1.11,6.0,,,14142.2
1998-08-01,,359.03,0.75,4.0,,,10608.5
1998-09-01,,365.47,0.76,4.1,,,12032.7
1998-10-01,,449.19,0.94,5.1,,,14089.8
1998-11-01,,444.36,0.93,5.0,,,15925.7
1998-12-01,,400.89,0.84,4.5,,,22724.8
1999-01-01,0.54,384.79,0.8,4.3,0.74,,3934.4
1999-02-01,0.46,330.05,0.69,3.7,0.63,,4062.0
1999-03-01,0.43,312.34,0.65,6.0,0.6,,5081.2
1999-04-01,0.47,339.71,0.71,6.6,0.65,,23388.3
1999-05-01,0.4,286.58,0.6,5.5,0.55,,37616.3
1999-06-01,0.62,444.36,0.93,8.6,0.85,,47620.1
1999-07-01,0.91,652.05,1.36,12.6,1.25,,189895.9
1999-08-01,0.84,600.53,1.26,11.6,1.15,,102629.3
1999-09-01,0.75,537.74,1.12,10.4,1.03,,78266.1
1999-10-01,0.67,483.0,1.01,9.3,0.93,,11288.2
1999-11-01,0.58,416.99,0.87,8.0,0.8,,7921.6
1999-12-01,0.61,437.92,0.92,8.4,0.84,,28774.5
2000-01-01,0.33,465.29,0.97,9.0,0.47,,12234.4
2000-02-01,0.35,499.1,1.04,9.6,0.5,,21830.1
2000-03-01,0.3,433.09,0.91,8.4,0.44,,27942.3
2000-04-01,0.32,450.8,0.94,8.7,0.46,,39625.9
2000-05-01,0.3,431.48,0.9,8.3,0.44,,20273.0
2000-06-01,0.37,526.47,1.1,10.2,0.53,,31830.5
2000-07-01,0.37,524.86,1.1,10.1,0.53,,51746.7
2000-08-01,0.38,545.79,1.14,10.5,0.55,,28296.9
2000-09-01,0.43,616.63,1.29,11.9,0.62,,107472.6
2000-10-01,0.4,566.72,1.19,10.9,0.57,,30028.5
2000-11-01,0.47,672.98,1.41,13.0,0.68,,35000.4
2000-12-01,0.47,661.71,1.38,12.7,0.67,,36740.7
2001-01-01,0.61,713.23,1.49,13.7,0.71,,33473.2
2001-02-01,0.61,711.62,1.49,13.6,0.71,,19857.3
2001-03-01,0.71,830.76,1.74,15.9,0.83,,9756.6
2001-04-01,1.43,1667.96,3.49,31.9,1.66,,718108.9
2001-05-01,1.47,1722.7,3.6,19.2,1.72,,177528.4
2001-06-01,1.77,2070.44,3.71,19.8,1.77,,224484.3
2001-07-01,1.55,1817.03,3.26,17.4,1.55,,117790.9
2001-08-01,1.24,1456.63,2.61,14.0,1.24,,65811.4
2001-09-01,1.15,1340.06,2.4,12.8,1.15,,89534.3
2001-10-01,1.05,1224.43,2.2,11.7,1.05,,46193.0
2001-11-01,1.09,1276.05,2.29,12.2,1.09,,46328.0
2001-12-01,1.22,1432.98,2.57,13.7,1.22,,58398.5
2002-01-01,1.11,1470.14,2.64,14.1,1.11,,82827.6
2002-02-01,0.97,1286.38,2.31,12.3,0.97,,73731.2
2002-03-01,0.97,1282.25,2.3,12.3,0.97,,18525.5
2002-04-01,0.99,1307.02,2.34,12.5,0.99,,52618.2
2002-05-01,0.91,1201.72,2.16,11.5,0.91,,37504.2
2002-06-01,0.84,1104.67,1.98,10.6,0.84,,17645.6
2002-07-01,0.91,1203.78,2.16,11.5,0.91,,47991.9
2002-08-01,0.93,1234.76,2.21,11.8,0.93,,49668.5
2002-09-01,0.98,1290.51,2.31,12.4,0.98,,41416.3
2002-10-01,0.95,1249.21,2.24,17.8,0.95,,18749.3
2002-11-01,0.86,1141.84,2.05,16.3,0.86,,23476.0
2002-12-01,0.89,1174.88,2.11,16.8,0.89,,30970.1
2003-01-01,0.75,1176.94,2.11,16.8,0.75,,23725.1
2003-02-01,0.86,1333.87,2.39,19.0,0.86,,57186.0
