,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,3242.2,3.47,,,,207194.0
1997-08-01,,3327.75,3.56,,,,222136.7
1997-09-01,,3452.45,3.7,,,,64555.3
1997-10-01,,3661.25,3.92,,,,62987.3
1997-11-01,,5837.7,6.25,,,,256659.2
1997-12-01,,5942.09,6.36,,,,93599.6
1998-01-01,,5565.09,5.96,,,,103233.6
1998-02-01,,5486.8,5.88,,,,57456.3
1998-03-01,,4741.5,5.08,,,,50167.2
1998-04-01,,5254.79,5.63,,,,52561.9
1998-05-01,,5498.39,5.89,46.2,,,60530.9
1998-06-01,,5504.2,5.9,46.3,,,66579.3
1998-07-01,,4901.0,5.25,41.2,,,33897.7
1998-08-01,,4761.8,5.1,40.0,,,19976.0
1998-09-01,,3855.84,4.13,32.4,,,25459.2
1998-10-01,,4036.8,4.32,26.4,,,23671.6
1998-11-01,,4464.84,4.78,29.2,,,63572.0
1998-12-01,,4430.04,4.74,28.9,,,31982.3
1999-01-01,,3768.84,4.04,24.6,,,12424.1
1999-02-01,5.76,4356.96,4.67,28.5,5.44,,33636.1
1999-03-01,5.84,4416.12,4.73,28.8,5.51,,17789.2
1999-04-01,5.7,4315.2,4.62,28.2,5.39,,30977.1
1999-05-01,5.67,4287.36,4.59,28.0,5.35,,19932.9
1999-06-01,6.45,4878.96,5.23,38.9,6.09,,51140.2
1999-07-01,6.95,5261.75,5.64,42.0,6.57,,133002.4
1999-08-01,7.01,5303.52,5.68,42.3,6.62,,84833.4
1999-09-01,7.17,5421.84,5.81,43.3,6.77,,47448.6
1999-10-01,7.05,5334.84,5.71,35.7,6.66,,61271.1
1999-11-01,6.6,4993.8,5.35,33.4,6.24,,10699.0
1999-12-01,5.99,4534.44,4.86,30.3,5.66,,10824.7
2000-01-01,3.19,4793.7,4.35,27.1,3.19,,16351.4
2000-02-01,4.6,6899.09,6.26,39.0,4.6,,170162.2
2000-03-01,5.3,7951.8,7.21,45.0,5.3,,280898.0
2000-04-01,5.3,7951.8,7.21,45.0,5.3,,156494.1
2000-05-01,4.91,7373.25,6.69,41.7,4.91,,62490.9
2000-06-01,5.14,7708.19,6.99,43.6,5.14,,39631.8
2000-07-01,5.16,7742.99,7.02,43.8,5.16,,75872.8
2000-08-01,5.36,8051.84,7.3,45.6,5.36,,76584.3
2000-09-01,4.87,7312.35,6.63,41.4,4.87,,45906.0
2000-10-01,4.57,6859.95,6.22,38.8,4.57,,18177.0
2000-11-01,4.89,7342.79,6.66,41.5,4.89,,34623.3
2000-12-01,4.92,7390.64,6.7,41.8,4.92,,48817.3
2001-01-01,4.88,7390.64,6.7,41.8,4.88,,29147.5
2001-02-01,4.62,7003.49,6.35,39.6,4.62,,24085.9
2001-03-01,4.36,6607.65,5.99,37.4,4.36,,14891.0
2001-04-01,4.46,6751.2,6.12,45.6,4.46,,39359.4
2001-05-01,4.51,6829.5,6.19,46.2,4.51,,53969.7
2001-06-01,4.36,6607.65,5.99,44.7,4.36,,24567.6
2001-07-01,4.45,6733.8,6.11,45.5,4.45,,39021.4
2001-08-01,3.75,5681.1,5.15,38.4,3.75,,20627.9
2001-09-01,3.86,5850.75,5.31,39.6,3.86,,24018.4
2001-10-01,3.82,5785.5,5.25,39.1,3.82,,24186.4
2001-11-01,4.0,6055.2,5.49,40.9,4.0,,28534.6
2001-12-01,4.22,6390.15,5.79,43.2,4.22,,19448.5
2002-01-01,4.26,6655.5,6.04,45.0,4.26,,22162.3
2002-02-01,3.9,6094.35,5.53,41.2,3.9,,14874.0
2002-03-01,3.96,6181.35,5.61,41.8,3.96,,5628.0
2002-04-01,4.05,6324.9,5.74,42.8,4.05,,32449.6
2002-05-01,4.28,6677.25,6.06,45.1,4.28,,47014.6
2002-06-01,3.9,6094.35,5.53,41.2,3.9,,21129.7
2002-07-01,3.98,6220.5,5.64,42.1,3.98,,28858.6
2002-08-01,3.78,5907.3,5.36,39.9,3.78,,31467.6
2002-09-01,3.82,5959.5,5.4,40.3,3.82,,8147.9
2002-10-01,3.78,5898.6,5.35,39.9,3.78,,9183.8
2002-11-01,3.48,5428.8,4.92,40.3,3.48,,7055.8
2002-12-01,3.16,4937.25,4.48,36.6,3.16,,6252.0
2003-01-01,2.75,4863.3,4.41,36.1,2.75,,9089.3
2003-02-01,2.87,5085.14,4.61,37.7,2.87,,18784.8
