,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,656.5,4.14,,,,35480.7
1997-05-01,,852.8,5.38,,,,56704.9
1997-06-01,,741.0,4.67,,,,21151.0
1997-07-01,,652.6,4.11,,,,5098.7
1997-08-01,,572.0,3.61,,,,3708.6
1997-09-01,,652.6,4.11,,,,13959.6
1997-10-01,,533.0,3.36,,,,3105.7
1997-11-01,,516.1,3.25,,,,2425.1
1997-12-01,,429.0,2.7,,,,1286.5
1998-01-01,,403.0,2.54,,,,956.5
1998-02-01,,299.0,1.89,,,,2596.5
1998-03-01,,373.1,2.35,8.6,,,2207.4
1998-04-01,,351.0,2.21,8.1,,,978.9
1998-05-01,,279.5,1.76,6.5,,,4880.6
1998-06-01,,295.1,1.86,6.8,,,2901.1
1998-07-01,,262.6,1.66,6.1,,,328.7
1998-08-01,,185.9,1.17,4.3,,,1257.1
1998-09-01,,130.0,0.82,11.7,,,5629.8
1998-10-01,,193.7,1.22,17.5,,,6145.8
1998-11-01,,171.6,1.08,15.5,,,1581.1
1998-12-01,,159.9,1.01,14.4,,,1187.2
1999-01-01,,140.4,0.89,12.7,,,1351.0
1999-02-01,0.37,128.7,0.81,11.6,0.37,,799.2
1999-03-01,0.36,123.5,0.78,7.7,0.36,,343.5
1999-04-01,0.42,145.6,0.92,9.1,0.42,,2360.3
1999-05-01,0.42,146.9,0.93,9.2,0.42,,3505.2
1999-06-01,0.59,202.8,1.28,12.7,0.59,,5019.9
1999-07-01,0.89,309.4,1.95,19.3,0.89,,33199.0
1999-08-01,0.68,235.3,1.48,14.7,0.68,,19823.7
1999-09-01,0.65,226.2,1.43,19.6,0.65,,5302.3
1999-10-01,0.66,227.5,1.43,19.7,0.66,,2064.0
1999-11-01,0.51,176.8,1.11,15.3,0.51,,1852.2
1999-12-01,0.62,215.8,1.36,18.7,0.62,,8607.2
2000-01-01,0.58,218.4,1.38,18.9,0.58,,2257.2
2000-02-01,0.62,234.0,1.48,20.3,0.62,,4459.3
2000-03-01,0.56,211.9,1.34,13.9,0.56,,3888.8
2000-04-01,0.62,232.7,1.47,15.2,0.62,,9409.9
2000-05-01,0.57,215.8,1.36,14.1,0.57,,2804.9
2000-06-01,0.73,273.0,1.72,17.9,0.73,,11677.6
2000-07-01,0.66,249.6,1.57,16.4,0.66,,13293.5
2000-08-01,0.65,243.1,1.53,15.9,0.65,,6505.5
2000-09-01,0.65,245.7,1.55,24.0,0.65,,21025.3
2000-10-01,0.62,231.4,1.46,22.6,0.62,,3491.1
2000-11-01,0.64,239.2,1.51,23.3,0.64,,3256.5
2000-12-01,0.67,252.2,1.59,24.6,0.67,,2840.1
2001-01-01,0.8,309.4,1.95,30.2,0.8,,6265.0
2001-02-01,0.79,305.5,1.93,29.8,0.79,,6271.4
2001-03-01,0.91,351.0,2.21,26.2,0.91,,2306.0
2001-04-01,2.61,1006.2,6.34,75.0,2.61,,184648.9
2001-05-01,3.02,1164.8,7.34,86.9,3.02,,65422.6
2001-06-01,3.1,1194.7,7.53,89.1,3.1,,57292.7
2001-07-01,2.75,1059.5,6.68,79.0,2.75,,17557.2
2001-08-01,1.93,743.6,4.69,55.5,1.93,,15092.0
2001-09-01,2.02,780.0,4.92,94.7,2.02,,21760.9
2001-10-01,1.78,687.7,4.34,83.5,1.78,,10238.4
2001-11-01,1.86,717.6,4.52,87.1,1.86,,8167.8
2001-12-01,1.97,760.5,4.8,92.3,1.97,,4466.2
2002-01-01,1.96,708.5,4.47,86.0,1.96,,4118.3
2002-02-01,1.45,522.6,3.3,63.5,1.45,,6726.8
2002-03-01,1.43,518.7,3.27,42.8,1.43,,3254.3
2002-04-01,1.6,578.5,3.65,47.8,1.6,,7776.2
2002-05-01,1.53,555.1,3.5,45.9,1.53,,2887.2
2002-06-01,1.32,475.8,3.0,39.3,1.32,,1283.0
2002-07-01,1.53,552.5,3.48,45.6,1.53,,3890.1
2002-08-01,1.77,640.9,4.04,52.9,1.77,,13248.8
2002-09-01,1.74,630.5,3.98,76.3,1.74,,1416.5
2002-10-01,1.65,595.4,3.75,72.0,1.65,,846.1
2002-11-01,1.4,505.7,3.19,61.2,1.4,,1257.3
2002-12-01,1.3,470.6,2.97,56.9,1.3,,1960.6
2003-01-01,1.19,460.2,2.9,55.7,1.19,,1889.1
2003-02-01,1.31,505.7,3.19,61.2,1.31,,2859.6
2003-03-01,1.26,483.6,3.05,76.0,1.26,,928.8
