,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,2272.9,2.23,,,,111798.8
1997-08-01,,1919.3,1.88,,,,412104.3
1997-09-01,,1735.7,1.7,,,,96330.8
1997-10-01,,1764.6,1.73,29.7,,,127270.3
1997-11-01,,2075.7,2.04,34.9,,,391669.4
1997-12-01,,1847.9,1.81,31.1,,,145660.2
1998-01-01,,1919.3,1.88,32.3,,,105510.9
1998-02-01,,1999.2,1.96,33.6,,,159033.7
1998-03-01,,1808.8,1.77,30.4,,,48630.7
1998-04-01,,1946.5,1.91,23.4,,,59849.2
1998-05-01,,2272.9,2.23,27.3,,,229630.4
1998-06-01,,2694.5,2.64,32.3,,,361922.6
1998-07-01,,2444.6,2.4,29.3,,,286707.9
1998-08-01,,2361.3,2.32,28.3,,,107620.4
1998-09-01,,2046.8,2.01,24.6,,,79292.8
1998-10-01,,2262.7,2.22,22.6,,,71732.9
1998-11-01,,2431.0,2.39,24.2,,,112763.3
1998-12-01,,2279.7,2.24,22.7,,,75440.8
1999-01-01,,2204.9,2.16,22.0,,,25111.8
1999-02-01,1.86,2172.6,2.13,21.7,2.13,,81205.8
1999-03-01,1.8,2096.1,2.06,20.9,2.06,,14683.2
1999-04-01,1.77,2070.6,2.03,20.6,2.03,,43840.9
1999-05-01,1.62,1887.0,1.85,21.8,1.85,,45435.7
1999-06-01,1.86,2174.3,2.13,25.1,2.13,,145125.0
1999-07-01,3.06,3573.4,3.51,41.2,3.5,,492103.4
1999-08-01,4.37,5105.09,4.37,51.4,4.37,,200571.6
1999-09-01,4.2,4901.78,4.2,49.4,4.2,,111104.2
1999-10-01,3.84,4484.09,3.84,45.2,3.84,,61935.4
1999-11-01,3.83,4471.93,3.83,53.3,3.83,,21495.3
1999-12-01,3.57,4173.58,3.58,49.7,3.57,,32113.7
2000-01-01,2.41,4578.01,3.92,54.5,2.85,,93270.0
2000-02-01,2.72,5164.77,4.43,61.5,3.21,,251889.0
2000-03-01,2.37,4498.45,3.86,53.6,2.8,,336442.9
2000-04-01,2.48,4700.67,4.03,56.0,2.92,,541781.6
2000-05-01,2.46,4674.14,4.01,55.7,2.91,,171731.8
2000-06-01,2.31,4382.43,3.76,52.2,2.73,,82751.8
2000-07-01,2.18,4140.43,3.55,49.3,2.57,,80616.8
2000-08-01,2.34,4435.47,3.8,52.8,2.76,,61223.7
2000-09-01,2.23,4239.88,3.63,50.5,2.64,,81696.6
2000-10-01,2.16,4094.02,3.51,48.8,2.55,,20085.7
2000-11-01,2.2,4170.27,3.57,49.7,2.59,,30618.7
2000-12-01,2.7,5132.56,3.72,51.8,2.7,,53824.2
2001-01-01,2.58,4874.17,3.54,49.1,2.58,,97154.3
2001-02-01,2.56,4846.77,3.52,48.9,2.56,,38582.2
2001-03-01,2.4,4549.23,3.3,45.9,2.4,,27471.1
2001-04-01,2.54,4803.7,3.49,58.4,2.54,,42578.7
2001-05-01,2.48,4694.08,3.41,57.1,2.48,,57000.8
2001-06-01,2.48,4694.08,3.41,57.1,2.48,,30714.5
2001-07-01,2.44,4619.7,3.35,56.2,2.44,,39992.2
2001-08-01,2.04,3856.27,2.8,46.9,2.04,,35350.3
2001-09-01,1.82,3449.11,2.5,42.0,1.82,,23829.9
2001-10-01,1.92,3637.03,2.64,44.2,1.92,,30814.2
2001-11-01,1.78,3366.9,2.44,41.0,1.78,,27855.9
2001-12-01,1.83,3460.86,2.51,42.1,1.83,,27409.9
2002-01-01,1.61,3108.51,2.26,37.8,1.64,,27250.7
2002-02-01,1.35,2623.05,1.9,31.9,1.38,,47168.3
2002-03-01,1.37,2662.2,1.93,32.4,1.4,,29649.5
2002-04-01,1.55,2994.97,2.17,36.4,1.58,,85167.0
2002-05-01,1.65,3202.47,2.32,39.0,1.69,,54380.7
2002-06-01,1.5,2901.01,2.11,35.3,1.53,,77469.3
2002-07-01,1.72,3327.75,2.41,40.5,1.75,,95573.8
2002-08-01,1.73,3355.15,2.43,40.8,1.77,,106619.8
2002-09-01,1.71,3316.0,2.41,60.5,1.75,,23056.3
2002-10-01,1.58,3053.7,2.22,55.7,1.61,,14197.2
2002-11-01,1.56,3018.46,2.19,55.1,1.59,,11716.2
2002-12-01,1.39,2697.43,1.96,49.2,1.42,,42882.7
2003-01-01,1.31,2525.17,1.83,46.1,1.31,,17501.1
