,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,1424.84,1.48,22.6,,,38240.8
1996-12-01,,1466.37,1.52,23.3,,,156320.6
1997-01-01,,1261.59,1.31,20.0,,,227749.4
1997-02-01,,1319.59,1.37,20.9,,,81115.2
1997-03-01,,1391.19,1.45,35.3,,,68651.9
1997-04-01,,1611.0,1.67,40.9,,,255011.1
1997-05-01,,1568.04,1.63,39.8,,,231020.1
1997-06-01,,1683.17,1.75,42.8,,,151938.3
1997-07-01,,2580.18,2.68,65.6,,,294885.0
1997-08-01,,2504.57,2.6,42.9,,,82951.5
1997-09-01,,2616.26,2.72,44.8,,,68074.3
1997-10-01,,2313.82,2.41,39.6,,,23360.7
1997-11-01,,3031.25,3.15,52.3,,,90665.1
1997-12-01,,3005.48,3.12,51.8,,,51551.7
1998-01-01,,3362.48,3.5,58.0,,,75087.9
1998-02-01,,3408.88,3.54,58.8,,,123642.9
1998-03-01,,3014.71,2.97,49.3,,,54961.4
1998-04-01,,3440.23,3.39,33.2,,,187489.7
1998-05-01,,3637.2,3.58,35.1,,,120051.0
1998-06-01,,3555.56,3.5,34.3,,,88698.3
1998-07-01,,3324.91,3.28,32.1,,,61510.8
1998-08-01,,2842.1,2.8,27.4,,,39668.3
1998-09-01,,2521.54,2.49,30.9,,,46594.7
1998-10-01,,2773.69,2.73,34.0,,,44586.9
1998-11-01,,2828.42,2.79,34.7,,,41442.4
1998-12-01,,2771.73,2.73,34.0,,,50354.1
1999-01-01,,2586.04,2.55,31.7,,,30021.4
1999-02-01,3.61,2414.03,2.38,29.6,3.62,,11833.2
1999-03-01,3.59,2394.48,2.36,29.4,3.59,,6458.4
1999-04-01,3.54,2367.12,2.33,29.0,3.54,,24275.3
1999-05-01,3.13,2091.51,2.06,25.6,3.13,,21614.1
1999-06-01,3.63,2423.8,2.39,29.7,3.63,,53877.0
1999-07-01,4.01,2675.96,2.64,32.8,4.01,,169072.2
1999-08-01,4.38,2928.11,2.89,35.9,4.38,,127934.3
1999-09-01,4.71,3143.12,3.1,28.2,4.71,,81923.9
1999-10-01,5.0,3340.55,3.29,30.0,5.0,,101551.8
1999-11-01,4.39,2932.02,2.89,26.3,4.39,,87131.3
1999-12-01,4.34,2894.88,2.85,26.0,4.34,,27302.6
2000-01-01,2.53,2699.41,2.66,24.2,2.72,,27515.4
2000-02-01,2.87,3068.85,3.02,27.5,3.1,,112918.9
2000-03-01,2.81,3002.39,2.96,26.9,3.03,,157694.6
2000-04-01,2.79,2976.98,2.93,26.7,3.0,,130395.7
2000-05-01,2.89,3084.48,3.04,27.7,3.11,,182455.6
2000-06-01,2.99,3190.03,3.14,28.6,3.22,,152931.7
2000-07-01,3.35,3579.02,3.53,32.1,3.61,,299040.9
2000-08-01,3.36,3590.75,3.54,32.2,3.62,,200613.5
2000-09-01,3.28,3507.31,3.21,29.2,3.28,,129475.2
2000-10-01,3.17,3388.14,3.1,28.2,3.17,,53954.7
2000-11-01,3.34,3572.74,3.27,29.8,3.34,,66327.4
2000-12-01,3.57,3811.07,3.49,31.7,3.57,,153601.6
2001-01-01,3.88,4000.34,3.66,33.3,3.88,,106444.1
2001-02-01,3.73,3843.79,3.51,32.0,3.73,,107330.1
2001-03-01,3.44,3547.03,3.24,29.5,3.44,,54492.4
2001-04-01,3.58,3689.57,3.37,30.7,3.58,,91312.1
2001-05-01,3.45,3554.04,3.25,43.5,3.45,,75769.5
2001-06-01,3.42,3523.67,3.22,43.1,3.42,,51247.5
2001-07-01,3.39,3495.63,3.2,42.7,3.39,,47669.2
2001-08-01,2.95,3039.98,2.78,37.2,2.95,,30083.6
2001-09-01,2.99,3084.38,2.82,37.7,2.99,,30695.7
2001-10-01,2.82,2911.46,2.66,77.9,2.82,,14533.6
2001-11-01,2.48,2560.97,2.34,68.5,2.48,,36412.5
2001-12-01,2.58,2663.78,2.44,71.3,2.58,,32796.7
2002-01-01,2.37,2621.72,2.4,70.1,2.47,,41639.2
2002-02-01,2.03,2245.52,2.05,60.1,2.12,,71351.6
2002-03-01,2.08,2301.6,2.1,61.6,2.17,,25233.5
2002-04-01,2.19,2427.78,2.22,64.9,2.29,,87458.1
2002-05-01,2.32,2570.31,2.35,68.8,2.42,,53016.4
2002-06-01,1.96,2173.08,1.99,58.1,2.05,,32440.6
2002-07-01,2.23,2467.5,2.26,66.0,2.33,,48493.1
2002-08-01,2.22,2458.16,2.25,65.8,2.32,,65428.9
2002-09-01,2.41,2668.45,2.44,71.4,2.52,,120736.2
