,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,457.6,1.86,,,,64715.2
1994-02-01,,293.44,1.2,,,,96346.9
1994-03-01,,313.46,1.28,,,,40108.0
1994-04-01,,319.18,1.3,39.9,,,130044.6
1994-05-01,,262.55,1.07,32.8,,,54211.3
1994-06-01,,228.8,0.93,28.6,,,16427.5
1994-07-01,,176.18,0.72,22.0,,,9943.3
1994-08-01,,179.61,0.73,22.4,,,74912.6
1994-09-01,,315.74,1.29,39.4,,,389884.3
1994-10-01,,302.02,1.23,31.1,,,319687.3
1994-11-01,,225.82,1.0,25.5,,,113269.3
1994-12-01,,217.64,0.97,24.5,,,24477.3
1995-01-01,,200.66,0.89,22.6,,,10989.8
1995-02-01,,179.27,0.8,20.2,,,6724.1
1995-03-01,,185.56,0.82,20.9,,,10722.4
1995-04-01,,212.61,0.94,42.3,,,86598.6
1995-05-01,,183.67,0.82,36.5,,,36743.3
1995-06-01,,211.98,0.94,42.1,,,97096.7
1995-07-01,,198.14,0.88,39.4,,,64187.0
1995-08-01,,244.06,1.08,48.5,,,102245.3
1995-09-01,,366.09,1.63,72.8,,,225345.8
1995-10-01,,322.69,1.43,171.0,,,205385.5
1995-11-01,,328.35,1.46,174.0,,,88229.1
1995-12-01,,271.74,1.21,144.0,,,27052.3
1996-01-01,,217.01,0.96,115.0,,,20012.7
1996-02-01,,234.62,1.04,124.3,,,57404.9
1996-03-01,,230.85,1.03,122.3,,,8005.2
1996-04-01,,240.29,1.07,127.3,,,56589.7
1996-05-01,,327.09,1.45,173.3,,,120810.1
1996-06-01,,310.11,1.38,35.2,,,104985.3
1996-07-01,,314.51,1.4,35.7,,,111085.3
1996-08-01,,330.61,1.47,43.8,,,93426.6
1996-09-01,,313.25,1.39,29.0,,,92275.6
1996-10-01,,315.51,1.4,29.3,,,40727.6
1996-11-01,,352.5,1.57,32.7,,,195728.9
1996-12-01,,564.61,2.51,52.3,,,224443.6
1997-01-01,,389.49,1.73,36.1,,,197523.1
1997-02-01,,447.61,1.99,41.5,,,110272.2
1997-03-01,,532.15,2.37,30.5,,,149743.2
1997-04-01,,667.26,2.97,38.3,,,228481.4
1997-05-01,,1183.56,5.26,67.9,,,227789.4
1997-06-01,,1012.21,4.5,58.1,,,212225.4
1997-07-01,,1015.99,4.52,58.3,,,109489.4
1997-08-01,,1006.93,4.48,57.8,,,95770.4
1997-09-01,,846.91,3.76,36.6,,,44808.5
1997-10-01,,733.68,3.26,31.7,,,23711.8
1997-11-01,,800.11,3.56,34.6,,,37552.3
1997-12-01,,794.83,3.53,34.4,,,25507.4
1998-01-01,,910.31,4.05,39.4,,,61274.2
1998-02-01,,1037.88,4.61,44.9,,,88329.9
1998-03-01,,911.82,4.05,40.3,,,25420.1
1998-04-01,,959.38,4.26,42.4,,,26155.6
1998-05-01,,1022.03,4.54,45.2,,,67227.0
1998-06-01,,1058.26,4.7,46.8,,,53996.2
1998-07-01,,983.53,4.37,43.5,,,71254.0
1998-08-01,,985.04,4.38,43.5,,,32962.3
1998-09-01,,981.27,4.36,44.4,,,33002.8
1998-10-01,,1166.2,5.18,52.8,,,46018.9
1998-11-01,,1109.59,4.93,50.2,,,27651.0
1998-12-01,,1219.03,5.42,55.2,,,31848.3
1999-01-01,,1148.84,5.11,52.0,,,36527.1
1999-02-01,3.77,1179.33,5.24,53.4,3.96,,17963.2
1999-03-01,3.46,1083.17,4.81,34.4,3.64,,2241.5
1999-04-01,3.72,1162.42,5.17,36.9,3.9,,10143.6
1999-05-01,3.72,1162.42,5.17,36.9,3.9,,16340.6
1999-06-01,4.32,1350.53,6.0,42.9,4.54,,22935.0
1999-07-01,3.94,1234.28,5.49,39.2,4.15,,76735.8
1999-08-01,4.38,1370.6,6.09,43.5,4.6,,30718.1
1999-09-01,4.08,1276.55,5.67,44.3,4.29,,23061.8
1999-10-01,4.0,1252.25,5.57,43.5,4.21,,16624.1
1999-11-01,3.78,1183.56,5.26,41.1,3.98,,4503.2
1999-12-01,3.56,1112.76,4.95,38.6,3.74,,5441.3
2000-01-01,3.49,1068.73,4.52,35.3,3.49,,5863.4
2000-02-01,4.22,1292.17,5.46,42.7,4.22,,36516.8
2000-03-01,4.32,1322.9,5.59,58.9,4.32,,43202.1
2000-04-01,4.63,1418.66,6.0,63.2,4.63,,99037.8
2000-05-01,4.65,1424.57,6.02,63.4,4.65,,39729.8
2000-06-01,4.94,1513.24,6.4,67.4,4.94,,33379.0
2000-07-01,5.14,1573.53,6.65,70.1,5.14,,67521.4
2000-08-01,5.11,1564.08,6.61,69.6,5.11,,22538.1
2000-09-01,5.37,1643.29,6.95,90.8,5.37,,47121.7
2000-10-01,5.11,1566.44,6.62,86.6,5.11,,41870.3
2000-11-01,5.79,1773.33,7.5,98.0,5.79,,29124.3
2000-12-01,5.51,1688.21,7.14,93.3,5.51,,38144.9
2001-01-01,5.51,1668.11,7.05,92.2,5.51,,14249.6
2001-02-01,5.98,1808.8,7.65,100.0,5.98,,32610.2
2001-03-01,5.39,1632.65,6.9,81.4,5.39,,9308.3
2001-04-01,5.62,1702.4,7.2,84.9,5.62,,14990.8
2001-05-01,5.71,1728.41,7.31,86.2,5.71,,37881.0
2001-06-01,6.56,1986.13,8.4,99.1,6.56,,85713.4
2001-07-01,5.99,1813.53,7.67,90.4,5.99,,34855.8
2001-08-01,5.42,1639.74,6.93,81.8,5.42,,12831.3
2001-09-01,5.04,1523.88,6.44,78.9,5.04,,9316.0
