,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,463.96,1.24,,,,33353.1
1994-02-01,,421.61,1.13,,,,145268.3
1994-03-01,,398.9,1.07,,,,17241.5
1994-04-01,,487.28,1.31,25.6,,,279514.9
1994-05-01,,281.56,1.0,19.8,,,134630.1
1994-06-01,,250.43,0.89,17.6,,,102733.6
1994-07-01,,202.01,0.72,14.2,,,30251.3
1994-08-01,,204.08,0.73,14.3,,,46269.6
1994-09-01,,455.2,1.62,31.9,,,750029.6
1994-10-01,,460.74,1.64,23.0,,,445698.0
1994-11-01,,413.7,1.47,20.6,,,115663.4
1994-12-01,,356.97,1.27,17.8,,,25686.7
1995-01-01,,347.98,1.24,17.3,,,61016.9
1995-02-01,,285.71,1.02,14.2,,,9834.2
1995-03-01,,283.64,1.01,14.1,,,11790.5
1995-04-01,,313.39,1.12,28.3,,,41929.3
1995-05-01,,264.96,0.94,23.9,,,13724.7
1995-06-01,,334.83,1.19,30.3,,,78800.9
1995-07-01,,290.56,1.04,26.3,,,76987.8
1995-08-01,,338.29,1.21,30.6,,,63464.0
1995-09-01,,321.69,1.15,29.1,,,102092.1
1995-10-01,,318.92,1.14,242.6,,,38988.9
1995-11-01,,355.58,1.27,270.5,,,119279.6
1995-12-01,,304.39,1.08,231.6,,,37180.8
1996-01-01,,270.49,0.96,205.8,,,48373.7
1996-02-01,,280.18,1.0,213.2,,,74412.3
1996-03-01,,276.03,0.98,210.0,,,21610.1
1996-04-01,,276.72,0.99,210.5,,,43067.7
1996-05-01,,380.49,1.36,289.5,,,137529.4
1996-06-01,,365.27,1.3,88.0,,,95829.0
1996-07-01,,360.43,1.28,86.8,,,60038.1
1996-08-01,,518.87,1.85,125.0,,,323082.0
1996-09-01,,373.59,1.33,90.0,,,137008.8
1996-10-01,,390.19,1.39,94.0,,,75806.8
1996-11-01,,414.27,1.48,124.8,,,296007.3
1996-12-01,,581.14,2.07,175.0,,,190363.2
1997-01-01,,363.63,1.3,109.5,,,225587.3
1997-02-01,,379.4,1.35,114.3,,,56386.6
1997-03-01,,437.52,1.56,263.5,,,97447.0
1997-04-01,,510.57,1.82,307.5,,,242960.3
1997-05-01,,585.29,2.09,352.5,,,284622.2
1997-06-01,,697.37,2.49,420.0,,,204104.4
1997-07-01,,704.01,2.51,424.0,,,60575.3
1997-08-01,,797.82,2.84,480.5,,,117035.7
1997-09-01,,667.48,2.38,402.0,,,120953.8
1997-10-01,,523.86,1.87,315.5,,,96618.9
1997-11-01,,542.95,1.93,327.0,,,84465.1
1997-12-01,,596.08,2.12,359.0,,,112047.0
1998-01-01,,550.42,1.96,331.5,,,91420.9
1998-02-01,,522.2,1.86,314.5,,,48644.0
1998-03-01,,552.91,1.97,333.0,,,96848.5
1998-04-01,,569.52,2.03,343.0,,,48621.4
1998-05-01,,851.78,3.04,513.0,,,461574.1
1998-06-01,,985.45,3.51,54.0,,,303973.2
1998-07-01,,722.27,2.57,39.5,,,101899.9
1998-08-01,,854.28,3.04,46.8,,,86855.3
1998-09-01,,679.1,2.42,,,,79048.5
1998-10-01,,924.84,3.3,92.8,,,211790.3
1998-11-01,,808.61,2.88,81.2,,,85966.5
1998-12-01,,750.5,2.67,75.3,,,49009.6
1999-01-01,,672.46,2.4,67.5,,,17511.3
1999-02-01,3.15,722.27,2.57,72.5,3.15,,70800.1
1999-03-01,3.16,725.59,2.59,72.8,3.16,,9877.9
1999-04-01,3.67,840.99,3.0,84.4,3.67,,83174.1
1999-05-01,3.33,763.78,2.72,76.7,3.33,,35261.6
1999-06-01,3.74,858.43,3.06,86.2,3.74,,71077.6
1999-07-01,5.7,1305.9,4.65,131.1,5.7,,222712.4
1999-08-01,4.89,1120.27,3.99,47.2,4.89,,177407.9
1999-09-01,5.08,1165.6,4.15,49.1,5.08,,86785.7
1999-10-01,4.8,1100.84,3.92,46.4,4.8,,88008.8
1999-11-01,4.33,994.0,3.54,41.9,4.33,,21599.2
1999-12-01,4.42,1013.42,3.61,42.7,4.42,,19371.0
2000-01-01,3.9,895.79,3.19,37.7,3.9,,13079.7
2000-02-01,4.86,1115.95,3.98,47.0,4.86,,134570.4
2000-03-01,6.99,1604.86,5.72,67.6,6.99,,323855.8
2000-04-01,7.31,1677.17,5.98,70.6,7.31,,131741.8
2000-05-01,7.82,1793.73,6.39,75.5,7.82,,110192.8
2000-06-01,7.1,1628.6,5.8,68.6,7.1,,50042.7
2000-07-01,6.41,1471.03,5.24,62.0,6.41,,43545.4
2000-08-01,6.66,1528.23,5.45,64.4,6.66,,41627.9
2000-09-01,6.9,1582.19,5.64,66.6,6.9,,85350.8
2000-10-01,9.42,2161.76,7.7,91.0,9.42,,130964.9
2000-11-01,10.28,2359.26,8.41,99.4,10.28,,164577.8
2000-12-01,10.1,2318.25,8.26,97.6,10.1,,55618.7
2001-01-01,17.24,2373.29,8.46,100.0,17.24,,16363.9
2001-02-01,16.39,2255.65,8.04,95.0,16.39,,8188.9
2001-03-01,15.64,2153.12,7.67,90.7,15.64,,12417.0
2001-04-01,19.14,2634.47,9.39,111.0,19.14,,46781.0
2001-05-01,17.32,2384.08,8.5,,17.32,,34969.8
2001-06-01,17.7,2435.89,8.68,,17.7,,37378.7
2001-07-01,16.47,2266.45,8.08,,16.47,,32173.2
2001-08-01,14.62,2012.82,7.17,,14.62,,12627.3
2001-09-01,14.11,1942.67,6.92,,14.11,,32128.7
2001-10-01,12.08,1662.06,5.92,,12.08,,27460.4
