,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,1667.98,3.82,,,,406508.1
1996-06-01,,1555.78,3.57,,,,20035.9
1996-07-01,,1909.14,4.38,,,,17553.0
1996-08-01,,2188.81,5.02,,,,180640.1
1996-09-01,,2059.86,4.72,,,,92028.3
1996-10-01,,1959.38,4.49,,,,31880.1
1996-11-01,,1909.14,4.38,19.3,,,63726.7
1996-12-01,,2503.65,5.74,25.3,,,50527.8
1997-01-01,,2135.22,4.9,21.6,,,162190.6
1997-02-01,,2311.06,5.3,23.4,,,92800.9
1997-03-01,,2448.38,5.61,29.8,,,48268.9
1997-04-01,,2625.9,6.02,32.0,,,133059.3
1997-05-01,,2654.37,6.09,32.3,,,155014.7
1997-06-01,,2495.27,5.72,30.4,,,87732.1
1997-07-01,,2411.54,5.53,29.4,,,43904.8
1997-08-01,,2579.23,5.68,30.2,,,42927.3
1997-09-01,,2375.96,5.23,27.8,,,19522.6
1997-10-01,,2082.56,4.59,21.7,,,15632.5
1997-11-01,,2109.4,4.65,22.0,,,16530.1
1997-12-01,,2040.37,4.49,21.3,,,26937.5
1998-01-01,,2235.92,4.76,22.7,,,33569.3
1998-02-01,,2285.04,4.86,23.2,,,28348.4
1998-03-01,,2169.72,4.62,22.0,,,31973.7
1998-04-01,,2039.45,4.34,20.7,,,21462.1
1998-05-01,,2210.29,4.7,22.4,,,48792.9
1998-06-01,,2485.78,5.29,27.1,,,81012.9
1998-07-01,,2050.13,4.36,22.3,,,34446.8
1998-08-01,,1943.35,4.14,21.2,,,15408.6
1998-09-01,,1529.05,3.25,34.1,,,35717.0
1998-10-01,,1776.78,3.78,39.6,,,60211.3
1998-11-01,,1725.52,3.67,38.5,,,57417.8
1998-12-01,,1667.86,3.55,37.2,,,24445.6
1999-01-01,,1558.95,3.32,34.8,,,17217.5
1999-02-01,1.95,1332.58,2.84,104.0,1.95,,14639.6
1999-03-01,1.93,1319.77,2.81,103.0,1.93,,4366.9
1999-04-01,2.2,1505.56,3.2,117.5,2.2,,22835.7
1999-05-01,1.93,1321.9,2.81,103.2,1.93,,101607.8
1999-06-01,2.03,1392.38,2.96,108.7,2.03,,49582.8
1999-07-01,2.2,1503.43,3.2,117.3,2.2,,182282.4
1999-08-01,2.27,1552.75,3.3,110.2,2.27,,71490.5
1999-09-01,2.37,1620.88,3.45,62.7,2.37,,70257.0
1999-10-01,2.39,1634.97,3.48,63.3,2.39,,71156.7
1999-11-01,2.27,1557.45,3.31,60.3,2.27,,13907.5
1999-12-01,2.35,1609.13,3.42,62.3,2.35,,33899.9
2000-01-01,2.22,1456.44,3.1,56.4,2.22,,13730.6
2000-02-01,2.2,1447.04,3.08,56.0,2.2,,28068.3
2000-03-01,2.36,1550.41,3.3,60.0,2.36,,46361.8
2000-04-01,2.55,1670.21,3.55,64.6,2.55,,129788.8
2000-05-01,2.63,1726.59,3.67,66.8,2.63,,132491.1
2000-06-01,2.68,1757.13,3.74,68.0,2.68,,51473.5
2000-07-01,2.57,1689.0,3.59,359.5,2.57,,219274.6
2000-08-01,2.9,1902.77,4.05,405.0,2.9,,70642.7
2000-09-01,2.91,1912.17,4.07,,2.91,,152465.6
2000-10-01,2.75,1806.46,3.84,,2.75,,30217.7
2000-11-01,3.02,1980.29,4.21,,3.02,,47124.8
2000-12-01,3.87,2537.03,5.4,,3.87,,207289.9
2001-01-01,4.87,2410.18,5.13,,4.87,,90012.9
2001-02-01,4.52,2236.34,4.76,,4.52,,48396.3
2001-03-01,3.85,1905.12,4.05,,3.85,,26154.3
2001-04-01,4.23,2093.05,4.45,,4.23,,43354.9
2001-05-01,4.16,2055.46,4.38,,4.16,,35559.5
2001-06-01,4.65,2302.12,4.9,,4.65,,80800.9
2001-07-01,4.56,2255.14,4.8,,4.56,,52559.2
2001-08-01,4.02,1987.34,4.23,,4.02,,20985.3
2001-09-01,3.72,1839.34,3.91,,3.72,,15236.8
2001-10-01,3.83,1895.72,4.03,,3.83,,18388.3
2001-11-01,4.07,2015.53,4.29,,4.08,,92508.1
2001-12-01,4.01,1984.99,4.22,,4.01,,37576.7
2002-01-01,2.79,1533.96,3.26,,2.79,,44530.1
2002-02-01,1.97,1082.93,2.3,,1.97,,70466.0
2002-03-01,2.18,1200.39,2.55,,2.18,,47748.4
2002-04-01,2.51,1378.92,2.93,,2.51,,101641.8
2002-05-01,2.7,1484.63,3.16,,2.7,,60069.0
2002-06-01,2.53,1393.02,2.96,,2.53,,83661.7
2002-07-01,2.68,1475.23,3.14,,2.68,,59629.6
2002-08-01,3.02,1663.16,3.54,,3.02,,85961.1
2002-09-01,2.7,1486.98,3.16,,2.7,,53141.9
2002-10-01,2.17,1195.69,2.54,,2.17,,40929.7
