,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,4438.79,14.68,,,,90833.4
1997-06-01,,4250.4,14.06,,,,58237.6
1997-07-01,,4105.91,13.58,28.1,,,24026.5
1997-08-01,,3897.6,12.89,20.9,,,23298.0
1997-09-01,,3732.96,12.34,20.0,,,13900.0
1997-10-01,,3279.36,10.84,17.6,,,7404.3
1997-11-01,,3847.2,12.72,20.6,,,9389.3
1997-12-01,,3497.76,11.57,18.8,,,7063.7
1998-01-01,,4309.2,14.25,23.1,,,35789.9
1998-02-01,,4653.6,15.39,25.0,,,35163.1
1998-03-01,,4242.0,14.03,22.7,,,30072.5
1998-04-01,,4406.64,14.57,33.6,,,12964.8
1998-05-01,,4687.2,15.5,35.8,,,31782.0
1998-06-01,,4802.11,15.88,36.6,,,25802.0
1998-07-01,,4539.02,15.01,34.6,,,35514.2
1998-08-01,,3864.67,12.78,29.5,,,18765.8
1998-09-01,,2993.76,9.9,22.8,,,15013.0
1998-10-01,,3157.05,10.44,32.6,,,15177.0
1998-11-01,,3268.94,10.81,33.8,,,14290.6
1998-12-01,,3144.96,10.4,32.5,,,18651.2
1999-01-01,,2878.85,9.52,29.8,,,4915.0
1999-02-01,3.43,2667.17,8.82,27.6,3.43,,4858.7
1999-03-01,3.19,2479.68,8.2,25.6,3.19,,1497.0
1999-04-01,3.51,2733.69,9.04,28.3,3.51,,6665.4
1999-05-01,3.0,2334.53,7.72,24.1,3.0,,7687.8
1999-06-01,3.42,2661.12,8.8,46.3,3.42,,13091.3
1999-07-01,3.53,2745.79,9.08,47.8,3.53,,53706.7
1999-08-01,3.38,2630.88,8.7,45.8,3.38,,16411.5
1999-09-01,3.69,2869.78,9.49,105.4,3.69,,17241.4
1999-10-01,3.81,2960.49,9.79,108.8,3.81,,18942.9
1999-11-01,3.53,2748.82,9.09,101.0,3.53,,4616.5
1999-12-01,3.46,2694.38,8.91,99.0,3.46,,3286.1
2000-01-01,3.02,2404.08,7.95,88.3,3.02,,3520.1
2000-02-01,2.97,2367.79,7.83,87.0,2.97,,8389.0
2000-03-01,3.57,2842.56,9.4,104.4,3.57,,25595.4
2000-04-01,4.36,3474.58,11.49,127.7,4.36,,76605.9
2000-05-01,4.8,3825.36,12.65,140.6,4.8,,74454.0
2000-06-01,5.26,4197.31,13.88,154.2,5.26,,36031.3
2000-07-01,5.84,4653.93,15.39,171.0,5.84,,43702.1
2000-08-01,5.49,4378.75,14.48,160.9,5.49,,29848.7
2000-09-01,5.84,4656.96,15.4,171.1,5.84,,48231.3
2000-10-01,5.83,4650.91,15.38,170.9,5.83,,22949.2
2000-11-01,5.27,4200.33,13.89,154.3,5.27,,10323.9
2000-12-01,5.48,4366.65,14.44,160.4,5.48,,21591.7
2001-01-01,5.44,4475.52,14.8,74.0,5.44,,17552.4
2001-02-01,5.45,4481.57,14.82,74.1,5.45,,12774.0
2001-03-01,5.21,4281.98,14.16,70.8,5.21,,3591.2
2001-04-01,5.51,4532.97,14.99,75.0,5.51,,8279.0
2001-05-01,5.2,4278.96,14.15,83.2,5.2,,9440.5
2001-06-01,5.57,4581.36,15.15,89.1,5.57,,36571.8
2001-07-01,5.55,4560.19,15.08,88.7,5.55,,35908.8
2001-08-01,5.02,4127.76,13.65,80.3,5.02,,16085.7
2001-09-01,4.19,3447.36,11.4,67.1,4.19,,10048.5
2001-10-01,3.74,3078.43,10.18,59.9,3.74,,7327.2
2001-11-01,3.8,3120.77,10.32,60.7,3.8,,11425.5
2001-12-01,3.95,3247.77,10.74,63.2,3.95,,12412.2
2002-01-01,3.42,2869.78,9.49,55.8,3.42,,6631.8
2002-02-01,2.84,2385.94,7.89,46.4,2.84,,12644.1
2002-03-01,2.86,2398.03,7.93,46.6,2.86,,7296.1
2002-04-01,3.15,2639.95,8.73,51.4,3.15,,18456.9
2002-05-01,3.61,3033.07,10.03,59.0,3.61,,16739.5
2002-06-01,3.1,2597.62,8.59,47.7,3.1,,10046.6
2002-07-01,3.41,2860.7,9.46,52.6,3.41,,11626.1
2002-08-01,3.29,2763.93,9.14,50.8,3.29,,11548.8
2002-09-01,3.22,2703.45,8.94,49.7,3.22,,4776.5
2002-10-01,3.19,2673.22,8.84,49.1,3.19,,3068.4
2002-11-01,2.84,2379.89,7.87,43.7,2.84,,2256.6
2002-12-01,2.52,2116.8,7.0,38.9,2.52,,5984.1
