,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,,,,,,
1997-08-01,,,,,,,
1997-09-01,,,,,,,
1997-10-01,,,,,,,
1997-11-01,,,,,,,
1997-12-01,,,,,,,
1998-01-01,,,,,,,
1998-02-01,,,,,,,
1998-03-01,,,,,,,
1998-04-01,,,,,,,
1998-05-01,,,,,,,
1998-06-01,,,,,,,
1998-07-01,,,,,,,
1998-08-01,,,,,,,
1998-09-01,,,,,,,
1998-10-01,,,,,,,
1998-11-01,,,,,,,
1998-12-01,,,,,,,
1999-01-01,,,,,,,
1999-02-01,,,,,,,
1999-03-01,,,,,,,
1999-04-01,,,,,,,
1999-05-01,,,,,,,
1999-06-01,,,,,,,
1999-07-01,,,,,,,
1999-08-01,,,,,,,
1999-09-01,,,,,,,
1999-10-01,,,,,,,
1999-11-01,,,,,,,
1999-12-01,,,,,,,
2000-01-01,,,,,,,
2000-02-01,,,,,,,
2000-03-01,,,,,,,
2000-04-01,,,,,,,
2000-05-01,,,,,,,
2000-06-01,,,,,,,
2000-07-01,,,,,,,
2000-08-01,,,,,,,
2000-09-01,,,,,,,
2000-10-01,,,,,,,
2000-11-01,,,,,,,
2000-12-01,,,,,,,
2001-01-01,4.2,4979.12,7.3,,4.2,,85411.8
2001-02-01,3.96,4692.65,6.88,,3.96,,92198.5
2001-03-01,3.75,4443.7,6.51,,3.75,,22938.3
2001-04-01,3.92,4644.91,6.81,,3.92,,33171.7
2001-05-01,3.87,4590.34,6.73,,3.87,,51826.4
2001-06-01,3.88,4597.16,6.74,,3.88,,25983.7
2001-07-01,4.25,5033.69,7.38,,4.25,,83429.1
2001-08-01,3.73,4423.23,6.48,,3.73,,26944.9
2001-09-01,3.51,4157.23,6.09,,3.51,,11208.3
2001-10-01,3.18,3771.86,5.53,,3.18,,8651.6
2001-11-01,3.14,3717.29,5.45,,3.14,,21353.4
2001-12-01,3.25,3853.71,5.65,,3.25,,18377.5
2002-01-01,3.13,3747.98,5.49,,3.13,,18253.9
2002-02-01,2.99,3574.06,5.24,,2.99,,34719.4
2002-03-01,2.96,3539.95,5.19,,2.96,,11117.7
2002-04-01,3.24,3877.58,5.68,,3.24,,48955.1
2002-05-01,3.18,3805.96,5.58,,3.18,,23450.1
2002-06-01,2.69,3219.38,4.72,,2.69,,10318.6
2002-07-01,2.98,3570.64,5.23,,2.98,,19844.1
2002-08-01,2.85,3413.77,5.0,77.0,2.85,,9656.2
2002-09-01,2.93,3512.67,5.15,79.2,2.93,,6593.9
2002-10-01,2.8,3355.79,4.92,75.7,2.8,,5779.6
2002-11-01,2.62,3134.12,4.59,70.7,2.62,,3853.5
2002-12-01,2.27,2721.47,3.99,61.4,2.27,,8640.7
2003-01-01,2.21,2680.54,3.93,60.5,2.21,,10367.8
2003-02-01,2.37,2871.52,4.21,64.8,2.37,,13965.3
2003-03-01,2.46,2987.47,4.38,67.4,2.46,,13151.9
2003-04-01,2.34,2834.01,4.15,63.9,2.34,,7023.3
2003-05-01,2.16,2612.34,3.83,58.9,2.16,,24116.7
2003-06-01,2.12,2564.59,3.76,57.8,2.12,,10673.9
2003-07-01,1.96,2373.61,3.48,69.6,1.96,,28632.4
2003-08-01,1.91,2315.63,3.39,67.9,1.91,,8596.6
2003-09-01,1.86,2250.84,3.3,110.0,1.86,,8207.5
2003-10-01,1.79,2172.4,3.18,106.2,1.79,,6654.2
2003-11-01,1.58,1909.8,2.8,93.3,1.58,,5079.3
2003-12-01,1.6,1943.91,2.85,95.0,1.6,,11838.5
2004-01-01,1.62,1957.55,2.87,95.7,1.62,,24319.2
2004-02-01,1.72,2087.14,3.06,102.0,1.72,,20853.5
2004-03-01,1.85,2237.2,3.28,109.3,1.85,,48804.1
2004-04-01,2.03,2462.28,3.61,120.3,2.03,,43203.7
2004-05-01,1.75,2121.24,3.11,103.7,1.75,,37744.8
2004-06-01,1.75,2114.42,3.1,105.4,1.75,,6403.7
2004-07-01,1.53,1858.65,2.72,92.6,1.53,,7868.2
2004-08-01,1.49,1804.08,2.64,89.9,1.49,,20564.6
2004-09-01,1.31,1592.64,2.33,87.1,1.31,,6666.2
2004-10-01,1.35,1640.38,2.4,89.7,1.35,,19167.7
2004-11-01,1.32,1599.46,2.34,87.5,1.32,,26023.3
2004-12-01,1.42,1722.23,2.52,94.2,1.42,,26794.7
