,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,3766.0,9.99,,,,66566.8
1993-06-01,,2576.0,6.83,,,,13788.8
1993-07-01,,2757.3,7.31,,,,10503.8
1993-08-01,,2380.0,6.31,,,,5991.5
1993-09-01,,2662.8,7.06,,,,9392.4
1993-10-01,,2709.0,7.18,,,,3397.1
1993-11-01,,2724.07,7.22,,,,4802.7
1993-12-01,,3047.95,8.08,,,,13827.5
1994-01-01,,2611.75,6.92,,,,15940.5
1994-02-01,,2540.86,6.74,,,,8296.6
1994-03-01,,2944.35,7.8,,,,10428.3
1994-04-01,,3523.4,9.34,12.7,,,46119.3
1994-05-01,,2757.87,7.31,10.0,,,24460.1
1994-06-01,,2606.73,6.91,9.4,,,10036.0
1994-07-01,,2237.7,5.93,8.1,,,4314.2
1994-08-01,,1876.53,4.97,6.8,,,8539.9
1994-09-01,,3470.4,9.2,12.5,,,106501.0
1994-10-01,,3474.33,9.21,23.9,,,61772.8
1994-11-01,,2983.61,7.91,20.5,,,34531.3
1994-12-01,,3172.04,8.41,21.8,,,14210.6
1995-01-01,,3032.68,8.04,20.9,,,8777.8
1995-02-01,,2748.06,7.28,18.9,,,2495.4
1995-03-01,,2704.87,7.17,18.6,,,3022.6
1995-04-01,,3185.78,8.44,21.6,,,22961.5
1995-05-01,,2787.32,7.39,18.9,,,6762.3
1995-06-01,,3158.3,8.37,21.5,,,27207.5
1995-07-01,,2728.43,7.23,18.5,,,3826.1
1995-08-01,,3003.23,7.96,20.4,,,6737.7
1995-09-01,,2891.35,7.66,19.6,,,8702.8
1995-10-01,,2806.95,7.44,17.4,,,3306.5
1995-11-01,,2728.43,7.23,17.0,,,3186.1
1995-12-01,,2653.84,7.03,16.5,,,1181.5
1996-01-01,,2532.14,6.71,15.7,,,1532.1
1996-02-01,,2282.85,6.05,14.2,,,1251.4
1996-03-01,,2445.77,6.48,15.2,,,610.9
1996-04-01,,2541.95,6.74,15.8,,,2441.2
1996-05-01,,3142.6,8.33,19.5,,,7795.1
1996-06-01,,3113.16,8.25,19.4,,,10502.0
1996-07-01,,3774.07,10.0,23.5,,,38214.1
1996-08-01,,4210.42,11.16,26.2,,,39583.4
1996-09-01,,4616.15,12.24,28.7,,,57683.7
1996-10-01,,5741.48,15.22,35.7,,,25637.9
1996-11-01,,5076.99,13.46,31.6,,,17242.7
1996-12-01,,5297.46,14.04,33.0,,,13340.0
1997-01-01,,4571.74,12.12,28.4,,,37236.8
1997-02-01,,4925.9,12.27,33.8,,,9320.6
1997-03-01,,5363.76,13.36,26.3,,,11631.3
1997-04-01,,6272.31,15.63,30.7,,,56110.7
1997-05-01,,6622.6,16.5,32.4,,,47014.2
1997-06-01,,6275.96,15.64,30.7,,,32427.8
1997-07-01,,6122.71,15.25,30.0,,,13811.8
1997-08-01,,6239.47,15.55,36.4,,,52853.2
1997-09-01,,5662.96,14.11,33.0,,,10521.4
1997-10-01,,5400.25,13.45,31.5,,,6572.6
1997-11-01,,5436.74,13.55,31.7,,,6219.1
1997-12-01,,5101.05,12.71,29.7,,,4099.0
1998-01-01,,5582.69,13.91,32.6,,,5927.5
1998-02-01,,5414.84,13.49,31.6,,,5625.2
1998-03-01,,5108.34,12.73,29.8,,,3096.4
1998-04-01,,5400.25,13.45,31.5,,,3984.9
1998-05-01,,5783.38,14.41,33.7,,,18127.1
1998-06-01,,6148.25,15.32,30.6,,,21741.8
1998-07-01,,6126.36,15.26,30.5,,,36692.1
1998-08-01,,5954.87,14.84,29.7,,,16020.9
1998-09-01,,5006.18,12.47,24.9,,,9590.6
1998-10-01,,5579.04,13.9,34.8,,,13618.4
1998-11-01,,5527.96,13.77,34.4,,,8622.4
1998-12-01,,5440.39,13.55,33.9,,,9685.3
1999-01-01,,4984.29,12.42,31.0,,,3963.0
1999-02-01,4.08,4834.68,12.05,30.1,4.08,,4074.6
1999-03-01,3.84,4546.43,11.33,28.3,3.84,,938.0
1999-04-01,4.25,5035.37,12.55,31.4,4.25,,8732.9
1999-05-01,3.49,4137.76,10.31,25.8,3.49,,9317.8
1999-06-01,5.2,6159.2,15.35,46.9,5.2,,57351.8
1999-07-01,5.43,6436.52,16.04,49.0,5.43,,75777.0
1999-08-01,5.54,6564.22,16.35,50.0,5.54,,23606.5
1999-09-01,5.51,6531.38,16.27,49.7,5.51,,9648.7
1999-10-01,5.33,6312.45,15.73,48.1,5.33,,8325.1
1999-11-01,5.89,6972.89,17.37,53.1,5.89,,26988.4
1999-12-01,4.9,5805.27,14.46,44.2,4.9,,12501.9
2000-01-01,4.38,5298.08,13.2,40.3,4.38,,5595.4
2000-02-01,5.6,6779.5,16.89,51.6,5.6,,24461.3
2000-03-01,8.65,10468.45,26.08,79.7,8.65,,70759.3
2000-04-01,8.77,10610.76,26.44,80.8,8.77,,39706.6
2000-05-01,11.28,13646.58,34.0,103.9,11.28,,32729.8
2000-06-01,11.58,14011.46,34.91,106.7,11.58,,16130.4
2000-07-01,9.05,10950.1,27.28,83.4,9.05,,14387.6
2000-08-01,8.6,10399.13,25.91,79.2,8.6,,8127.8
2000-09-01,8.25,9983.16,24.87,76.0,8.25,,12716.7
2000-10-01,6.3,7622.38,18.99,58.0,6.3,,10725.3
2000-11-01,6.49,7844.96,19.55,59.7,6.49,,8112.5
2000-12-01,8.26,9994.11,24.9,76.1,8.26,,40179.4
2001-01-01,8.11,9096.5,22.66,69.3,8.11,,14155.1
2001-02-01,8.17,9158.53,22.82,104.6,8.17,,12532.8
2001-03-01,7.46,8370.38,20.85,95.6,7.46,,6641.1
2001-04-01,7.48,8392.28,20.91,135.3,7.48,,10742.9
2001-05-01,7.61,8530.93,21.25,137.5,7.61,,12971.4
