,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,2035.22,5.08,,,,242190.9
1994-04-01,,1954.49,4.88,33.7,,,274277.7
1994-05-01,,1472.95,3.68,25.4,,,56727.2
1994-06-01,,1317.16,3.29,22.7,,,22297.4
1994-07-01,,1018.32,2.54,17.5,,,9176.0
1994-08-01,,913.51,2.28,15.7,,,16340.9
1994-09-01,,1727.89,4.31,29.8,,,239598.8
1994-10-01,,1855.35,4.63,32.0,,,251639.1
1994-11-01,,1579.17,3.94,27.2,,,118424.0
1994-12-01,,1635.83,4.09,28.2,,,49308.9
1995-01-01,,1593.34,3.98,27.4,,,44593.4
1995-02-01,,1359.65,3.4,23.4,,,7158.1
1995-03-01,,1338.4,3.34,23.0,,,12824.5
1995-04-01,,1487.11,3.71,22.3,,,34833.8
1995-05-01,,1271.84,3.18,19.1,,,13239.5
1995-06-01,,1501.28,3.75,22.6,,,70229.0
1995-07-01,,1239.26,3.09,18.6,,,13063.4
1995-08-01,,1363.9,3.41,20.5,,,15608.0
1995-09-01,,1328.49,3.32,20.0,,,18122.0
1995-10-01,,1283.17,3.2,18.1,,,21610.2
1995-11-01,,1267.59,3.17,17.9,,,10804.2
1995-12-01,,1218.02,3.04,17.2,,,4480.2
1996-01-01,,1052.31,2.63,14.9,,,4110.4
1996-02-01,,977.25,2.44,13.8,,,2506.4
1996-03-01,,1046.65,2.61,14.8,,,1273.5
1996-04-01,,1040.98,2.6,14.7,,,4699.3
1996-05-01,,1528.19,3.82,21.6,,,32697.3
1996-06-01,,1358.23,3.39,18.8,,,32387.5
1996-07-01,,1883.11,4.7,26.1,,,90003.2
1996-08-01,,2447.37,6.11,33.9,,,151922.9
1996-09-01,,2447.37,6.11,33.9,,,77979.6
1996-10-01,,2834.86,7.08,39.2,,,52484.2
1996-11-01,,2547.64,6.36,32.6,,,85725.2
1996-12-01,,2890.96,7.22,36.8,,,34076.0
1997-01-01,,2964.12,7.05,36.4,,,94142.2
1997-02-01,,3025.82,7.19,37.2,,,36522.9
1997-03-01,,3379.16,8.03,38.9,,,41738.6
1997-04-01,,3850.28,9.15,44.3,,,110101.6
1997-05-01,,3825.04,9.09,44.0,,,97102.4
1997-06-01,,3617.52,8.6,41.6,,,93243.4
1997-07-01,,3233.33,7.69,37.2,,,22423.1
1997-08-01,,3617.52,8.6,36.9,,,46792.5
1997-09-01,,3701.65,8.8,37.7,,,28072.3
1997-10-01,,3194.07,7.59,32.5,,,19996.4
1997-11-01,,3292.22,7.83,33.5,,,11605.5
1997-12-01,,3090.31,7.35,31.5,,,6909.8
1998-01-01,4.58,3337.09,7.93,34.0,4.58,,10676.9
1998-02-01,4.39,3196.88,7.6,32.6,4.39,,10514.5
1998-03-01,4.36,3174.44,7.55,32.3,4.36,,7580.5
1998-04-01,4.09,2980.95,7.09,30.4,4.09,,9757.8
1998-05-01,4.13,3011.8,7.16,29.8,4.13,,19281.7
1998-06-01,4.39,3196.88,7.6,31.7,4.39,,19404.1
1998-07-01,3.67,2672.48,6.35,26.5,3.67,,21600.9
1998-08-01,3.62,2636.02,6.27,26.1,3.62,,10027.1
1998-09-01,3.15,2299.51,5.47,22.8,3.15,,8606.9
1998-10-01,3.53,2574.33,6.12,27.8,3.53,,12475.3
1998-11-01,3.69,2692.11,6.4,29.1,3.69,,16389.8
1998-12-01,3.34,2436.92,5.79,26.3,3.34,,13383.0
1999-01-01,3.12,2274.27,5.41,24.6,3.12,,3301.8
1999-02-01,3.04,2218.19,5.27,24.0,3.04,,3672.6
1999-03-01,2.87,2094.8,4.98,22.6,2.87,,1232.1
1999-04-01,3.05,2220.99,5.28,24.0,3.05,,7987.1
1999-05-01,2.9,2117.23,5.03,22.9,2.9,,6621.7
1999-06-01,3.44,2504.22,5.95,31.9,3.44,,20077.8
1999-07-01,5.04,3670.8,8.73,46.8,5.04,,92189.2
1999-08-01,4.89,3567.04,8.48,45.4,4.89,,51141.4
1999-09-01,5.39,3925.99,9.33,41.2,5.39,,64293.4
1999-10-01,4.79,3488.52,8.29,36.6,4.79,,34713.4
1999-11-01,4.26,3107.14,7.39,32.6,4.26,,7250.4
1999-12-01,4.49,3269.79,7.77,34.3,4.49,,12009.0
2000-01-01,3.78,2972.54,7.07,31.2,3.78,,5952.5
2000-02-01,4.6,3620.32,8.61,38.0,4.6,,36657.3
2000-03-01,5.28,4147.53,9.86,43.5,5.28,,160974.6
2000-04-01,4.76,3740.91,8.89,39.2,4.76,,49718.6
2000-05-01,4.57,3595.08,8.55,37.7,4.57,,20791.7
2000-06-01,4.78,3754.93,8.93,39.4,4.78,,16817.9
2000-07-01,4.54,3569.85,8.49,37.4,4.54,,22911.4
2000-08-01,4.85,3813.82,9.07,40.0,4.85,,20309.1
2000-09-01,6.38,5019.66,11.93,137.7,6.38,,260363.0
2000-10-01,5.26,4136.31,9.83,113.5,5.26,,52318.8
2000-11-01,6.21,4879.44,11.6,133.8,6.21,,66896.7
2000-12-01,5.57,4380.28,10.41,120.2,5.57,,105966.6
2001-01-01,5.56,4388.7,10.43,120.4,5.56,,21842.1
2001-02-01,5.31,4186.79,9.95,114.8,5.31,,14099.5
2001-03-01,4.84,3816.62,9.07,104.7,4.84,,10099.9
2001-04-01,5.05,3982.08,9.47,67.6,5.05,,21334.7
2001-05-01,4.88,3847.47,9.15,65.3,4.88,,15122.9
2001-06-01,5.18,4088.64,9.72,69.4,5.18,,20958.5
