,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,463.59,3.57,24.1,,,78555.8
1996-04-01,,474.29,3.65,24.6,,,62623.4
1996-05-01,,606.24,4.67,31.5,,,55632.6
1996-06-01,,494.97,3.81,25.7,,,25822.5
1996-07-01,,583.41,4.49,30.3,,,35660.2
1996-08-01,,613.37,4.73,31.9,,,32433.5
1996-09-01,,581.99,4.48,30.2,,,48561.1
1996-10-01,,563.44,4.34,29.3,,,17091.3
1996-11-01,,559.88,4.31,39.3,,,34689.9
1996-12-01,,734.62,5.66,51.5,,,45060.7
1997-01-01,,586.27,4.52,41.1,,,65887.8
1997-02-01,,581.99,4.48,40.8,,,18038.4
1997-03-01,,628.35,4.84,440.5,,,17665.4
1997-04-01,,736.04,5.67,516.0,,,55251.3
1997-05-01,,627.63,4.84,440.0,,,53777.7
1997-06-01,,526.36,4.05,369.0,,,17251.9
1997-07-01,,484.99,3.74,340.0,,,9255.4
1997-08-01,,480.71,3.7,337.0,,,7554.4
1997-09-01,,555.6,4.28,389.5,,,48160.0
1997-10-01,,460.74,3.55,,,,21478.5
1997-11-01,,488.56,3.76,,,,13672.0
1997-12-01,,455.75,3.51,,,,13076.0
1998-01-01,,492.12,3.79,,,,10042.6
1998-02-01,,480.71,3.7,,,,8267.5
1998-03-01,,512.09,3.95,,,,10940.0
1998-04-01,,604.81,4.66,,,,16185.7
1998-05-01,,624.78,4.81,,,,35769.1
1998-06-01,,684.69,5.27,192.0,,,30937.6
1998-07-01,,664.72,5.12,186.4,,,17068.2
1998-08-01,,848.38,6.54,237.9,,,34136.3
1998-09-01,,826.13,6.36,231.7,,,26218.4
1998-10-01,,906.79,6.99,88.9,,,26586.4
1998-11-01,,841.89,6.49,82.5,,,15799.8
1998-12-01,,818.71,6.31,80.3,,,11812.2
1999-01-01,,758.44,5.84,74.4,,,10981.9
1999-02-01,4.52,667.58,5.14,65.5,4.52,,13085.9
1999-03-01,4.46,658.3,5.07,64.5,4.46,,2333.4
1999-04-01,5.23,773.28,5.96,75.8,5.23,,23515.3
1999-05-01,5.52,815.0,6.28,79.9,5.52,,29900.9
1999-06-01,7.37,1088.52,8.39,,7.37,,59946.7
1999-07-01,9.41,1389.86,10.71,,9.41,,52331.2
1999-08-01,9.51,1404.69,10.82,,9.51,,29866.9
1999-09-01,8.15,1203.49,9.27,,8.15,,38505.4
1999-10-01,7.89,1165.48,8.98,,7.89,,47198.5
1999-11-01,7.18,1060.71,8.17,,7.18,,6942.5
1999-12-01,6.85,1012.49,7.8,,6.85,,6553.3
2000-01-01,6.77,896.97,6.91,,6.77,,3557.9
2000-02-01,7.96,1055.33,8.13,,7.96,,18920.4
2000-03-01,9.6,1272.11,9.8,,9.6,,69035.6
2000-04-01,9.11,1207.2,9.3,,9.11,,30174.0
2000-05-01,9.59,1270.81,9.79,,9.59,,43999.3
2000-06-01,9.16,1213.7,9.35,,9.16,,11926.1
2000-07-01,8.15,1079.99,8.32,,8.15,,16659.3
2000-08-01,8.97,1189.03,9.16,,8.97,,13102.3
2000-09-01,10.88,1442.16,11.11,,10.88,,59933.7
2000-10-01,11.33,1501.87,11.57,,11.33,,29116.6
2000-11-01,12.31,1631.67,12.57,,12.31,,27536.4
2000-12-01,11.99,1590.14,12.25,,11.99,,22422.2
2001-01-01,10.91,1492.78,11.5,,10.91,,11050.2
2001-02-01,11.65,1594.03,12.28,,11.65,,8197.4
2001-03-01,10.91,1492.78,11.5,,10.91,,5273.1
2001-04-01,11.88,1625.18,12.52,,11.88,,12762.5
2001-05-01,12.07,1652.44,12.73,,12.07,,26952.3
2001-06-01,14.46,1979.56,15.25,,14.46,,25842.2
2001-07-01,15.98,2187.25,16.85,,15.98,,24879.7
2001-08-01,13.37,1830.28,14.1,,13.37,,27551.9
2001-09-01,12.9,1765.38,13.6,,12.9,,10034.6
2001-10-01,12.41,1697.88,13.08,,12.41,,3458.9
2001-11-01,11.39,1558.98,12.01,,11.39,,8232.6
2001-12-01,12.39,1695.28,13.06,,12.39,,25855.0
2002-01-01,7.49,1466.82,11.3,,7.49,,10824.1
2002-02-01,6.26,1226.68,9.45,,6.26,,12821.8
2002-03-01,6.57,1287.69,9.92,,6.57,,5881.3
2002-04-01,7.61,1490.18,11.48,,7.61,,18413.4
2002-05-01,7.88,1544.7,11.9,,7.88,,16207.2
2002-06-01,6.55,1282.49,9.88,,6.55,,11194.4
2002-07-01,7.18,1407.11,10.84,,7.18,,12841.7
2002-08-01,7.07,1385.04,10.67,,7.07,,6541.3
2002-09-01,7.1,1391.53,10.72,89.3,7.1,,4943.4
2002-10-01,6.86,1343.5,10.35,86.3,6.86,,6295.4
2002-11-01,6.19,1212.4,9.34,77.8,6.19,,2638.3
