,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,950.62,3.18,,,,303192.4
1994-01-01,,626.01,2.24,,,,180504.8
1994-02-01,,570.43,2.04,,,,83666.4
1994-03-01,,547.03,1.96,,,,12054.6
1994-04-01,,568.09,2.03,31.3,,,94461.4
1994-05-01,,420.66,1.5,23.2,,,61764.4
1994-06-01,,436.45,1.56,24.1,,,104866.5
1994-07-01,,377.36,1.35,20.8,,,22859.2
1994-08-01,,489.9,1.28,18.8,,,33053.0
1994-09-01,,764.32,1.99,29.3,,,420119.6
1994-10-01,,723.91,1.88,26.9,,,274599.7
1994-11-01,,750.01,1.95,27.8,,,272368.4
1994-12-01,,667.52,1.74,24.8,,,85302.9
1995-01-01,,636.37,1.66,23.6,,,78594.8
1995-02-01,,542.09,1.41,20.1,,,13606.4
1995-03-01,,542.93,1.41,20.2,,,40263.4
1995-04-01,,600.17,1.56,19.3,,,56954.2
1995-05-01,,501.69,1.31,16.1,,,25751.4
1995-06-01,,601.86,1.57,19.3,,,87789.8
1995-07-01,,505.9,1.32,16.2,,,19302.2
1995-08-01,,562.3,1.46,18.1,,,38359.0
1995-09-01,,577.45,1.5,18.5,,,70611.6
1995-10-01,,649.0,1.69,21.4,,,133793.2
1995-11-01,,747.48,1.95,24.7,,,205543.6
1995-12-01,,580.81,1.51,19.2,,,81794.0
1996-01-01,,509.26,1.33,16.8,,,20078.2
1996-02-01,,486.54,1.27,16.1,,,34115.5
1996-03-01,,500.85,1.3,16.5,,,4228.0
1996-04-01,,505.06,1.31,16.7,,,19880.6
1996-05-01,,618.69,1.61,11.9,,,75435.9
1996-06-01,,562.3,1.46,10.8,,,38606.0
1996-07-01,,633.0,1.65,12.1,,,99949.4
1996-08-01,,663.31,1.73,12.7,,,85897.2
1996-09-01,,644.45,1.68,12.3,,,61580.6
1996-10-01,,645.46,1.68,12.3,,,32963.6
1996-11-01,,661.62,1.72,12.6,,,118383.4
1996-12-01,,927.28,2.41,17.7,,,183275.9
1997-01-01,,733.34,1.91,14.0,,,215769.2
1997-02-01,,735.36,1.91,14.0,,,40912.4
1997-03-01,,837.38,2.18,20.7,,,109394.8
1997-04-01,,995.97,2.59,24.7,,,205661.4
1997-05-01,,919.2,2.39,22.8,,,243330.3
1997-06-01,,944.45,2.46,23.4,,,113126.8
1997-07-01,,813.14,2.12,20.1,,,64125.3
1997-08-01,,767.68,2.0,27.1,,,33262.2
1997-09-01,,735.36,1.91,26.0,,,21745.9
1997-10-01,,729.3,1.9,25.8,,,56138.8
1997-11-01,,747.48,1.95,26.4,,,18342.7
1997-12-01,,691.93,1.8,24.5,,,10912.8
1998-01-01,,673.74,1.75,23.8,,,10958.0
1998-02-01,,693.95,1.81,24.5,,,15711.4
1998-03-01,,752.53,1.96,26.6,,,25298.7
1998-04-01,,716.17,1.86,25.3,,,15937.7
1998-05-01,,767.68,2.0,27.1,,,95588.9
1998-06-01,,852.53,2.22,49.6,,,87180.8
1998-07-01,,746.47,1.94,43.5,,,34692.1
1998-08-01,,844.45,2.2,49.2,,,49649.3
1998-09-01,,820.21,2.14,47.8,,,43147.3
1998-10-01,,991.93,2.58,46.8,,,127331.8
1998-11-01,,959.6,2.5,45.2,,,82641.0
1998-12-01,,1079.81,2.81,50.9,,,103817.8
1999-01-01,,896.98,2.34,42.3,,,35457.3
1999-02-01,3.59,1052.53,2.74,49.6,3.59,,26265.2
1999-03-01,3.69,1080.82,2.81,51.0,3.69,,9132.4
1999-04-01,4.16,1219.2,3.17,57.5,4.16,,55798.3
1999-05-01,4.18,1225.26,3.19,57.8,4.18,,59975.3
1999-06-01,4.5,1319.71,3.44,12.3,4.5,,65031.7
1999-07-01,4.45,1303.05,3.39,12.1,4.45,,163454.7
1999-08-01,4.85,1421.23,3.7,13.2,4.85,,62846.8
1999-09-01,4.77,1396.99,3.64,13.0,4.77,,29458.4
1999-10-01,4.59,1345.47,3.5,12.5,4.59,,17132.6
1999-11-01,4.15,1215.17,3.16,21.7,4.15,,6281.3
1999-12-01,3.71,1087.89,2.83,19.4,3.71,,10826.5
2000-01-01,3.44,1010.62,2.63,18.0,3.44,,7392.9
2000-02-01,3.78,1112.13,2.9,19.8,3.78,,30462.2
2000-03-01,3.92,1151.53,3.0,20.5,3.92,,43075.3
2000-04-01,4.75,1395.47,3.63,24.9,4.75,,96074.9
2000-05-01,4.64,1363.65,3.55,42.9,4.64,,54830.3
2000-06-01,4.77,1401.53,3.65,44.0,4.77,,30571.8
2000-07-01,5.41,1590.93,4.14,50.0,5.41,,92150.4
2000-08-01,6.08,1787.9,4.65,56.2,6.08,,61444.3
2000-09-01,5.92,1739.42,4.53,63.8,5.92,,78683.4
2000-10-01,5.21,1530.32,3.98,56.1,5.21,,20836.6
2000-11-01,5.71,1678.81,4.37,61.6,5.71,,23217.5
2000-12-01,6.14,1806.08,4.7,66.2,6.14,,59171.5
2001-01-01,5.92,1813.66,4.72,66.5,5.92,,42328.5
2001-02-01,5.68,1739.42,4.53,63.8,5.68,,37149.1
2001-03-01,5.57,1706.08,4.44,62.6,5.57,,19598.0
2001-04-01,6.11,1871.23,4.87,51.5,6.11,,79070.6
2001-05-01,6.43,1969.72,5.13,54.2,6.43,,113074.3
2001-06-01,7.18,2197.0,5.72,60.4,7.18,,57240.1
2001-07-01,6.6,2021.24,5.26,55.6,6.6,,40353.5
2001-08-01,6.14,1878.81,4.89,51.7,6.14,,26295.1
2001-09-01,6.32,1933.36,5.03,53.2,6.32,,50284.5
