,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,,,,,,
1997-08-01,,,,,,,
1997-09-01,,,,,,,
1997-10-01,,,,,,,
1997-11-01,,,,,,,
1997-12-01,,,,,,,
1998-01-01,,,,,,,
1998-02-01,,,,,,,
1998-03-01,,,,,,,
1998-04-01,,,,,,,
1998-05-01,,,,,,,
1998-06-01,,,,,,,
1998-07-01,,,,,,,
1998-08-01,,,,,,,
1998-09-01,,,,,,,
1998-10-01,,,,,,,
1998-11-01,,,,,,,
1998-12-01,,,,,,,
1999-01-01,,,,,,,
1999-02-01,,,,,,,
1999-03-01,,,,,,,
1999-04-01,,,,,,,
1999-05-01,,,,,,,
1999-06-01,,,,,,,
1999-07-01,,,,,,,
1999-08-01,,,,,,,
1999-09-01,,,,,,,
1999-10-01,,,,,,,
1999-11-01,,,,,,,
1999-12-01,,,,,,,
2000-01-01,,,,,,,
2000-02-01,,,,,,,
2000-03-01,,,,,,,
2000-04-01,,,,,,,
2000-05-01,,,,,,,
2000-06-01,,,,,,,
2000-07-01,,,,,,,
2000-08-01,,,,,,,
2000-09-01,,,,,,,
2000-10-01,,,,,,,
2000-11-01,,,,,,,
2000-12-01,,,,,,,
2001-01-01,,,,,,,
2001-02-01,,,,,,,
2001-03-01,,,,,,,
2001-04-01,,,,,,,
2001-05-01,,,,,,,
2001-06-01,,,,,,,
2001-07-01,,,,,,,
2001-08-01,,,,,,,
2001-09-01,,,,,,,
2001-10-01,,,,,,,
2001-11-01,,,,,,,
2001-12-01,,,,,,,
2002-01-01,,,,,,,
2002-02-01,,,,,,,
2002-03-01,,,,,,,
2002-04-01,,,,,,,
2002-05-01,,,,,,,
2002-06-01,,,,,,,
2002-07-01,,,,,,,
2002-08-01,,,,,,,
2002-09-01,,,,,,,
2002-10-01,,,,,,,
2002-11-01,,,,,,,
2002-12-01,,,,,,,
2003-01-01,,,,,,,
2003-02-01,,,,,,,
2003-03-01,,,,,,,
2003-04-01,,,,,,,
2003-05-01,,,,,,,
2003-06-01,,,,,,,
2003-07-01,,,,,,,
2003-08-01,,,,,,,
2003-09-01,,,,,,,
2003-10-01,1.52,1139.31,2.77,39.4,1.52,,168956.8
2003-11-01,1.44,1074.59,2.62,37.1,1.44,,83036.3
2003-12-01,1.41,1054.16,2.57,36.4,1.41,,62038.8
2004-01-01,1.35,1025.21,2.5,35.4,1.35,,54483.2
2004-02-01,1.46,1106.95,2.7,38.2,1.46,,57011.1
2004-03-01,1.59,1205.72,2.94,41.6,1.59,,118595.6
2004-04-01,1.75,1331.75,3.24,46.0,1.75,,119160.5
2004-05-01,1.55,1180.18,2.87,57.8,1.55,,177649.3
2004-06-01,1.51,1149.52,2.8,56.3,1.51,,26803.5
2004-07-01,1.32,999.66,2.43,48.9,1.32,,37601.4
2004-08-01,1.17,888.97,2.17,43.5,1.17,,20777.3
2004-09-01,1.14,866.83,2.11,70.1,1.14,,17809.4
2004-10-01,1.2,909.4,2.21,73.6,1.2,,38203.1
2004-11-01,1.14,861.72,2.1,38.8,1.14,,24068.9
2004-12-01,1.29,977.52,2.38,44.0,1.29,,38889.5
2005-01-01,1.66,977.52,2.38,44.0,1.66,,75038.8
2005-02-01,1.4,824.25,2.01,37.1,1.4,,34960.5
2005-03-01,1.52,895.78,2.18,40.4,1.52,,17307.6
2005-04-01,1.41,831.06,2.02,37.4,1.41,,23936.2
2005-05-01,1.11,652.25,1.59,36.4,1.11,,24689.2
2005-06-01,1.14,670.98,1.63,37.5,1.14,,29835.4
2005-07-01,1.08,638.62,1.56,35.1,1.08,,38824.6
2005-08-01,0.95,558.58,1.36,30.7,0.95,,55163.6
2005-09-01,1.12,662.47,1.61,36.4,1.12,,84959.7
2005-10-01,1.11,655.65,1.6,70.9,1.11,,176029.1
2005-11-01,0.94,553.47,1.35,59.8,0.94,,49950.6
2005-12-01,0.95,558.58,1.36,60.4,0.95,,77528.3
2006-01-01,1.58,544.96,1.33,,1.58,,56194.0
2006-02-01,1.57,539.85,1.31,,1.57,,58894.5
2006-03-01,1.75,602.86,1.47,,1.75,,58851.4
2006-04-01,1.59,548.37,1.34,,1.59,,73480.3
2006-05-01,1.48,510.9,1.24,,1.48,,89649.5
2006-06-01,1.96,674.39,1.64,,1.96,,162068.8
2006-07-01,1.89,652.25,1.59,,1.89,,97981.7
