,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,,,,,,
1997-08-01,,,,,,,
1997-09-01,,,,,,,
1997-10-01,,,,,,,
1997-11-01,,,,,,,
1997-12-01,,,,,,,
1998-01-01,,,,,,,
1998-02-01,,,,,,,
1998-03-01,,,,,,,
1998-04-01,,,,,,,
1998-05-01,,,,,,,
1998-06-01,,,,,,,
1998-07-01,,,,,,,
1998-08-01,,,,,,,
1998-09-01,,,,,,,
1998-10-01,,,,,,,
1998-11-01,,,,,,,
1998-12-01,,,,,,,
1999-01-01,,,,,,,
1999-02-01,,,,,,,
1999-03-01,,,,,,,
1999-04-01,,,,,,,
1999-05-01,,,,,,,
1999-06-01,,,,,,,
1999-07-01,,,,,,,
1999-08-01,,,,,,,
1999-09-01,,,,,,,
1999-10-01,,,,,,,
1999-11-01,,,,,,,
1999-12-01,,,,,,,
2000-01-01,,,,,,,
2000-02-01,,,,,,,
2000-03-01,,,,,,,
2000-04-01,,,,,,,
2000-05-01,,,,,,,
2000-06-01,,,,,,,
2000-07-01,,,,,,,
2000-08-01,,,,,,,
2000-09-01,,,,,,,
2000-10-01,,,,,,,
2000-11-01,,,,,,,
2000-12-01,,,,,,,
2001-01-01,,,,,,,
2001-02-01,,,,,,,
2001-03-01,5.42,8829.0,9.83,,5.42,,29193.3
2001-04-01,6.01,9803.7,10.91,,6.01,,118417.1
2001-05-01,6.59,10740.6,11.95,,6.59,,188033.4
2001-06-01,6.43,10476.0,11.66,,6.43,,67755.5
2001-07-01,6.46,10535.39,11.72,,6.46,,57425.3
2001-08-01,5.73,9336.59,10.39,,5.73,,111427.6
2001-09-01,5.52,8991.0,10.01,,5.52,,139309.2
2001-10-01,5.63,9180.0,10.22,,5.63,,73386.1
2001-11-01,5.28,8599.49,9.57,,5.28,,117829.2
2001-12-01,5.52,8996.39,10.01,,5.52,,53109.4
2002-01-01,4.75,8210.7,9.14,,4.75,,20810.7
2002-02-01,4.33,7470.9,8.31,,4.33,,70329.3
2002-03-01,4.27,7370.99,8.2,,4.27,,21155.7
2002-04-01,4.15,7163.09,7.97,,4.15,,50966.3
2002-05-01,4.41,7616.7,8.48,,4.41,,18809.5
2002-06-01,4.0,6909.29,7.69,,4.0,,20123.4
2002-07-01,4.32,7465.5,8.31,,4.32,,36567.4
2002-08-01,4.35,7505.99,8.35,,4.35,,84038.9
2002-09-01,4.32,7468.2,8.31,52.2,4.32,,24102.5
2002-10-01,4.08,7041.59,7.84,49.2,4.08,,13956.5
2002-11-01,3.66,6321.51,7.04,44.2,3.66,,17316.3
2002-12-01,3.57,6167.06,6.86,43.1,3.57,,40676.5
2003-01-01,3.32,6212.7,6.91,43.4,3.32,,16243.0
2003-02-01,3.71,6942.78,7.73,48.5,3.71,,51782.5
2003-03-01,3.63,6795.35,7.56,47.5,3.63,,16166.7
2003-04-01,3.48,6511.04,7.25,45.5,3.48,,18097.3
2003-05-01,3.38,6325.01,7.04,44.2,3.38,,46973.1
2003-06-01,3.7,6925.23,7.71,48.4,3.7,,46534.4
2003-07-01,3.93,7356.95,8.19,48.7,3.93,,85425.6
2003-08-01,4.24,7922.06,8.82,52.5,4.24,,92122.3
2003-09-01,3.91,7321.85,8.15,48.5,3.91,,26667.7
2003-10-01,3.45,6444.35,7.17,45.9,3.45,,30945.9
2003-11-01,3.46,6465.42,7.2,46.1,3.46,,16704.1
2003-12-01,3.19,5959.98,6.63,42.4,3.19,,74125.3
2004-01-01,3.14,6114.42,6.8,43.6,3.14,,81152.3
2004-02-01,3.86,7528.95,8.38,56.4,3.86,,87221.7
2004-03-01,3.93,7651.79,8.52,32.5,3.93,,107277.4
2004-04-01,4.29,8357.3,9.3,35.5,4.29,,105395.1
2004-05-01,3.91,7620.2,8.48,32.0,3.91,,79053.7
2004-06-01,3.87,7542.98,8.39,31.7,3.87,,20027.6
2004-07-01,3.27,6377.67,7.1,26.0,3.27,,29719.2
2004-08-01,3.39,6612.84,7.36,27.0,3.39,,23374.0
2004-09-01,3.24,6314.48,7.03,25.7,3.24,,21792.6
2004-10-01,3.38,6591.77,7.34,25.0,3.38,,40211.7
2004-11-01,3.34,6511.04,7.25,24.7,3.34,,55208.6
2004-12-01,3.77,7339.4,8.17,28.6,3.77,,47405.2
2005-01-01,2.96,7399.09,8.23,28.9,3.1,,32823.0
