,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,1.74,177.6,0.55,,1.74,,3432717.0
1992-10-01,1.15,117.6,0.36,,1.15,,1483794.0
1992-11-01,1.27,129.6,0.4,,1.27,,1103725.0
1992-12-01,1.31,134.4,0.42,,1.31,,1310313.0
1993-01-01,1.16,139.2,0.43,,1.16,,42378.2
1993-02-01,1.52,182.4,0.56,,1.52,,21560.8
1993-03-01,1.62,194.4,0.6,,1.62,,46274.4
1993-04-01,1.36,163.2,0.5,,1.36,,22888.8
1993-05-01,1.28,153.6,0.47,,1.28,,10479.5
1993-06-01,1.02,122.4,0.38,,1.02,,16163.7
1993-07-01,0.92,110.4,0.34,,0.92,,9531.8
1993-08-01,0.82,98.4,0.3,,0.82,,7071.2
1993-09-01,1.12,134.4,0.42,,1.12,,22956.8
1993-10-01,1.04,124.8,0.39,11.3,1.04,,21505.6
1993-11-01,0.94,112.8,0.35,10.2,0.94,,12681.7
1993-12-01,0.76,91.2,0.28,8.2,0.76,,21041.8
1994-01-01,0.9,100.8,0.31,9.1,1.13,,27123.9
1994-02-01,0.77,86.4,0.27,15.3,0.97,,15623.1
1994-03-01,0.75,84.0,0.21,10.6,0.75,,11713.7
1994-04-01,0.69,77.95,0.19,8.8,0.69,,22841.6
1994-05-01,0.66,73.92,0.18,8.3,0.66,,12101.2
1994-06-01,0.74,82.66,0.2,9.3,0.74,,16325.9
1994-07-01,0.69,77.28,0.19,8.7,0.69,,12910.1
1994-08-01,0.83,93.41,0.23,10.5,0.83,,23097.1
1994-09-01,1.02,114.24,0.28,12.9,1.02,,44072.5
1994-10-01,1.05,117.6,0.29,14.9,1.05,,19369.8
1994-11-01,0.96,107.52,0.26,13.6,0.96,,18131.9
1994-12-01,0.78,87.36,0.21,11.1,0.78,,11914.2
1995-01-01,0.9,90.72,0.22,11.5,0.9,,4153.5
1995-02-01,0.76,76.61,0.19,9.7,0.76,,1278.1
1995-03-01,0.87,87.36,0.21,11.1,0.87,,14216.1
1995-04-01,0.84,84.67,0.21,10.7,0.84,,8230.1
1995-05-01,0.77,77.28,0.19,9.8,0.77,,3556.3
1995-06-01,0.77,77.28,0.19,9.8,0.77,,14300.6
1995-07-01,0.78,77.95,0.19,9.9,0.78,,10757.3
1995-08-01,0.95,95.42,0.23,12.1,0.95,,18618.3
1995-09-01,1.07,107.52,0.26,13.6,1.07,,22123.9
1995-10-01,0.96,96.1,0.24,9.9,0.96,,9858.2
1995-11-01,0.93,93.41,0.23,9.6,0.93,,13178.1
1995-12-01,0.87,87.36,0.21,9.0,0.87,,12134.4
1996-01-01,0.95,85.34,0.21,8.8,0.79,,2903.8
1996-02-01,0.97,86.69,0.21,8.9,0.8,,6653.9
1996-03-01,0.96,86.02,0.21,8.9,0.8,,1955.2
1996-04-01,0.92,82.66,0.2,8.5,0.76,,4060.1
1996-05-01,0.97,86.69,0.21,9.0,0.8,,3866.6
1996-06-01,0.83,73.92,0.18,7.6,0.68,,6887.9
1996-07-01,0.89,79.97,0.2,8.3,0.74,,7537.2
1996-08-01,0.84,75.26,0.19,7.8,0.7,,2588.3
1996-09-01,0.83,74.59,0.18,7.7,0.69,,7306.8
1996-10-01,0.83,73.92,0.18,7.6,0.68,,4835.1
1996-11-01,0.83,74.59,0.18,7.7,0.69,,5458.3
1996-12-01,1.04,92.74,0.23,9.6,0.86,,10780.0
1997-01-01,0.72,93.41,0.23,9.6,0.72,,49072.9
1997-02-01,0.83,107.52,0.26,11.1,0.83,,19606.6
1997-03-01,0.84,108.19,0.27,11.1,0.84,,14750.5
1997-04-01,0.82,105.5,0.26,10.9,0.82,,20505.3
1997-05-01,0.89,114.24,0.28,11.8,0.89,,36675.4
1997-06-01,0.86,110.88,0.27,11.4,0.86,,46377.1
1997-07-01,0.75,96.1,0.24,9.9,0.75,,7765.4
1997-08-01,0.7,90.18,0.22,8.8,0.7,,5209.3
1997-09-01,0.89,115.32,0.28,11.2,0.89,,28035.2
1997-10-01,0.86,110.88,0.27,10.8,0.86,,13557.2
1997-11-01,0.69,88.7,0.22,8.7,0.69,,11021.5
1997-12-01,0.63,81.31,0.2,7.9,0.63,,10020.7
1998-01-01,0.54,63.57,0.16,6.2,0.49,,46458.0
1998-02-01,0.44,51.74,0.13,5.0,0.4,,7779.9
1998-03-01,0.56,65.05,0.16,6.3,0.51,,36406.6
1998-04-01,0.56,65.05,0.16,6.3,0.51,,20959.9
1998-05-01,0.49,57.66,0.14,5.6,0.45,,7257.7
1998-06-01,0.41,48.05,0.12,6.3,0.37,,10142.3
1998-07-01,0.4,47.31,0.12,6.2,0.37,,7279.7
1998-08-01,0.3,34.74,0.09,4.6,0.27,,8462.0
1998-09-01,0.24,28.09,0.07,,0.22,,7477.0
1998-10-01,0.27,31.79,0.08,,0.25,,22741.5
1998-11-01,0.25,29.57,0.07,,0.23,,14474.6
1998-12-01,0.23,26.61,0.07,,0.21,,5959.8
1999-01-01,0.21,25.13,0.06,,0.21,,3772.8
1999-02-01,0.18,21.44,0.05,48.0,0.18,,8810.8
1999-03-01,0.16,19.22,0.05,43.0,0.16,,2106.0
1999-04-01,0.19,22.18,0.05,49.7,0.19,,61140.9
1999-05-01,0.2,23.65,0.06,53.0,0.2,,7028.9
1999-06-01,0.34,39.92,0.1,89.4,0.34,,21858.5
1999-07-01,0.44,51.74,0.13,115.9,0.44,,101013.1
1999-08-01,0.42,50.27,0.12,112.6,0.42,,29161.8
1999-09-01,0.45,53.96,0.13,17.3,0.45,,26867.4
1999-10-01,0.44,51.74,0.13,16.6,0.44,,6402.3
1999-11-01,0.4,48.05,0.12,15.4,0.4,,3469.7
1999-12-01,0.39,46.57,0.11,14.9,0.39,,8306.1
2000-01-01,0.37,51.0,0.13,16.3,0.43,,4410.8
2000-02-01,0.33,46.57,0.11,14.9,0.39,,4109.0
2000-03-01,0.29,40.66,0.1,13.0,0.34,,5686.5
