,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,873.22,1.18,,,,148738.1
1993-11-01,,712.1,0.96,,,,116523.4
1993-12-01,,841.57,1.14,,,,212032.6
1994-01-01,,680.45,0.92,,,,154315.8
1994-02-01,,469.36,0.71,,,,96186.4
1994-03-01,,487.49,0.74,,,,68934.0
1994-04-01,,507.64,0.77,13.3,,,431288.1
1994-05-01,,407.92,0.62,10.7,,,162306.9
1994-06-01,,350.51,0.53,9.2,,,53155.5
1994-07-01,,269.93,0.41,7.1,,,45579.4
1994-08-01,,246.77,0.37,6.4,,,62870.0
1994-09-01,,458.28,0.7,12.0,,,702146.1
1994-10-01,,397.85,0.6,10.4,,,518865.7
1994-11-01,,316.27,0.48,8.3,,,133716.5
1994-12-01,,305.19,0.46,8.0,,,54440.6
1995-01-01,,285.04,0.43,7.4,,,21482.1
1995-02-01,,257.85,0.39,6.7,,,8823.3
1995-03-01,,246.77,0.37,6.4,,,10905.5
1995-04-01,,274.97,0.42,14.4,,,69960.3
1995-05-01,,231.66,0.35,12.1,,,47376.8
1995-06-01,,282.02,0.43,14.7,,,176059.1
1995-07-01,,355.55,0.54,18.6,,,445966.9
1995-08-01,,399.87,0.61,20.9,,,487696.8
1995-09-01,,398.86,0.61,20.8,,,461980.6
1995-10-01,,453.25,0.69,45.0,,,174200.3
1995-11-01,,436.13,0.66,43.3,,,277515.1
1995-12-01,,322.31,0.49,32.0,,,153256.6
1996-01-01,,283.03,0.43,28.1,,,31511.6
1996-02-01,,321.3,0.49,31.9,,,296108.8
1996-03-01,,319.29,0.48,31.7,,,29893.4
1996-04-01,,321.3,0.49,31.9,,,72501.6
1996-05-01,,504.62,0.77,50.1,,,322354.9
1996-06-01,,368.64,0.56,45.8,,,252469.8
1996-07-01,,362.6,0.55,45.0,,,135183.7
1996-08-01,,409.94,0.62,50.9,,,272099.7
1996-09-01,,372.67,0.57,46.3,,,115278.1
1996-10-01,,361.59,0.55,44.9,,,61152.7
1996-11-01,,443.18,0.67,55.0,,,471701.5
1996-12-01,,713.11,1.08,88.5,,,411507.2
1997-01-01,,423.03,0.64,52.5,,,486760.7
1997-02-01,,444.18,0.67,55.1,,,196317.8
1997-03-01,,543.9,0.83,270.0,,,287911.2
1997-04-01,,584.19,0.89,290.0,,,382261.4
1997-05-01,,646.64,0.98,321.0,,,465239.8
1997-06-01,,581.17,0.88,288.5,,,239456.5
1997-07-01,,451.23,0.68,224.0,,,88781.6
1997-08-01,,481.95,0.73,241.7,,,112166.9
1997-09-01,,573.91,0.87,287.8,,,195582.5
1997-10-01,,500.79,0.76,,,,251344.6
1997-11-01,,486.39,0.74,,,,99391.4
1997-12-01,,576.13,0.87,,,,202030.8
1998-01-01,,540.67,0.82,,,,101275.3
1998-02-01,,590.53,0.9,,,,162044.7
1998-03-01,,673.63,1.02,,,,212205.4
1998-04-01,,798.82,1.21,,,,223615.6
1998-05-01,,863.08,1.31,,,,412134.4
1998-06-01,,943.96,1.43,426.0,,,274508.0
1998-07-01,,753.4,1.14,340.0,,,170136.4
1998-08-01,,752.29,1.14,339.5,,,66637.9
1998-09-01,,645.93,0.98,,,,96289.9
1998-10-01,,764.48,1.16,,,,163888.3
1998-11-01,,768.91,1.17,,,,119688.7
1998-12-01,,869.73,1.32,,,,136076.7
1999-01-01,,658.12,1.0,,,,95966.6
1999-02-01,5.06,643.71,0.98,,5.06,,64195.0
1999-03-01,5.14,653.68,0.99,,5.14,,19141.8
1999-04-01,6.04,767.8,1.17,,6.04,,176934.0
1999-05-01,5.99,762.26,1.16,,5.99,,217533.3
1999-06-01,7.17,911.83,1.38,,7.17,,259216.3
1999-07-01,8.8,1119.02,1.7,,8.8,,531944.2
1999-08-01,9.18,1167.77,1.77,,9.18,,152889.4
1999-09-01,9.32,1185.5,1.8,,9.32,,143323.6
1999-10-01,8.43,1071.38,1.63,,8.43,,41954.1
1999-11-01,8.02,1019.3,1.55,,8.02,,24505.8
1999-12-01,7.62,969.45,1.47,,7.62,,22428.4
2000-01-01,6.46,829.85,1.26,,6.46,,26825.5
2000-02-01,7.77,997.15,1.51,,7.77,,76617.4
2000-03-01,8.0,1027.06,1.56,,8.0,,97090.1
2000-04-01,9.47,1215.41,1.84,,9.47,,196230.2
2000-05-01,8.52,1094.64,1.66,494.0,8.52,,118241.8
2000-06-01,10.42,1338.39,2.03,604.0,10.42,,129183.3
2000-07-01,8.84,1135.64,1.72,512.5,8.84,,91996.1
2000-08-01,11.98,1537.82,2.33,694.0,11.98,,290931.9
2000-09-01,11.18,1435.89,2.18,162.0,11.18,,227917.0
2000-10-01,12.23,1571.06,2.38,177.3,12.23,,101206.4
2000-11-01,12.77,1639.75,2.49,185.0,12.77,,147523.6
2000-12-01,12.68,1628.67,2.47,183.8,12.68,,106123.3
2001-01-01,12.76,1577.71,2.39,178.0,12.76,,95098.6
2001-02-01,11.56,1429.24,2.17,161.3,11.56,,35892.1
2001-03-01,10.43,1289.64,1.96,145.5,10.43,,35457.3
2001-04-01,11.2,1384.92,2.1,156.3,11.2,,49157.9
2001-05-01,12.27,1516.77,2.3,171.1,12.27,,97990.6
2001-06-01,13.7,1694.04,2.57,191.1,13.7,,105446.2
2001-07-01,14.64,1809.26,2.75,204.1,14.64,,214802.9
2001-08-01,15.67,1936.68,2.94,218.5,15.67,,264643.9
2001-09-01,13.9,1718.41,2.61,193.9,13.9,,154585.6
2001-10-01,12.46,1540.04,2.34,173.8,12.46,,50716.4
2001-11-01,11.47,1418.16,2.15,160.0,11.47,,64227.9
