,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,,,,,,
1997-08-01,,,,,,,
1997-09-01,,,,,,,
1997-10-01,,1999.49,0.56,,,,923119.3
1997-11-01,,2395.22,0.67,,,,1942279.0
1997-12-01,,2142.68,0.6,,,,534722.5
1998-01-01,,2317.11,0.65,,,,384214.4
1998-02-01,,2494.15,0.7,,,,618076.5
1998-03-01,,2613.91,0.73,,,,533904.6
1998-04-01,,2559.24,0.71,,,,625912.5
1998-05-01,,3100.77,0.87,,,,1195331.0
1998-06-01,,3335.08,0.93,47.4,,,555155.7
1998-07-01,,3192.93,0.89,45.4,,,508965.7
1998-08-01,,3302.28,0.92,47.0,,,195228.1
1998-09-01,,2839.38,0.79,31.2,,,207864.9
1998-10-01,,2850.31,0.8,31.3,,,170951.3
1998-11-01,,2682.65,0.75,29.4,,,107184.9
1998-12-01,,2730.03,0.76,30.0,,,161767.4
1999-01-01,,2660.78,0.74,29.2,,,47829.8
1999-02-01,3.96,2627.97,0.73,28.8,3.96,,116396.8
1999-03-01,3.79,2514.98,0.7,27.6,3.79,,23722.3
1999-04-01,3.9,2591.52,0.72,28.4,3.9,,92341.3
1999-05-01,4.23,2806.57,0.78,30.8,4.23,,259020.3
1999-06-01,5.15,3418.91,0.95,44.7,5.15,,988165.3
1999-07-01,5.92,3929.2,1.1,51.3,5.92,,1801225.0
1999-08-01,5.46,3626.67,1.01,47.4,5.46,,437357.5
1999-09-01,6.14,4078.64,1.14,62.2,6.14,,569384.4
1999-10-01,6.15,4082.29,1.14,62.2,6.15,,416943.6
1999-11-01,5.74,3808.92,1.06,58.1,5.74,,104270.6
1999-12-01,5.65,3754.25,1.05,57.2,5.65,,73871.6
2000-01-01,3.42,3349.66,0.94,51.1,3.47,,77814.4
2000-02-01,4.27,4180.7,1.17,63.7,4.33,,496310.8
2000-03-01,4.46,4370.23,1.22,66.6,4.53,,610693.1
2000-04-01,5.29,5187.21,1.43,77.9,5.29,,1310629.0
2000-05-01,5.4,5288.13,1.46,79.4,5.4,,785461.6
2000-06-01,5.28,5171.06,1.42,77.7,5.28,,397847.1
2000-07-01,5.38,5271.98,1.45,79.2,5.38,,868841.3
2000-08-01,5.68,5570.7,1.53,83.7,5.68,,294592.1
2000-09-01,5.42,5308.31,1.46,79.7,5.42,,630219.9
2000-10-01,5.15,5041.89,1.39,75.7,5.15,,128427.3
2000-11-01,5.63,5514.18,1.52,82.8,5.63,,180789.6
2000-12-01,6.92,6777.68,1.87,101.8,6.92,,1707618.0
2001-01-01,7.36,7508.33,2.07,112.8,7.36,,862173.8
2001-02-01,6.64,6769.6,1.86,101.7,6.64,,481284.5
2001-03-01,6.4,6527.4,1.8,98.0,6.4,,188095.7
2001-04-01,6.49,6620.25,1.82,99.4,6.49,,241482.2
2001-05-01,6.3,6430.52,1.77,63.7,6.3,,236588.9
2001-06-01,6.39,6523.36,1.8,64.6,6.39,,186555.6
2001-07-01,6.02,6143.91,1.69,60.9,6.02,,177885.4
2001-08-01,5.15,5255.83,1.45,52.1,5.15,,125359.4
2001-09-01,4.42,4513.07,1.24,44.7,4.42,,85232.0
2001-10-01,5.12,5219.5,1.44,51.7,5.12,,305919.6
2001-11-01,5.66,5772.54,1.59,57.2,5.66,,367819.7
2001-12-01,5.66,5776.57,1.59,57.2,5.66,,202155.9
2002-01-01,4.56,4945.0,1.36,49.0,4.64,,91604.0
2002-02-01,4.17,4525.18,1.25,44.8,4.25,,236783.1
2002-03-01,4.18,4541.33,1.25,45.0,4.26,,77925.6
2002-04-01,4.52,4904.64,1.35,48.6,4.6,,230395.0
2002-05-01,4.61,5001.52,1.38,49.6,4.7,,122563.5
2002-06-01,4.0,4339.49,1.19,43.0,4.07,,64819.6
2002-07-01,4.68,5078.21,1.4,50.3,4.77,,234392.1
2002-08-01,4.31,4674.54,1.29,46.3,4.39,,84076.5
2002-09-01,4.32,4690.69,1.29,72.6,4.4,,66160.8
2002-10-01,4.19,4545.36,1.25,70.4,4.27,,40157.7
2002-11-01,3.98,4323.34,1.19,66.9,4.06,,31121.2
2002-12-01,3.53,3834.9,1.06,59.4,3.6,,62370.2
2003-01-01,3.27,3612.88,0.99,55.9,3.27,,58722.2
2003-02-01,3.61,3988.3,1.1,61.8,3.61,,131213.0
