,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,2.34,990.04,2.54,,2.34,,6207.4
1994-02-01,1.92,811.83,2.08,,1.92,,60315.0
1994-03-01,1.77,748.83,1.92,,1.77,,11200.4
1994-04-01,1.56,660.62,1.69,8.0,1.56,,69406.9
1994-05-01,1.4,592.22,1.52,7.2,1.4,,83991.4
1994-06-01,1.33,563.42,1.44,6.8,1.33,,88258.8
1994-07-01,1.04,439.22,1.13,5.3,1.04,,11964.7
1994-08-01,0.99,417.62,1.07,5.0,0.99,,20683.6
1994-09-01,1.96,826.23,2.12,10.0,1.96,,365303.3
1994-10-01,1.56,657.02,1.68,10.7,1.56,,266631.7
1994-11-01,1.29,543.62,1.39,8.9,1.29,,83181.1
1994-12-01,1.21,509.42,1.31,8.3,1.21,,26416.3
1995-01-01,1.09,460.82,1.18,7.5,1.09,,15471.8
1995-02-01,0.97,408.62,1.05,6.7,0.97,,11636.8
1995-03-01,0.95,399.61,1.02,6.5,0.95,,7506.4
1995-04-01,1.01,424.82,1.09,14.8,1.01,,22639.8
1995-05-01,0.91,385.21,0.99,13.4,0.91,,18681.5
1995-06-01,1.09,459.02,1.18,15.9,1.09,,58381.6
1995-07-01,1.09,460.82,1.18,16.0,1.09,,82070.9
1995-08-01,1.43,603.02,1.55,20.9,1.43,,202228.1
1995-09-01,1.68,711.03,1.82,24.7,1.68,,225530.9
1995-10-01,1.81,765.03,1.96,85.0,1.81,,162156.8
1995-11-01,1.87,790.23,2.03,87.8,1.87,,277967.4
1995-12-01,1.56,657.02,1.68,73.0,1.56,,46609.6
1996-01-01,1.16,491.42,1.26,54.6,1.16,,25865.7
1996-02-01,1.28,541.82,1.39,60.2,1.28,,95261.6
1996-03-01,1.27,538.22,1.38,59.8,1.27,,12428.4
1996-04-01,1.33,565.22,1.45,62.8,1.33,,62727.2
1996-05-01,1.63,691.23,1.77,76.8,1.63,,125303.8
1996-06-01,1.36,577.82,1.48,107.0,1.36,,72463.3
1996-07-01,1.42,603.02,1.55,111.7,1.42,,155311.3
1996-08-01,1.47,624.62,1.6,115.7,1.47,,91947.0
1996-09-01,1.41,599.42,1.54,111.0,1.41,,42509.7
1996-10-01,1.38,586.82,1.5,108.7,1.38,,32737.5
1996-11-01,1.92,813.63,2.09,226.0,1.92,,271683.3
1996-12-01,2.63,1116.04,2.86,310.0,2.63,,184177.8
1997-01-01,1.62,689.43,1.77,191.5,1.62,,199083.1
1997-02-01,1.66,705.63,1.81,196.0,1.66,,53667.5
1997-03-01,2.01,855.03,2.19,475.0,2.01,,108630.9
1997-04-01,2.26,961.24,2.46,534.0,2.26,,156142.9
1997-05-01,2.21,939.64,2.41,522.0,2.21,,191113.5
1997-06-01,1.9,806.43,2.07,448.0,1.9,,73103.8
1997-07-01,1.55,658.82,1.69,366.0,1.55,,26571.3
1997-08-01,1.6,680.43,1.74,,1.6,,35023.7
1997-09-01,1.9,808.23,2.07,,1.9,,72279.1
1997-10-01,1.59,676.83,1.73,,1.59,,80903.2
1997-11-01,1.57,667.83,1.71,,1.57,,28445.8
1997-12-01,1.45,613.82,1.57,,1.45,,16449.1
1998-01-01,1.51,613.82,1.57,,1.51,,14267.5
1998-02-01,1.82,738.03,1.89,,1.82,,63399.7
1998-03-01,2.1,853.23,2.19,,2.1,,133065.6
1998-04-01,2.08,842.43,2.16,,2.08,,79598.4
1998-05-01,3.09,1252.85,3.21,,3.09,,346247.9
1998-06-01,3.43,1393.25,3.57,,3.43,,177583.8
1998-07-01,2.5,1015.24,2.6,,2.5,,86992.1
1998-08-01,2.79,1134.04,2.91,,2.79,,60176.2
1998-09-01,2.86,1161.04,2.98,,2.86,,219569.6
1998-10-01,3.22,1308.65,3.35,,3.22,,136403.0
1998-11-01,2.92,1184.45,3.04,,2.92,,60491.4
1998-12-01,2.66,1080.04,2.77,,2.66,,41982.6
1999-01-01,2.49,923.43,2.37,,2.49,,24712.7
1999-02-01,2.49,927.04,2.38,,2.49,,44169.6
1999-03-01,3.1,1152.04,2.95,,3.1,,57315.1
1999-04-01,4.43,1645.26,4.22,,4.43,,419125.9
1999-05-01,3.96,1472.46,3.77,,3.96,,336955.8
1999-06-01,4.41,1639.86,4.2,,4.41,,206691.7
1999-07-01,5.43,2017.88,5.17,,5.43,,363823.1
1999-08-01,4.6,1708.26,4.38,,4.6,,109073.4
1999-09-01,5.2,1931.47,4.95,,5.2,,103792.3
1999-10-01,4.52,1681.26,4.31,,4.52,,44720.1
1999-11-01,4.18,1551.66,3.98,,4.18,,12057.2
1999-12-01,4.1,1524.66,3.91,,4.1,,30174.5
2000-01-01,3.7,1386.05,3.55,,3.7,,16425.3
2000-02-01,4.47,1672.26,4.29,,4.47,,122727.4
2000-03-01,4.46,1670.46,4.28,,4.46,,106219.8
2000-04-01,4.5,1683.06,4.31,,4.5,,148058.0
2000-05-01,4.35,1627.26,4.17,,4.35,,65066.3
2000-06-01,4.12,1540.86,3.95,,4.12,,25919.0
2000-07-01,3.92,1465.26,3.76,,3.92,,46632.2
2000-08-01,4.69,1755.07,4.5,,4.69,,71862.9
2000-09-01,5.2,1944.07,4.98,,5.2,,120178.4
2000-10-01,5.39,2016.08,5.17,,5.39,,47721.9
2000-11-01,7.38,2763.11,7.08,,7.38,,135624.9
2000-12-01,7.19,2691.1,6.9,,7.19,,84345.9
2001-01-01,8.68,3184.32,8.16,,8.69,,63104.6
2001-02-01,7.27,2664.1,6.83,,7.27,,27319.0
