,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,897.94,4.02,,,,25902.7
1997-07-01,,627.17,2.81,,,,79481.3
1997-08-01,,625.5,2.8,32.1,,,54370.0
1997-09-01,,586.58,2.63,30.1,,,29444.4
1997-10-01,,526.53,2.36,27.1,,,19507.6
1997-11-01,,556.0,2.49,28.6,,,20346.9
1997-12-01,,604.93,2.71,31.1,,,60993.3
1998-01-01,,755.05,3.38,38.8,,,68335.2
1998-02-01,,826.22,3.7,42.5,,,40499.1
1998-03-01,,832.89,3.73,42.8,,,35550.2
1998-04-01,,976.34,4.38,30.3,,,57633.1
1998-05-01,,1181.5,5.3,36.6,,,69918.6
1998-06-01,,1200.4,5.38,37.2,,,44259.6
1998-07-01,,1158.81,5.19,35.9,,,56285.4
1998-08-01,,993.41,4.45,30.8,,,17710.4
1998-09-01,,773.17,3.47,24.0,,,17717.2
1998-10-01,,897.94,4.02,27.9,,,30150.8
1998-11-01,,1011.36,4.53,31.5,,,33457.6
1998-12-01,,929.13,4.16,28.9,,,25770.2
1999-01-01,,841.23,3.77,26.2,,,5971.9
1999-02-01,2.45,841.23,3.77,34.2,2.61,,5585.7
1999-03-01,2.3,789.24,3.54,32.1,2.45,,1673.1
1999-04-01,2.38,814.76,3.65,33.2,2.53,,9267.2
1999-05-01,2.3,789.24,3.54,32.1,2.45,,8968.6
1999-06-01,2.52,864.86,3.88,35.2,2.69,,18438.9
1999-07-01,2.86,980.17,4.39,39.9,3.04,,80483.6
1999-08-01,3.26,1118.17,5.01,45.5,3.47,,47646.1
1999-09-01,3.54,1213.64,5.44,42.8,3.77,,73678.8
1999-10-01,3.1,1063.35,4.77,37.5,3.3,,22872.3
1999-11-01,3.38,1157.28,4.87,35.9,3.38,,16872.3
1999-12-01,3.47,1190.59,5.01,36.9,3.47,,22619.9
2000-01-01,3.08,1149.76,4.84,35.7,3.08,,16312.3
2000-02-01,3.15,1175.55,4.95,36.5,3.15,,27809.9
2000-03-01,3.46,1289.45,5.43,40.0,3.46,,67747.4
2000-04-01,4.55,1695.62,7.14,54.4,4.55,,192194.3
2000-05-01,3.98,1483.94,6.25,47.6,3.98,,45788.7
2000-06-01,4.07,1518.32,6.39,48.7,4.07,,28362.1
2000-07-01,4.07,1519.4,6.4,48.8,4.07,,57721.1
2000-08-01,4.5,1677.36,7.06,53.8,4.5,,47240.8
2000-09-01,5.5,2052.37,8.64,79.6,5.5,,94951.5
2000-10-01,6.36,2371.51,9.99,92.0,6.36,,39624.3
2000-11-01,6.33,2361.84,9.95,91.6,6.33,,19083.7
2000-12-01,7.37,2749.75,11.58,106.6,7.37,,37426.8
2001-01-01,6.48,2621.88,11.04,101.7,6.48,,37419.1
2001-02-01,6.75,2734.7,11.52,106.0,6.75,,18396.8
2001-03-01,6.24,2525.17,10.63,97.9,6.24,,14775.2
2001-04-01,7.48,3028.05,12.75,78.3,7.48,,30090.1
2001-05-01,8.64,3496.34,14.72,90.4,8.64,,30362.0
2001-06-01,10.25,4150.3,17.48,107.3,10.25,,60796.6
2001-07-01,11.46,4639.86,19.54,119.9,11.46,,40880.5
2001-08-01,11.02,4460.85,18.78,115.3,11.02,,20377.4
2001-09-01,10.01,4051.66,17.06,104.7,10.01,,13336.5
2001-10-01,9.23,3737.47,15.74,96.6,9.23,,10123.5
2001-11-01,5.82,2355.73,9.92,60.9,5.82,,16473.0
2001-12-01,4.73,1916.41,8.07,49.5,4.73,,142888.8
2002-01-01,3.93,1740.68,7.33,45.0,3.93,,80402.8
2002-02-01,3.3,1465.21,6.17,22.9,3.3,,62761.7
2002-03-01,3.7,1638.56,6.9,25.6,3.7,,45340.6
2002-04-01,4.35,1930.65,8.13,30.1,4.35,,126162.4
2002-05-01,4.54,2013.77,8.48,31.4,4.54,,80727.9
2002-06-01,3.93,1740.68,7.33,27.1,3.93,,26350.2
2002-07-01,4.85,2151.5,9.06,33.6,4.85,,110088.5
2002-08-01,4.49,1990.02,8.38,31.0,4.49,,42301.6
2002-09-01,4.36,1935.4,8.15,30.2,4.36,,16087.1
2002-10-01,3.97,1759.67,7.41,61.8,3.97,,11041.2
2002-11-01,3.96,1757.3,7.4,61.7,3.96,,14530.0
2002-12-01,3.35,1486.58,6.26,52.2,3.35,,22042.9
2003-01-01,3.02,1420.09,5.98,49.8,3.02,,18996.0
