,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,933.21,4.14,,,,3177936.0
1992-11-01,,493.55,2.19,,,,2396636.0
1992-12-01,,737.49,3.27,,,,2258392.0
1993-01-01,,785.66,3.48,,,,135194.1
1993-02-01,,1253.64,5.56,,,,36864.5
1993-03-01,,1050.0,4.65,,,,39288.5
1993-04-01,,855.43,3.79,,,,19133.0
1993-05-01,,1242.3,5.51,,,,26656.1
1993-06-01,,723.25,3.98,54.7,,,9787.5
1993-07-01,,809.08,4.45,61.2,,,10557.9
1993-08-01,,700.03,3.85,52.9,,,5943.2
1993-09-01,,745.76,4.1,56.4,,,12074.3
1993-10-01,,787.27,4.33,43.0,,,4051.2
1993-11-01,,752.8,4.14,41.2,,,7593.4
1993-12-01,,918.13,5.05,50.2,,,20817.5
1994-01-01,,722.55,3.98,39.5,,,17466.9
1994-02-01,,671.19,3.69,36.7,,,7486.7
1994-03-01,,647.97,3.57,35.4,,,2701.3
1994-04-01,,637.42,3.51,25.2,,,34779.9
1994-05-01,,601.53,3.31,23.8,,,29212.3
1994-06-01,,576.63,3.17,22.8,,,14158.3
1994-07-01,,447.46,2.46,17.7,,,3508.8
1994-08-01,,420.44,2.31,16.6,,,11433.7
1994-09-01,,759.83,4.18,30.0,,,80550.5
1994-10-01,,873.81,4.81,29.6,,,76336.3
1994-11-01,,771.65,4.25,26.1,,,49785.8
1994-12-01,,808.8,4.45,27.4,,,18900.4
1995-01-01,,742.95,4.09,25.1,,,8846.0
1995-02-01,,620.53,3.42,21.0,,,2227.6
1995-03-01,,580.01,3.19,19.6,,,4249.4
1995-04-01,,731.13,4.02,24.7,,,18597.6
1995-05-01,,748.86,4.12,25.3,,,8651.0
1995-06-01,,844.26,4.65,28.6,,,24166.8
1995-07-01,,664.43,3.66,22.5,,,9399.7
1995-08-01,,722.69,3.98,24.5,,,9247.4
1995-09-01,,699.05,3.85,23.7,,,8182.4
1995-10-01,,689.76,3.8,22.7,,,3568.7
1995-11-01,,672.03,3.7,22.1,,,4196.3
1995-12-01,,645.86,3.55,21.3,,,2297.0
1996-01-01,,565.65,3.11,18.6,,,1058.9
1996-02-01,,526.82,2.9,17.3,,,3157.7
1996-03-01,,555.52,3.06,18.3,,,2938.0
1996-04-01,,561.43,3.09,18.5,,,4498.0
1996-05-01,,677.1,3.73,22.3,,,14747.4
1996-06-01,,606.18,3.34,21.1,,,7433.9
1996-07-01,,614.62,3.38,21.4,,,8607.1
1996-08-01,,668.65,3.68,23.3,,,13306.9
1996-09-01,,658.52,3.62,22.9,,,23934.5
1996-10-01,,700.74,3.86,24.4,,,9152.8
1996-11-01,,737.88,4.06,25.7,,,36093.5
1996-12-01,,949.79,5.23,33.1,,,19149.9
1997-01-01,,850.52,4.46,28.2,,,38323.0
1997-02-01,,889.32,4.66,29.5,,,8730.3
1997-03-01,,1082.28,5.68,33.5,,,15199.8
1997-04-01,,1525.33,8.0,47.2,,,68094.6
1997-05-01,,1561.98,8.19,48.3,,,42978.3
1997-06-01,,1439.09,7.55,44.5,,,26866.4
1997-07-01,,1196.54,6.28,37.0,,,10125.0
1997-08-01,,1041.32,5.46,,,,6266.1
1997-09-01,,1028.38,5.39,,,,7431.5
1997-10-01,,959.82,5.03,,,,15008.8
1997-11-01,,1073.65,5.63,,,,8384.2
1997-12-01,,1014.15,5.32,,,,6971.3
1998-01-01,,1174.55,6.16,,,,14443.4
1998-02-01,,1276.74,6.7,,,,20771.1
1998-03-01,,1213.36,6.36,,,,7458.6
1998-04-01,,1314.26,6.89,,,,10819.2
1998-05-01,,1422.92,7.46,37.9,,,31219.8
1998-06-01,,2406.02,12.62,64.1,,,59205.5
1998-07-01,,2360.75,12.38,62.9,,,16363.9
1998-08-01,,2157.66,11.32,57.5,,,21295.8
1998-09-01,,2121.44,11.13,34.9,,,9921.2
1998-10-01,,2199.05,11.54,36.2,,,9623.8
1998-11-01,,2199.05,11.54,36.2,,,6419.2
1998-12-01,,2256.22,12.0,37.6,,,11721.6
1999-01-01,3.28,2032.11,10.81,33.9,3.28,,3686.9
1999-02-01,3.25,2012.55,10.7,35.2,3.25,,2565.9
1999-03-01,3.31,2050.16,10.9,35.9,3.31,,579.1
1999-04-01,3.31,2054.67,10.93,35.9,3.31,,4646.4
1999-05-01,2.95,1832.05,9.74,32.1,2.95,,3211.3
1999-06-01,3.13,1943.36,10.34,34.0,3.13,,7136.0
1999-07-01,3.06,1895.23,10.08,33.2,3.06,,26546.2
1999-08-01,3.42,2120.85,11.28,37.1,3.42,,16984.8
1999-09-01,2.96,1833.56,9.75,61.0,2.96,,16174.2
1999-10-01,2.91,1804.98,9.6,60.0,2.91,,5577.5
1999-11-01,3.09,1914.78,10.18,63.7,3.09,,6331.9
1999-12-01,3.3,2047.15,10.89,68.1,3.3,,25439.2
2000-01-01,3.03,1865.15,9.92,62.0,3.03,,9485.5
2000-02-01,3.05,1875.67,9.98,62.4,3.05,,13572.9
2000-03-01,3.94,2418.67,12.86,80.4,3.94,,31715.5
2000-04-01,3.86,2372.04,12.62,37.5,3.86,,45738.9
2000-05-01,4.06,2496.89,13.28,39.5,4.06,,14207.6
2000-06-01,4.29,2633.77,14.01,41.7,4.29,,17047.4
2000-07-01,4.1,2519.45,13.4,39.9,4.1,,10372.5
2000-08-01,4.2,2581.12,13.73,40.9,4.2,,7008.6
2000-09-01,4.13,2539.0,13.5,40.2,4.13,,9410.2
2000-10-01,4.16,2555.55,13.59,40.5,4.16,,3075.9
2000-11-01,4.28,2632.26,14.0,41.7,4.28,,3079.7
2000-12-01,4.61,2835.32,15.08,44.9,4.61,,28750.5
2001-01-01,5.34,2874.43,15.29,45.5,5.34,,16667.5
2001-02-01,4.85,2609.7,13.88,41.3,4.85,,6587.5
2001-03-01,4.51,2429.2,12.92,38.5,4.51,,4439.2
2001-04-01,5.02,2701.45,14.37,1796.0,5.02,,10314.4
