,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,1.25,33.4,0.21,,1.25,,22963.7
1995-02-01,1.18,31.4,0.2,,1.18,,7651.5
1995-03-01,1.32,35.2,0.23,,1.32,,29225.0
1995-04-01,1.36,36.4,0.23,12.3,1.36,,19464.3
1995-05-01,1.31,35.0,0.22,11.8,1.31,,13530.3
1995-06-01,1.54,41.2,0.26,13.9,1.54,,29883.2
1995-07-01,1.5,40.0,0.26,13.5,1.5,,18034.1
1995-08-01,1.71,45.8,0.29,15.5,1.71,,13232.4
1995-09-01,1.93,51.6,0.33,17.4,1.93,,24376.2
1995-10-01,1.81,48.4,0.31,16.4,1.81,,11405.3
1995-11-01,1.8,48.2,0.31,16.3,1.8,,4726.5
1995-12-01,1.9,50.8,0.33,17.2,1.9,,17809.6
1996-01-01,1.78,52.8,0.34,17.8,1.78,,6388.8
1996-02-01,1.99,59.0,0.38,19.9,1.99,,3874.3
1996-03-01,2.05,60.8,0.39,20.5,2.05,,1924.4
1996-04-01,1.96,58.0,0.37,19.6,1.96,,15000.2
1996-05-01,1.99,59.0,0.38,19.9,1.99,,11823.2
1996-06-01,1.86,55.0,0.35,18.6,1.86,,11768.6
1996-07-01,1.69,50.2,0.32,17.0,1.69,,10094.5
1996-08-01,1.71,50.8,0.33,17.2,1.71,,7538.2
1996-09-01,1.64,48.6,0.31,16.4,1.64,,6304.1
1996-10-01,1.62,48.0,0.31,16.2,1.62,,3135.8
1996-11-01,1.61,47.6,0.31,16.5,1.61,,8997.9
1996-12-01,1.53,45.2,0.29,15.6,1.53,,10514.4
1997-01-01,1.35,44.8,0.29,15.5,1.35,,11627.0
1997-02-01,1.29,42.8,0.27,14.8,1.29,,12009.3
1997-03-01,1.21,40.2,0.26,13.5,1.21,,5125.5
1997-04-01,1.48,49.2,0.32,16.6,1.48,,16304.7
1997-05-01,1.77,58.6,0.38,19.7,1.77,,22609.4
1997-06-01,1.8,59.6,0.38,20.1,1.8,,16412.9
1997-07-01,1.65,54.6,0.35,18.4,1.65,,11568.9
1997-08-01,1.56,51.6,0.33,17.4,1.56,,8509.0
1997-09-01,1.62,53.76,0.34,14.3,1.62,,11168.5
1997-10-01,1.4,46.56,0.3,12.4,1.4,,8659.1
1997-11-01,1.0,33.12,0.21,8.8,1.0,,5043.5
1997-12-01,0.93,30.96,0.2,8.3,0.93,,21980.5
1998-01-01,0.91,32.4,0.21,8.6,0.91,,8743.8
1998-02-01,0.74,26.4,0.17,7.0,0.74,,4895.7
1998-03-01,0.92,32.64,0.21,9.8,0.92,,17964.0
1998-04-01,0.85,30.24,0.19,9.1,0.85,,17117.6
1998-05-01,0.85,30.24,0.19,9.1,0.85,,7045.2
1998-06-01,0.8,28.32,0.18,8.5,0.8,,11046.1
1998-07-01,0.69,24.48,0.16,7.4,0.69,,7540.9
1998-08-01,0.56,19.97,0.13,6.0,0.56,,3513.3
1998-09-01,0.57,20.28,0.13,3.7,0.57,,18536.8
1998-10-01,0.65,23.09,0.15,4.2,0.65,,10821.0
1998-11-01,0.69,24.65,0.16,4.5,0.69,,11967.3
1998-12-01,0.61,21.53,0.14,3.9,0.61,,5641.3
1999-01-01,0.5,19.97,0.13,3.6,0.5,,5088.9
1999-02-01,0.46,18.41,0.12,3.3,0.46,,4179.3
1999-03-01,0.45,17.78,0.11,5.0,0.45,,620.3
1999-04-01,0.5,19.66,0.13,5.5,0.5,,9015.0
1999-05-01,0.5,19.66,0.13,5.5,0.5,,5356.5
1999-06-01,0.78,30.89,0.2,8.7,0.78,,15729.8
1999-07-01,0.96,38.06,0.24,10.7,0.96,,31784.3
1999-08-01,0.73,29.02,0.19,8.1,0.73,,15353.7
1999-09-01,0.73,29.02,0.19,12.2,0.73,,36221.5
1999-10-01,0.66,26.21,0.17,11.0,0.66,,12945.1
1999-11-01,0.65,25.9,0.17,10.9,0.65,,4677.9
1999-12-01,0.62,24.65,0.16,10.3,0.62,,4668.9
2000-01-01,0.53,23.09,0.15,9.7,0.53,,3348.1
2000-02-01,0.66,28.7,0.18,12.0,0.66,,20123.8
2000-03-01,0.71,30.89,0.2,7.7,0.71,,43339.6
2000-04-01,0.76,33.07,0.21,8.2,0.76,,17826.7
2000-05-01,0.8,34.94,0.22,8.7,0.8,,13507.1
2000-06-01,1.01,44.3,0.28,11.0,1.01,,24134.5
2000-07-01,1.01,44.3,0.28,11.0,1.01,,40845.8
2000-08-01,1.09,47.74,0.31,11.9,1.09,,18951.8
2000-09-01,1.11,48.36,0.31,11.4,1.11,,66005.6
2000-10-01,1.06,46.49,0.3,11.0,1.06,,20580.9
2000-11-01,1.17,51.17,0.33,12.1,1.17,,15836.5
2000-12-01,1.31,57.1,0.37,13.5,1.31,,37856.0
2001-01-01,1.2,66.77,0.43,15.7,1.2,,36670.1
2001-02-01,1.11,61.78,0.4,14.6,1.11,,17535.5
2001-03-01,1.32,73.32,0.47,18.6,1.32,,6652.4
2001-04-01,2.09,116.06,0.74,29.4,2.09,,194327.5
2001-05-01,2.39,132.44,0.85,33.6,2.39,,155682.0
2001-06-01,3.2,177.68,1.14,45.0,3.2,,116439.3
