,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,4669.8,11.96,,,,53783.0
1993-08-01,,3119.42,7.99,,,,16512.7
1993-09-01,,3577.06,9.16,,,,28351.3
1993-10-01,,3496.74,8.95,,,,6695.6
1993-11-01,,2904.61,7.44,,,,7127.6
1993-12-01,,3429.5,8.78,,,,14235.5
1994-01-01,,2857.92,7.32,,,,16505.0
1994-02-01,,2904.61,7.44,,,,16866.3
1994-03-01,,2964.39,7.59,,,,2954.2
1994-04-01,,2717.82,6.96,80.8,,,9111.8
1994-05-01,,2243.37,5.74,66.7,,,7584.0
1994-06-01,,1647.51,4.22,49.0,,,5052.1
1994-07-01,,1347.15,3.45,40.1,,,5773.3
1994-08-01,,1304.56,3.34,38.8,,,6321.8
1994-09-01,,3077.59,7.88,91.5,,,88681.6
1994-10-01,,3788.15,9.7,84.5,,,107210.4
1994-11-01,,3395.88,8.69,75.8,,,64638.6
1994-12-01,,3519.17,9.01,78.5,,,25827.7
1995-01-01,3.4,3384.68,8.67,75.5,3.74,,13373.4
1995-02-01,2.88,2869.13,7.35,64.0,3.17,,2969.6
1995-03-01,2.81,2792.92,7.15,62.3,3.09,,4476.1
1995-04-01,3.15,3138.11,8.03,70.0,3.47,,15038.9
1995-05-01,2.75,2732.4,7.0,61.0,3.02,,9923.3
1995-06-01,3.83,3815.04,9.77,85.1,4.22,,47203.1
1995-07-01,3.18,3162.77,8.1,70.6,3.5,,5879.2
1995-08-01,3.45,3429.51,8.78,76.5,3.79,,9487.2
1995-09-01,3.15,3138.11,8.03,70.0,3.47,,13428.3
1995-10-01,2.99,2976.72,7.62,69.9,3.29,,4445.2
1995-11-01,2.96,2940.86,7.53,69.1,3.25,,4064.4
1995-12-01,2.84,2828.78,7.24,66.4,3.13,,1431.2
1996-01-01,2.51,2588.94,6.63,60.8,2.51,,1065.3
1996-02-01,2.19,2263.92,5.8,53.2,2.19,,1257.2
1996-03-01,2.26,2337.89,5.99,54.9,2.26,,410.6
1996-04-01,2.33,2409.62,6.17,56.6,2.33,,1684.9
1996-05-01,2.84,2934.13,7.51,68.9,2.84,,6580.6
1996-06-01,2.41,2492.56,6.38,65.4,2.41,,3540.8
1996-07-01,2.71,2798.52,7.17,73.7,2.71,,13158.7
1996-08-01,2.65,2734.42,7.0,72.0,2.65,,12212.9
1996-09-01,2.34,2416.35,6.19,63.6,2.34,,5304.6
1996-10-01,2.29,2362.1,6.05,62.2,2.29,,3237.2
1996-11-01,2.33,2411.41,6.17,69.9,2.33,,13353.8
1996-12-01,2.67,2761.54,7.07,80.0,2.67,,8388.2
1997-01-01,2.0,2125.4,5.44,61.6,2.0,,25986.3
1997-02-01,2.02,2147.59,5.5,62.2,2.02,,3178.5
1997-03-01,2.22,2364.57,6.05,63.9,2.22,,11241.8
1997-04-01,2.6,2761.54,7.07,74.7,2.6,,26416.7
1997-05-01,2.7,2872.49,7.35,77.7,2.7,,31304.2
1997-06-01,2.43,2581.54,6.61,69.8,2.43,,31589.4
1997-07-01,2.08,2214.16,5.67,59.9,2.08,,6723.9
1997-08-01,2.14,2278.27,5.83,48.1,2.14,,8316.3
1997-09-01,2.33,2473.55,6.33,52.3,2.33,,6733.5
1997-10-01,1.97,2094.82,5.36,44.3,1.97,,6535.5
1997-11-01,1.98,2103.7,5.39,44.4,1.98,,3872.1
1997-12-01,1.95,2071.15,5.3,43.8,1.95,,4210.5
1998-01-01,1.96,2094.82,5.36,44.3,1.96,,3010.2
1998-02-01,2.21,2361.11,6.05,49.9,2.21,,7395.9
1998-03-01,2.3,2452.84,6.28,51.8,2.3,,8221.1
1998-04-01,2.25,2408.45,6.17,50.9,2.25,,5651.4
1998-05-01,2.27,2423.25,6.2,51.2,2.27,,23133.3
1998-06-01,2.47,2633.32,6.74,89.0,2.47,,14786.3
1998-07-01,2.25,2408.45,6.17,81.4,2.25,,14701.8
1998-08-01,2.38,2538.64,6.5,85.8,2.38,,5013.0
1998-09-01,2.06,2201.34,5.64,74.4,2.06,,9277.3
1998-10-01,2.38,2544.56,6.52,286.7,2.38,,12664.8
1998-11-01,2.26,2417.33,6.19,272.3,2.26,,16768.2
1998-12-01,2.24,2396.62,6.14,270.0,2.24,,8682.9
1999-01-01,2.34,2177.67,5.58,245.3,2.34,,3639.1
1999-02-01,2.3,2139.2,5.48,241.0,2.3,,3511.4
1999-03-01,2.23,2071.15,5.3,233.3,2.23,,781.6
1999-04-01,2.48,2307.85,5.91,260.0,2.48,,7367.3
1999-05-01,2.32,2159.92,5.53,243.3,2.32,,6247.4
1999-06-01,2.57,2390.7,6.12,269.3,2.57,,6961.1
1999-07-01,2.71,2517.93,6.45,283.7,2.71,,42612.9
1999-08-01,3.6,3348.17,8.57,314.3,3.6,,34886.6
1999-09-01,3.55,3305.56,8.46,931.0,3.55,,30602.6
1999-10-01,3.52,3277.16,8.39,923.0,3.52,,16730.8
1999-11-01,3.4,3159.99,8.09,890.0,3.4,,4577.1
1999-12-01,3.39,3149.33,8.06,887.0,3.39,,5409.9
2000-01-01,3.13,2822.68,7.23,795.0,3.13,,2893.3
2000-02-01,3.24,2925.65,7.49,824.0,3.24,,8577.6
2000-03-01,3.7,3337.52,8.55,940.0,3.7,,23511.8
2000-04-01,4.32,3905.6,10.0,1100.0,4.32,,56353.1
2000-05-01,4.46,4029.87,10.32,1135.0,4.46,,33094.3
2000-06-01,4.54,4097.33,10.49,,4.54,,18283.6
2000-07-01,4.34,3923.35,10.05,,4.34,,15194.1
2000-08-01,4.49,4054.73,10.38,,4.49,,9154.3
2000-09-01,4.96,4480.79,11.47,,4.96,,56936.6
