,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,,,,,,
1997-08-01,,,,,,,
1997-09-01,,,,,,,
1997-10-01,,,,,,,
1997-11-01,,,,,,,
1997-12-01,,,,,,,
1998-01-01,,,,,,,
1998-02-01,,,,,,,
1998-03-01,,,,,,,
1998-04-01,,,,,,,
1998-05-01,,,,,,,
1998-06-01,,,,,,,
1998-07-01,,,,,,,
1998-08-01,,,,,,,
1998-09-01,,,,,,,
1998-10-01,,,,,,,
1998-11-01,,,,,,,
1998-12-01,,4752.56,2.72,,,,152640.8
1999-01-01,,4426.99,2.53,,,,165661.6
1999-02-01,3.58,3797.68,2.17,,3.58,,162371.6
1999-03-01,3.39,3591.22,2.05,,3.39,,38610.0
1999-04-01,3.36,3565.42,2.04,,3.36,,94197.9
1999-05-01,3.11,3293.45,1.88,,3.11,,70086.0
1999-06-01,3.22,3416.92,1.95,14.9,3.22,,145542.8
1999-07-01,3.54,3755.01,2.15,16.3,3.54,,453376.5
1999-08-01,4.99,5290.55,3.02,26.6,4.99,,526811.8
1999-09-01,4.55,4826.02,2.76,24.3,4.55,,132614.8
1999-10-01,4.38,4642.78,2.65,23.4,4.38,,55823.8
1999-11-01,4.34,4601.49,2.63,23.2,4.34,,39416.2
1999-12-01,4.5,4774.4,2.73,24.0,4.5,,74007.7
2000-01-01,2.9,4758.91,2.72,23.9,3.0,,35293.0
2000-02-01,3.08,5053.12,2.89,25.4,3.18,,140240.8
2000-03-01,3.04,4993.77,2.85,25.8,3.15,,212298.6
2000-04-01,3.03,4980.86,2.85,25.7,3.14,,119999.1
2000-05-01,3.34,5491.85,3.14,28.4,3.46,,175092.7
2000-06-01,3.42,5615.73,3.21,29.0,3.54,,178996.8
2000-07-01,3.47,5698.0,3.15,28.4,3.47,,112765.5
2000-08-01,3.73,6132.59,3.39,30.6,3.73,,124805.3
2000-09-01,4.48,7365.36,4.07,36.8,4.48,,432782.9
2000-10-01,4.56,7493.17,4.14,37.4,4.56,,153049.2
2000-11-01,4.23,6942.12,3.83,34.7,4.23,,70377.7
2000-12-01,4.46,7322.74,4.04,36.6,4.46,,148357.2
2001-01-01,4.46,8345.31,4.61,41.7,4.46,,324297.5
2001-02-01,4.36,8152.16,4.5,40.7,4.36,,108139.2
2001-03-01,4.07,7612.47,4.2,38.0,4.07,,62927.4
2001-04-01,4.27,7981.73,4.41,26.5,4.27,,104104.6
2001-05-01,4.06,7601.11,4.2,25.2,4.06,,66631.9
2001-06-01,4.19,7839.71,4.33,26.0,4.19,,101151.9
2001-07-01,4.11,7686.32,4.24,25.5,4.11,,50204.7
2001-08-01,3.81,7135.27,3.94,23.7,3.81,,64420.9
2001-09-01,3.68,6890.99,3.81,22.9,3.68,,107496.2
2001-10-01,3.73,6987.56,3.86,23.2,3.73,,25929.2
2001-11-01,3.31,6186.55,3.42,20.5,3.31,,88232.9
2001-12-01,3.47,6487.64,3.58,21.5,3.47,,84023.0
2002-01-01,2.94,6328.57,3.49,21.0,2.94,,62587.2
2002-02-01,2.77,5953.63,3.29,19.8,2.77,,62324.3
2002-03-01,2.79,5993.4,3.31,19.9,2.79,,28977.4
2002-04-01,2.88,6203.59,3.43,20.6,2.88,,122712.2
2002-05-01,2.94,6317.21,3.49,21.0,2.94,,46571.8
2002-06-01,2.58,5555.96,3.07,18.5,2.58,,32000.6
2002-07-01,2.98,6413.79,3.54,21.3,2.98,,103060.7
2002-08-01,2.79,6010.44,3.32,20.0,2.79,,40781.3
2002-09-01,2.92,6288.81,3.47,20.9,2.92,,92418.5
2002-10-01,2.85,6124.06,3.38,17.1,2.85,,29306.8
2002-11-01,2.8,6021.8,3.33,16.8,2.8,,38362.0
2002-12-01,2.63,5663.9,3.13,15.8,2.63,,49800.2
2003-01-01,2.08,5288.96,2.92,14.8,2.08,,28974.9
2003-02-01,2.17,5538.92,3.06,15.5,2.17,,49881.9
2003-03-01,2.2,5601.41,3.09,15.7,2.2,,62697.6
2003-04-01,2.34,5964.99,3.29,16.7,2.34,,98204.3
2003-05-01,2.32,5896.82,3.26,16.5,2.32,,266372.4
2003-06-01,2.43,6186.55,3.42,17.3,2.43,,105756.2
2003-07-01,2.25,5743.43,3.17,14.4,2.25,,55949.5
2003-08-01,2.31,5874.1,3.24,14.8,2.31,,64897.3
