,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,,,,,,
1997-06-01,,,,,,,
1997-07-01,,,,,,,
1997-08-01,,1488.2,2.96,,,,369361.2
1997-09-01,,1437.8,2.86,,,,288184.8
1997-10-01,,1197.0,2.38,,,,129470.1
1997-11-01,,1544.2,3.07,,,,199685.7
1997-12-01,,1307.6,2.6,,,,134135.2
1998-01-01,,1425.2,2.83,,,,69470.3
1998-02-01,,1453.2,2.89,,,,80750.1
1998-03-01,,1507.8,3.0,,,,90598.3
1998-04-01,,1440.6,2.86,,,,90255.8
1998-05-01,,1636.6,3.25,34.4,,,182969.2
1998-06-01,,1761.2,3.5,37.0,,,142621.4
1998-07-01,,1822.8,3.62,38.3,,,114409.3
1998-08-01,,1638.0,3.26,34.4,,,69761.2
1998-09-01,,1275.4,2.54,25.3,,,53573.9
1998-10-01,,1416.8,2.82,28.1,,,47748.1
1998-11-01,,1568.0,3.12,31.1,,,67826.8
1998-12-01,,1538.6,3.06,30.5,,,58011.2
1999-01-01,,1461.6,2.91,29.0,,,19768.2
1999-02-01,2.14,1425.2,2.83,28.3,2.53,,28119.1
1999-03-01,2.11,1407.0,2.8,27.9,2.5,,5297.4
1999-04-01,2.21,1470.0,2.92,29.2,2.61,,28380.2
1999-05-01,2.04,1358.0,2.7,26.9,2.41,,34554.6
1999-06-01,2.06,1372.0,2.73,27.2,2.43,,49071.6
1999-07-01,2.25,1500.8,2.98,29.8,2.66,,191242.2
1999-08-01,2.2,1463.0,2.91,29.0,2.59,,89847.0
1999-09-01,2.06,1369.2,2.72,28.8,2.43,,44189.6
1999-10-01,2.22,1479.8,2.94,31.1,2.62,,56708.0
1999-11-01,2.07,1380.4,2.74,29.0,2.45,,17433.6
1999-12-01,2.15,1431.4,2.41,25.5,2.15,,39427.0
2000-01-01,2.05,1329.4,2.24,23.6,2.05,,30948.3
2000-02-01,1.93,1247.8,2.1,22.2,1.93,,65129.4
2000-03-01,2.12,1375.3,2.31,24.5,2.12,,147972.9
2000-04-01,2.36,1528.3,2.57,27.2,2.36,,298033.0
2000-05-01,2.39,1548.7,2.61,27.6,2.39,,91056.6
2000-06-01,2.34,1516.4,2.55,27.0,2.34,,53465.2
2000-07-01,2.39,1545.3,2.6,27.5,2.39,,76383.7
2000-08-01,2.7,1750.32,2.95,31.1,2.7,,162271.6
2000-09-01,2.77,1796.73,3.02,32.0,2.77,,182232.0
2000-10-01,2.63,1701.7,2.86,30.3,2.63,,36494.1
2000-11-01,2.91,1882.92,3.17,33.5,2.91,,39374.9
2000-12-01,3.13,2026.57,3.41,36.1,3.13,,290560.2
2001-01-01,3.14,2068.56,3.48,36.8,3.14,,53421.6
2001-02-01,3.07,2017.73,3.4,35.9,3.07,,40922.7
2001-03-01,2.94,1931.54,3.25,34.4,2.94,,35138.1
2001-04-01,3.33,2192.32,3.69,39.0,3.33,,106944.3
2001-05-01,3.19,2099.5,3.53,135.7,3.19,,61129.1
2001-06-01,3.39,2232.1,3.76,144.3,3.39,,68789.3
2001-07-01,3.36,2210.0,3.72,142.9,3.36,,78631.4
2001-08-01,2.92,1918.28,3.23,124.0,2.92,,31862.0
2001-09-01,2.64,1737.06,2.92,112.3,2.64,,15716.7
2001-10-01,2.55,1675.18,2.82,108.3,2.55,,12923.2
2001-11-01,2.5,1646.45,2.77,106.4,2.5,,18569.9
2001-12-01,2.74,1805.57,3.04,116.7,2.74,,32527.1
2002-01-01,2.63,1626.56,2.74,105.1,2.63,,17847.8
2002-02-01,2.16,1337.05,2.25,86.4,2.16,,30821.1
2002-03-01,2.23,1379.04,2.32,89.1,2.23,,10171.4
2002-04-01,2.47,1527.11,2.57,98.7,2.47,,53681.7
2002-05-01,2.69,1664.13,2.8,107.6,2.69,,28611.7
2002-06-01,2.58,1593.41,2.68,103.0,2.58,,35072.9
2002-07-01,2.84,1752.53,2.95,113.3,2.84,,106948.3
2002-08-01,2.83,1748.11,2.94,113.0,2.83,,50172.2
2002-09-01,2.75,1701.7,2.86,154.0,2.75,,26660.5
2002-10-01,2.57,1586.78,2.67,143.6,2.57,,9867.6
2002-11-01,2.37,1463.02,2.46,132.4,2.37,,9981.7
2002-12-01,2.12,1310.53,2.21,118.6,2.12,,26700.6
2003-01-01,1.95,1239.81,2.09,112.2,1.95,,20248.5
2003-02-01,2.19,1392.3,2.34,126.0,2.19,,22300.2
