,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,2303.0,0.91,34.3,,,1444820.0
1997-01-01,,1713.6,0.67,25.5,,,1096726.0
1997-02-01,,1720.6,0.68,25.6,,,650714.8
1997-03-01,,1909.6,0.75,40.1,,,453014.6
1997-04-01,,2100.0,0.83,44.1,,,826700.6
1997-05-01,,2177.0,0.86,45.7,,,676272.9
1997-06-01,,2084.6,0.82,43.8,,,507738.8
1997-07-01,,2185.4,0.86,45.9,,,198517.3
1997-08-01,,2618.0,1.03,40.7,,,338221.9
1997-09-01,,2534.0,1.0,39.3,,,103522.1
1997-10-01,,2517.2,0.99,39.1,,,161937.2
1997-11-01,,2763.6,1.09,42.9,,,468349.5
1997-12-01,,2304.4,0.91,35.8,,,141954.1
1998-01-01,,2410.8,0.95,37.4,,,94630.9
1998-02-01,,2380.0,0.94,37.0,,,88353.1
1998-03-01,,2868.32,0.9,35.6,,,190597.8
1998-04-01,,2821.0,0.89,35.0,,,99615.1
1998-05-01,,3450.72,1.09,37.9,,,506279.4
1998-06-01,,3163.16,1.0,34.8,,,406592.7
1998-07-01,,2857.4,0.9,31.4,,,305419.4
1998-08-01,,2609.88,0.82,28.7,,,92510.6
1998-09-01,,2344.16,0.74,28.0,,,124711.6
1998-10-01,,2588.04,0.81,30.9,,,149156.1
1998-11-01,,2457.0,0.77,29.3,,,86495.5
1998-12-01,,2457.0,0.77,29.3,,,150898.9
1999-01-01,,2300.48,0.72,27.5,,,40578.9
1999-02-01,2.13,2256.8,0.71,27.0,2.13,,42369.0
1999-03-01,2.08,2213.12,0.7,26.4,2.08,,17396.0
1999-04-01,2.24,2373.28,0.75,28.3,2.24,,102018.9
1999-05-01,2.37,2511.6,0.79,23.0,2.37,,207269.4
1999-06-01,2.72,2882.88,0.91,26.4,2.72,,350172.7
1999-07-01,2.69,2853.76,0.9,26.1,2.69,,756525.7
1999-08-01,2.9,3075.8,0.97,28.2,2.9,,460328.2
1999-09-01,2.89,3068.52,0.97,28.1,2.89,,309865.8
1999-10-01,2.78,2948.4,0.93,24.5,2.78,,103887.0
1999-11-01,2.59,2744.56,0.86,22.8,2.59,,68300.9
1999-12-01,2.67,2835.56,0.89,23.6,2.67,,123250.8
2000-01-01,1.38,2642.64,0.83,22.0,1.52,,110906.9
2000-02-01,1.48,2839.2,0.89,23.6,1.63,,228627.2
2000-03-01,1.52,2919.28,0.92,24.3,1.67,,329617.0
2000-04-01,1.71,3268.72,1.03,27.2,1.87,,543478.8
2000-05-01,1.73,3319.68,1.04,27.6,1.9,,804126.9
2000-06-01,1.72,3294.2,1.04,27.4,1.89,,227428.8
2000-07-01,2.04,3902.08,1.23,32.5,2.24,,681464.3
2000-08-01,2.07,3960.32,1.25,33.0,2.27,,671173.4
2000-09-01,1.92,3676.4,1.16,30.6,2.11,,335933.3
2000-10-01,1.77,3388.84,1.07,28.2,1.94,,110276.4
2000-11-01,1.94,3705.52,1.17,30.8,2.13,,256427.1
2000-12-01,2.07,3956.68,1.24,32.9,2.27,,338153.6
2001-01-01,2.32,4422.78,1.27,33.5,2.32,,340332.4
2001-02-01,2.33,4441.4,1.27,33.7,2.33,,190434.0
2001-03-01,2.38,4543.82,1.3,34.4,2.38,,284985.2
2001-04-01,2.52,4804.54,1.38,27.2,2.52,,373685.3
2001-05-01,2.36,4501.92,1.29,25.4,2.36,,281848.8
2001-06-01,2.31,4408.81,1.26,24.9,2.31,,133136.4
2001-07-01,2.32,4436.75,1.27,25.1,2.32,,274965.2
2001-08-01,2.02,3859.46,1.11,21.8,2.02,,95045.5
2001-09-01,1.8,3426.49,0.98,19.4,1.8,,55487.9
2001-10-01,1.89,3608.06,1.03,20.4,1.89,,86581.6
2001-11-01,1.77,3375.28,0.97,19.1,1.77,,64652.3
2001-12-01,1.87,3566.16,1.02,20.2,1.87,,91887.8
2002-01-01,1.66,3333.38,0.95,18.8,1.66,,61274.1
2002-02-01,1.47,2937.66,0.84,16.6,1.47,,83316.8
2002-03-01,1.5,3007.49,0.86,17.0,1.5,,47953.9
2002-04-01,1.72,3449.77,0.99,19.5,1.72,,216263.4
2002-05-01,1.68,3361.31,0.96,19.0,1.68,,143063.9
2002-06-01,1.46,2933.0,0.84,16.6,1.46,,52232.3
2002-07-01,1.72,3445.11,0.99,19.5,1.72,,176942.8
2002-08-01,1.74,3482.36,1.0,19.7,1.74,,185503.4
2002-09-01,1.73,3459.08,0.99,33.8,1.73,,158102.4
2002-10-01,1.58,3161.12,0.91,30.9,1.58,,53093.7
