,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,651.53,0.45,,,,754812.6
1997-02-01,,638.23,0.44,,,,641785.9
1997-03-01,,630.25,0.44,57.3,,,175535.6
1997-04-01,,659.51,0.46,60.0,,,626626.9
1997-05-01,,728.65,0.5,66.3,,,811093.0
1997-06-01,,574.41,0.4,52.2,,,232735.4
1997-07-01,,555.79,0.39,50.5,,,112035.3
1997-08-01,,539.3,0.37,49.1,,,197089.5
1997-09-01,,513.77,0.36,39.7,,,89346.6
1997-10-01,,555.26,0.38,42.9,,,258613.9
1997-11-01,,592.92,0.41,45.8,,,332510.2
1997-12-01,,614.62,0.43,47.5,,,214831.1
1998-01-01,,606.32,0.42,46.8,,,349067.4
1998-02-01,,627.38,0.43,48.5,,,261792.0
1998-03-01,,542.5,0.38,43.2,,,111937.1
1998-04-01,,595.47,0.41,47.4,,,77776.0
1998-05-01,,686.74,0.48,54.7,,,282430.1
1998-06-01,,733.33,0.51,58.4,,,291518.6
1998-07-01,,656.02,0.45,52.1,,,169455.6
1998-08-01,,792.66,0.55,63.0,,,429326.6
1998-09-01,,669.61,0.46,52.1,,,204798.8
1998-10-01,,764.79,0.53,59.5,,,238184.8
1998-11-01,,817.81,0.57,63.6,,,363881.3
1998-12-01,,728.08,0.5,56.6,,,193387.9
1999-01-01,,728.76,0.5,56.7,,,94537.3
1999-02-01,4.15,664.17,0.46,51.6,4.15,,90931.8
1999-03-01,4.55,727.4,0.5,39.3,4.55,,22229.0
1999-04-01,5.15,823.93,0.57,44.5,5.15,,249394.9
1999-05-01,5.05,807.07,0.56,43.6,5.05,,222554.0
1999-06-01,5.27,843.23,0.58,45.6,5.27,,210948.3
1999-07-01,6.4,1023.11,0.71,55.3,6.4,,551108.6
1999-08-01,6.01,961.25,0.66,52.0,6.01,,185699.2
1999-09-01,6.33,1011.69,0.7,58.2,6.33,,140532.6
1999-10-01,6.37,1019.3,0.7,58.6,6.37,,114112.3
1999-11-01,6.03,965.05,0.67,55.5,6.03,,37078.7
1999-12-01,6.29,1005.98,0.7,57.8,6.29,,53018.1
2000-01-01,5.27,903.19,0.62,51.9,5.27,,50278.9
2000-02-01,5.71,978.38,0.68,56.2,5.71,,95623.4
2000-03-01,8.21,1406.66,0.97,105.7,8.21,,581782.4
2000-04-01,9.78,1675.99,1.16,125.9,9.78,,357396.0
2000-05-01,8.46,1449.48,1.0,108.9,8.46,,144096.8
2000-06-01,8.61,1474.23,1.02,110.8,8.6,,87212.3
2000-07-01,8.45,1447.58,1.0,108.8,8.45,,91967.7
2000-08-01,8.94,1531.33,1.06,115.1,8.94,,60286.0
2000-09-01,8.67,1484.7,1.03,102.6,8.67,,141870.1
2000-10-01,8.24,1411.42,0.98,97.5,8.24,,44475.1
2000-11-01,8.67,1484.7,1.03,102.6,8.67,,39623.3
2000-12-01,9.11,1559.89,1.08,107.8,9.1,,115165.4
2001-01-01,9.67,1637.93,1.13,113.1,9.67,,256154.1
2001-02-01,9.63,1630.31,1.13,112.6,9.63,,112653.5
2001-03-01,8.76,1482.8,1.02,76.6,8.76,,56885.0
2001-04-01,10.08,1706.45,1.18,88.1,10.08,,138009.8
2001-05-01,10.3,1744.52,1.21,90.1,10.3,,330724.8
2001-06-01,10.89,1844.45,1.27,95.2,10.89,,115553.9
2001-07-01,11.29,1912.02,1.32,98.7,11.29,,214437.9
2001-08-01,10.26,1737.86,1.2,89.7,10.26,,87730.6
2001-09-01,9.43,1597.0,1.1,92.9,9.43,,121992.9
2001-10-01,8.95,1515.15,1.05,88.1,8.95,,65321.1
2001-11-01,8.36,1416.17,0.98,82.4,8.36,,112617.9
2001-12-01,8.41,1423.79,0.98,82.8,8.41,,81196.1
2002-01-01,7.56,1264.85,0.87,73.6,7.56,,64772.1
2002-02-01,6.21,1039.29,0.72,60.4,6.21,,145775.1
2002-03-01,6.27,1048.81,0.72,375.1,6.27,,68516.7
2002-04-01,6.86,1148.74,0.79,410.8,6.86,,138375.2
2002-05-01,8.17,1367.64,0.95,489.1,8.17,,204806.3
2002-06-01,7.23,1210.6,0.84,1553.1,7.23,,102718.3
2002-07-01,8.28,1385.72,0.96,1777.8,8.28,,130826.5
2002-08-01,7.98,1335.28,0.92,1713.1,7.98,,79959.5
2002-09-01,7.92,1325.76,0.92,1067.4,7.92,,69997.1
2002-10-01,7.51,1257.24,0.87,1012.3,7.51,,26331.1
2002-11-01,6.84,1144.93,0.79,921.8,6.84,,19004.5
