,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,2278.13,9.12,27.8,,,72027.8
1997-04-01,,2762.94,11.06,33.7,,,158440.2
1997-05-01,,3400.92,13.61,41.5,,,122292.0
1997-06-01,,3008.97,12.04,36.7,,,54009.4
1997-07-01,,3271.87,13.09,39.9,,,40166.7
1997-08-01,,2520.54,10.09,19.4,,,28483.3
1997-09-01,,2846.16,11.39,21.9,,,40151.1
1997-10-01,,2363.76,9.46,18.1,,,28066.8
1997-11-01,,2879.93,11.53,22.1,,,31477.5
1997-12-01,,2383.06,9.54,18.3,,,20446.3
1998-01-01,,2228.69,8.92,17.1,,,11324.1
1998-02-01,,2243.16,8.98,17.2,,,11203.3
1998-03-01,,1982.66,7.93,15.2,,,7034.6
1998-04-01,,2064.67,8.26,38.9,,,9704.9
1998-05-01,,2168.39,8.68,40.9,,,19414.9
1998-06-01,,2310.7,9.25,43.5,,,24461.9
1998-07-01,,1929.6,7.72,36.4,,,15806.4
1998-08-01,,1954.42,7.57,35.7,,,6401.4
1998-09-01,,1613.62,6.25,29.4,,,5414.0
1998-10-01,,1820.17,7.05,37.1,,,9818.2
1998-11-01,,1918.28,7.43,39.1,,,21146.3
1998-12-01,,1858.9,7.2,37.9,,,14675.1
1999-01-01,,1706.57,6.61,34.8,,,3819.6
1999-02-01,2.74,1716.9,6.65,35.0,2.74,,4722.0
1999-03-01,2.55,1600.72,6.2,32.6,2.55,,1214.9
1999-04-01,2.92,1833.08,7.1,37.4,2.92,,11761.9
1999-05-01,2.6,1629.12,6.31,33.2,2.6,,6382.2
1999-06-01,2.72,1703.99,6.6,44.0,2.72,,13707.0
1999-07-01,3.19,2003.48,7.76,51.7,3.19,,51137.2
1999-08-01,3.25,2042.2,7.91,52.7,3.25,,33783.5
1999-09-01,3.1,1944.09,7.53,50.2,3.1,,12574.0
1999-10-01,3.31,2078.35,8.05,61.9,3.31,,31989.9
1999-11-01,3.06,1920.86,7.44,57.2,3.06,,4499.6
1999-12-01,2.84,1781.44,6.9,53.1,2.84,,4670.3
2000-01-01,2.68,1626.53,6.3,48.5,2.68,,8796.9
2000-02-01,2.62,1590.39,6.16,47.4,2.62,,31700.0
2000-03-01,3.42,2073.19,8.03,61.8,3.42,,54315.2
2000-04-01,4.61,2790.92,10.81,83.2,4.61,,200193.4
2000-05-01,4.17,2527.58,9.79,75.3,4.17,,65209.3
2000-06-01,4.26,2579.22,9.99,76.8,4.26,,27143.2
2000-07-01,3.91,2370.09,9.18,70.6,3.91,,44146.7
2000-08-01,4.46,2700.56,10.46,80.5,4.46,,39259.0
2000-09-01,4.32,2620.53,10.15,78.1,4.33,,91135.2
2000-10-01,4.13,2501.76,9.69,74.5,4.13,,19092.9
2000-11-01,4.6,2785.76,10.79,83.0,4.6,,30455.9
2000-12-01,5.3,3211.76,12.44,95.7,5.3,,84874.9
2001-01-01,5.39,3291.79,12.75,98.1,5.39,,43681.2
2001-02-01,4.49,2741.87,10.62,81.7,4.49,,37013.7
2001-03-01,4.16,2543.07,9.85,75.8,4.16,,11324.8
2001-04-01,4.74,2891.61,11.2,86.2,4.74,,27072.3
2001-05-01,4.58,2796.09,10.83,90.3,4.58,,21904.7
2001-06-01,4.94,3015.54,11.68,97.3,4.94,,30879.5
2001-07-01,4.88,2981.98,11.55,96.3,4.88,,23154.7
2001-08-01,4.42,2700.56,10.46,87.2,4.42,,25098.3
2001-09-01,3.94,2406.24,9.32,77.7,3.94,,13782.5
2001-10-01,3.72,2271.98,8.8,73.3,3.72,,12107.5
2001-11-01,3.63,2217.77,8.59,71.6,3.63,,15936.6
2001-12-01,3.75,2290.06,8.87,73.9,3.75,,10500.3
2002-01-01,3.27,2024.13,7.84,65.3,3.27,,11107.5
2002-02-01,2.99,1848.57,7.16,,2.99,,14252.6
2002-03-01,2.99,1848.57,7.16,,2.99,,4502.5
2002-04-01,3.1,1913.11,7.41,,3.1,,16877.7
2002-05-01,3.33,2060.28,7.98,,3.33,,18918.2
2002-06-01,3.16,1954.42,7.57,,3.16,,17969.2
2002-07-01,3.73,2305.55,8.93,,3.73,,37342.9
2002-08-01,3.6,2228.09,8.63,,3.6,,21372.7
2002-09-01,3.55,2197.11,8.51,,3.55,,8574.9
2002-10-01,3.48,2148.06,8.32,277.3,3.48,,6294.5
2002-11-01,3.07,1897.62,7.35,245.0,3.07,,3461.9
2002-12-01,2.74,1691.08,6.55,218.3,2.74,,8125.7
