,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,,,,,,
1996-06-01,,,,,,,
1996-07-01,,,,,,,
1996-08-01,,,,,,,
1996-09-01,,,,,,,
1996-10-01,,,,,,,
1996-11-01,,,,,,,
1996-12-01,,,,,,,
1997-01-01,,,,,,,
1997-02-01,,,,,,,
1997-03-01,,,,,,,
1997-04-01,,,,,,,
1997-05-01,,3270.6,4.6,,,,372972.6
1997-06-01,,3160.2,4.44,,,,285293.3
1997-07-01,,3118.8,4.39,,,,112593.3
1997-08-01,,3117.42,4.38,35.9,,,153933.1
1997-09-01,,2553.0,3.59,29.4,,,84291.1
1997-10-01,,2172.12,3.06,25.0,,,26401.6
1997-11-01,,2601.3,3.66,29.9,,,52912.2
1997-12-01,,2637.18,3.71,30.3,,,56453.5
1998-01-01,,2982.18,4.19,34.3,,,121361.6
1998-02-01,,3022.2,4.25,34.8,,,60539.3
1998-03-01,,2699.28,3.8,31.0,,,25409.1
1998-04-01,,2707.56,3.81,30.2,,,34990.8
1998-05-01,,3162.96,4.45,35.3,,,88027.7
1998-06-01,,3531.42,4.97,39.4,,,175893.3
1998-07-01,,3447.24,4.85,38.4,,,101267.3
1998-08-01,,3149.16,4.43,35.7,,,63034.5
1998-09-01,,2809.68,3.95,31.8,,,37231.9
1998-10-01,,3312.0,4.66,37.5,,,63412.5
1998-11-01,,3412.74,4.8,38.6,,,31463.9
1998-12-01,,3795.0,5.34,43.0,,,72398.8
1999-01-01,,3879.18,5.46,43.9,,,47364.5
1999-02-01,2.76,3539.7,4.98,32.1,2.86,,36954.9
1999-03-01,2.67,3422.4,4.81,31.0,2.77,,8654.8
1999-04-01,3.07,3937.14,5.54,35.7,3.19,,45811.5
1999-05-01,2.95,3783.96,5.32,34.3,3.06,,58626.2
1999-06-01,2.87,3684.59,5.18,33.4,2.98,,126498.8
1999-07-01,4.25,5448.23,7.66,49.4,4.41,,352092.9
1999-08-01,4.47,5733.89,8.06,51.9,4.64,,113491.1
1999-09-01,3.87,4955.57,6.97,32.1,4.01,,72243.2
1999-10-01,4.2,5378.55,7.29,32.5,4.2,,51179.8
1999-11-01,4.17,5343.09,7.24,32.3,4.17,,40952.0
1999-12-01,4.26,5466.03,7.41,33.1,4.26,,28137.1
2000-01-01,4.05,5501.49,7.46,33.3,4.05,,54003.7
2000-02-01,4.52,6135.09,8.32,37.1,4.52,,105678.4
2000-03-01,4.45,6045.25,8.2,36.6,4.45,,175085.3
2000-04-01,4.75,6451.9,8.75,39.0,4.75,,249191.3
2000-05-01,5.79,7852.92,10.65,47.5,5.79,,193502.3
2000-06-01,5.28,7164.46,9.71,43.3,5.28,,111441.8
2000-07-01,6.24,8465.72,11.48,51.2,6.24,,134160.1
2000-08-01,6.19,8401.41,11.39,50.8,6.19,,132263.1
2000-09-01,5.66,7678.91,10.41,46.4,5.66,,92681.8
2000-10-01,5.23,7092.6,9.62,42.9,5.23,,34157.7
2000-11-01,5.25,7126.64,9.66,43.1,5.25,,23142.5
2000-12-01,5.43,7376.3,10.0,44.6,5.43,,48597.0
2001-01-01,5.28,7667.57,10.39,46.4,5.28,,32190.4
2001-02-01,4.98,7221.21,9.79,43.7,4.98,,17052.7
2001-03-01,4.66,6767.29,9.17,40.9,4.66,,20254.7
2001-04-01,4.83,7013.16,9.51,35.0,4.83,,25369.0
2001-05-01,4.69,6805.11,9.23,33.9,4.69,,35442.5
2001-06-01,4.64,6729.45,9.12,33.6,4.64,,38890.1
2001-07-01,4.45,6460.88,8.76,32.2,4.45,,36528.1
2001-08-01,3.56,5170.98,7.01,25.8,3.56,,30289.5
2001-09-01,3.58,5189.89,7.04,25.9,3.58,,39685.2
2001-10-01,3.47,5034.8,6.83,25.1,3.47,,33409.3
2001-11-01,3.23,4694.35,6.36,23.4,3.23,,19261.9
2001-12-01,2.96,4289.6,5.82,21.4,2.96,,55988.1
2002-01-01,2.69,4187.47,5.68,20.9,2.69,,53930.0
2002-02-01,2.67,4160.99,5.64,20.8,2.67,,44734.1
2002-03-01,2.81,4376.61,5.93,21.8,2.81,,33521.7
2002-04-01,2.72,4240.43,5.75,21.2,2.72,,65385.1
2002-05-01,2.79,4346.34,5.89,21.7,2.79,,22245.9
2002-06-01,2.46,3835.68,5.2,19.1,2.46,,16572.5
2002-07-01,2.72,4240.43,5.75,21.2,2.72,,46033.6
2002-08-01,2.53,3934.03,5.33,23.1,2.53,,19299.4
2002-09-01,2.55,3968.07,5.38,23.3,2.55,,11806.1
2002-10-01,2.43,3782.72,5.13,23.3,2.43,,12131.2
2002-11-01,2.37,3684.37,4.99,22.7,2.37,,15737.3
2002-12-01,1.95,3037.52,4.12,18.7,1.95,,22447.8
