,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,1063.53,3.75,11.2,,,3940.6
1992-05-01,,1700.41,5.99,17.9,,,9181.1
1992-06-01,,2589.8,9.13,27.3,,,12693.0
1992-07-01,,2283.8,8.05,24.1,,,6855.0
1992-08-01,,2021.34,7.13,21.3,,,5828.8
1992-09-01,,1740.22,6.13,18.4,,,2508.5
1992-10-01,,1523.78,5.37,16.1,,,1705.8
1992-11-01,,1245.14,4.39,13.1,,,3744.5
1992-12-01,,1057.31,3.73,11.1,,,1751.4
1993-01-01,,1130.7,3.99,11.9,2.0,,1473.2
1993-02-01,,1174.24,4.14,12.4,2.08,,2823.2
1993-03-01,,1465.31,5.17,15.5,2.59,,2677.2
1993-04-01,,1384.46,4.88,13.1,2.45,,1299.9
1993-05-01,,1307.34,4.61,12.4,2.31,,2704.6
1993-06-01,,1201.61,4.24,11.4,2.12,,5464.0
1993-07-01,,1119.51,3.95,10.6,1.98,,2950.9
1993-08-01,,1119.51,3.95,10.6,1.98,,870.9
1993-09-01,,1219.02,4.3,11.6,2.15,,36815.6
1993-10-01,,1212.81,4.28,7.6,2.14,,6115.1
1993-11-01,,1277.49,4.5,8.0,2.26,,6830.8
1993-12-01,,1423.03,5.02,8.9,2.51,,13289.8
1994-01-01,2.53,1775.55,5.3,10.0,2.53,,5185.2
1994-02-01,2.29,1610.61,4.81,9.0,2.29,,1007.4
1994-03-01,1.73,1212.81,3.62,6.8,1.73,,6005.8
1994-04-01,1.71,1203.1,3.59,8.6,1.71,,4075.8
1994-05-01,1.69,1183.7,3.54,8.5,1.69,,6141.0
1994-06-01,1.74,1222.51,3.65,8.8,1.74,,7676.2
1994-07-01,1.71,1203.1,3.59,8.6,1.71,,4905.9
1994-08-01,1.64,1154.59,3.45,8.3,1.64,,12996.1
1994-09-01,1.84,1290.43,3.86,9.3,1.84,,11074.5
1994-10-01,1.84,1295.28,3.87,8.5,1.84,,6654.4
1994-11-01,2.0,1406.85,4.2,9.3,2.0,,4112.4
1994-12-01,1.73,1212.8,3.62,8.0,1.73,,6016.8
1995-01-01,1.11,824.71,2.46,5.4,1.11,,1244.8
1995-02-01,1.13,839.26,2.51,5.5,1.13,,5892.6
1995-03-01,1.06,788.32,2.36,5.2,1.06,,4929.4
1995-04-01,1.0,744.66,2.22,9.6,1.0,,736.9
1995-05-01,0.88,654.91,1.96,8.4,0.88,,16.6
1995-06-01,0.65,485.12,1.45,6.2,0.65,,12834.0
1995-07-01,0.81,606.4,1.81,7.8,0.81,,6033.4
1995-08-01,0.81,606.4,1.81,7.8,0.81,,4708.6
1995-09-01,0.88,654.91,1.96,8.4,0.88,,3717.7
1995-10-01,0.83,618.53,1.85,7.9,0.83,,783.8
1995-11-01,0.68,509.38,1.52,6.5,0.68,,23898.8
1995-12-01,0.5,375.49,1.12,4.8,0.5,,1362340.0
1996-01-01,0.48,369.66,1.1,4.7,0.48,,602904.8
1996-02-01,0.48,369.66,1.1,4.7,0.48,,282031.7
1996-03-01,0.5,378.4,1.13,4.8,0.5,,57239.6
1996-04-01,0.47,360.93,1.08,4.6,0.47,,3625.5
1996-05-01,0.51,387.13,1.16,4.9,0.51,,19017.4
1996-06-01,0.54,416.24,1.24,5.3,0.54,,25614.2
1996-07-01,0.59,448.25,1.34,5.7,0.59,,45870.5
1996-08-01,0.77,590.88,1.77,7.5,0.77,,19006.5
1996-09-01,0.67,509.38,1.52,6.5,0.67,,9941.6
1996-10-01,0.72,547.22,1.63,7.0,0.72,,5622.4
1996-11-01,0.74,567.59,1.7,7.2,0.74,,2033.0
1996-12-01,1.26,960.54,2.87,12.2,1.26,,29283.3
1997-01-01,2.44,978.01,2.92,12.5,1.5,,91029.8
1997-02-01,2.61,1047.87,3.13,13.3,1.6,,17438.3
1997-03-01,2.65,1062.42,3.17,65.2,1.63,,12391.4
1997-04-01,2.7,1082.79,3.23,66.4,1.66,,12080.8
1997-05-01,2.76,1106.08,3.3,67.8,1.69,,15782.6
1997-06-01,2.16,867.4,2.59,53.2,1.33,,9039.8
1997-07-01,2.21,887.78,2.65,54.5,1.36,,4477.9
1997-08-01,1.92,771.35,2.3,,1.18,,2344.8
1997-09-01,1.68,675.29,2.02,,1.03,,6437.7
1997-10-01,1.64,657.83,1.97,,1.01,,2476.5
1997-11-01,1.36,547.22,1.63,,0.84,,3963.4
1997-12-01,1.2,480.27,1.43,,0.73,,3389.6
1998-01-01,3.4,369.66,1.1,,2.09,,8565.6
1998-02-01,3.54,384.22,1.15,,2.17,,4057.7
1998-03-01,3.75,407.5,1.22,,2.3,,3504.4
1998-04-01,3.49,378.4,1.13,,2.14,,5776.8
1998-05-01,2.2,238.68,0.71,,1.35,,20506.8
1998-06-01,2.79,302.72,0.9,,1.71,,98079.9
1998-07-01,2.39,259.06,0.77,,1.46,,13850.6
1998-08-01,2.04,221.22,0.66,,1.25,,6764.0
1998-09-01,1.5,163.0,0.49,,0.92,,6144.6
1998-10-01,1.88,203.75,0.61,,1.15,,7749.5
1998-11-01,1.69,183.38,0.55,,1.04,,4071.9
1998-12-01,1.58,171.73,0.51,,0.97,,3543.7
1999-01-01,2.35,157.18,0.47,,1.44,,5259.9
1999-02-01,1.74,116.43,0.35,,1.07,,2842.1
1999-03-01,1.7,113.52,0.34,,1.04,,259.2
1999-04-01,2.09,139.72,0.42,,1.28,,5804.7
1999-05-01,1.92,128.07,0.38,,1.18,,13201.4
1999-06-01,2.13,142.63,0.43,,1.31,,14898.3
1999-07-01,2.74,183.38,0.55,,1.68,,68412.1
1999-08-01,2.48,165.91,0.5,,1.52,,38243.0
1999-09-01,2.48,165.91,0.5,,1.52,,22226.2
1999-10-01,2.48,165.91,0.5,,1.52,,13216.8
1999-11-01,2.09,139.72,0.42,,1.28,,6083.8
1999-12-01,2.31,154.27,0.46,,1.42,,11808.1
2000-01-01,2.39,163.0,0.49,,14.64,,5420.9
2000-02-01,2.13,145.54,0.43,,13.07,,20011.6
2000-03-01,2.21,151.36,0.45,,13.59,,9902.8
2000-04-01,3.45,235.77,0.7,,21.17,,54593.6
