,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,739.5,1.99,,,,94095.3
1996-05-01,,888.0,2.39,,,,245252.1
1996-06-01,,843.0,2.27,,,,27466.1
1996-07-01,,804.0,2.16,,,,1837.1
1996-08-01,,1305.0,3.51,,,,190652.0
1996-09-01,,1407.0,3.79,,,,153027.8
1996-10-01,,1462.5,3.93,,,,114310.8
1996-11-01,,1905.0,5.12,43.8,,,202992.3
1996-12-01,,2235.0,6.01,51.4,,,169069.8
1997-01-01,,1946.1,5.24,45.4,,,146722.1
1997-02-01,,1989.0,5.35,46.4,,,104619.8
1997-03-01,,2400.45,6.46,45.6,,,89374.6
1997-04-01,,2739.75,7.37,52.0,,,176973.8
1997-05-01,,2408.25,6.48,45.7,,,79910.2
1997-06-01,,2031.9,5.47,38.6,,,52260.5
1997-07-01,,1850.55,4.98,35.1,,,29164.2
1997-08-01,,1673.1,4.5,32.5,,,23489.1
1997-09-01,,1769.62,4.76,34.4,,,23434.5
1997-10-01,,1501.5,4.04,29.2,,,41722.6
1997-11-01,,1764.16,4.61,33.4,,,47201.8
1997-12-01,,1596.58,4.17,30.3,,,16984.0
1998-01-01,,1549.02,4.05,29.4,,,16135.3
1998-02-01,,1768.69,4.62,33.5,,,33122.9
1998-03-01,,1626.02,4.25,30.8,,,17472.2
1998-04-01,,1859.28,4.86,35.2,,,23292.9
1998-05-01,,2153.68,5.63,40.8,,,105517.3
1998-06-01,,2364.29,6.18,40.2,,,54888.7
1998-07-01,,2031.39,5.31,34.5,,,25431.3
1998-08-01,,1895.96,4.95,32.2,,,13635.9
1998-09-01,,2090.27,5.46,39.4,,,74734.5
1998-10-01,,2146.21,5.61,40.5,,,63637.6
1998-11-01,,1960.73,5.12,37.0,,,24125.5
1998-12-01,,1913.63,5.0,36.1,,,19833.4
1999-01-01,,1754.65,4.58,33.1,,,9123.2
1999-02-01,12.55,1837.08,4.8,34.7,12.55,,11214.1
1999-03-01,11.56,1692.82,4.42,31.9,11.56,,3852.6
1999-04-01,11.46,1678.1,4.38,31.7,11.46,,23969.4
1999-05-01,10.66,1560.34,4.08,29.4,10.66,,25569.3
1999-06-01,9.65,1413.14,3.69,26.7,9.65,,21067.1
1999-07-01,11.26,1648.66,4.31,,11.26,,97168.5
1999-08-01,11.5,1683.99,4.4,,11.5,,39370.0
1999-09-01,13.78,2016.67,5.27,,13.78,,109377.3
1999-10-01,14.16,2072.6,5.42,,14.16,,97244.8
1999-11-01,13.37,1957.79,5.12,,13.37,,16567.6
1999-12-01,12.83,1878.3,4.91,,12.83,,22314.9
2000-01-01,8.98,1519.12,3.97,,8.98,,13861.6
2000-02-01,8.67,1466.13,3.83,,8.67,,28470.7
2000-03-01,10.42,1763.48,4.61,,10.42,,56958.0
2000-04-01,12.37,2093.21,5.47,,12.37,,103938.0
2000-05-01,12.11,2049.05,5.35,,12.11,,61270.3
2000-06-01,14.36,2428.83,6.35,,14.36,,57344.3
2000-07-01,14.08,2381.73,6.22,,14.08,,51429.5
2000-08-01,17.12,2896.93,7.57,,17.12,,92217.4
2000-09-01,17.38,2941.09,7.68,,17.38,,113067.9
2000-10-01,16.58,2805.67,7.33,,16.58,,31416.8
2000-11-01,16.41,2776.23,7.25,,16.41,,25178.5
2000-12-01,18.32,3100.07,8.1,,18.32,,37326.0
2001-01-01,15.88,3082.41,8.05,,15.88,,26918.6
2001-02-01,17.12,3323.82,8.68,,17.12,,61788.3
2001-03-01,14.69,2852.77,7.45,,14.69,,30245.5
2001-04-01,16.18,3141.29,8.21,,16.18,,24695.2
2001-05-01,16.18,3141.29,8.21,,16.18,,51110.8
2001-06-01,16.83,3267.88,8.54,,16.83,,31419.2
2001-07-01,16.6,3223.72,8.42,,16.6,,22134.4
2001-08-01,14.92,2896.93,7.57,,14.92,,27812.8
2001-09-01,14.0,2717.35,7.1,,14.0,,13887.7
2001-10-01,12.28,2384.67,6.23,,12.28,,21820.7
2001-11-01,11.08,2152.09,5.62,,11.08,,18502.4
2001-12-01,12.15,2358.18,6.16,,12.15,,21764.8
2002-01-01,7.31,1822.36,4.76,,7.31,,21728.8
2002-02-01,5.74,1430.8,3.74,,5.74,,37242.4
2002-03-01,6.24,1554.45,4.06,,6.24,,32037.0
2002-04-01,7.0,1745.82,4.56,,7.0,,79194.9
2002-05-01,7.5,1869.47,4.88,,7.5,,34530.7
2002-06-01,7.19,1792.92,4.68,,7.19,,57242.4
2002-07-01,7.39,1842.97,4.82,,7.39,,39443.4
2002-08-01,7.92,1975.45,5.16,,7.93,,46865.3
2002-09-01,7.8,1943.07,5.08,,7.8,,16966.3
2002-10-01,6.32,1575.06,4.12,,6.32,,21104.5
2002-11-01,6.72,1675.16,4.38,,6.72,,20492.0
