,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,1.18,819.04,1.07,,1.24,,35103.7
1995-08-01,1.35,936.17,1.17,,1.35,,114289.3
1995-09-01,1.34,927.64,1.16,,1.34,,13560.8
1995-10-01,1.32,912.71,1.14,9.0,1.32,,
1995-11-01,1.31,906.31,1.14,9.0,1.31,,213187.0
1995-12-01,1.09,757.04,0.95,7.5,1.09,,7951714.0
1996-01-01,0.99,789.02,0.99,7.8,1.19,,3496729.0
1996-02-01,1.23,976.68,1.22,9.7,1.48,,1031052.0
1996-03-01,1.15,916.97,1.15,9.1,1.39,,241091.0
1996-04-01,1.14,902.05,1.13,8.9,1.36,,73442.6
1996-05-01,1.14,906.31,1.14,9.0,1.37,,14770.4
1996-06-01,1.24,987.35,1.24,9.8,1.49,,19618.2
1996-07-01,1.25,989.48,1.24,9.8,1.5,,33214.5
1996-08-01,1.49,1179.27,1.48,11.7,1.78,,42183.6
1996-09-01,1.53,1215.52,1.52,12.0,1.84,,17576.4
1996-10-01,1.45,1151.55,1.44,7.0,1.74,,4635.9
1996-11-01,1.44,1140.89,1.43,6.9,1.72,,26629.2
1996-12-01,1.87,1482.09,1.86,9.0,2.24,,79718.4
1997-01-01,1.66,1452.23,1.82,8.8,1.66,,152405.7
1997-02-01,1.77,1543.93,1.93,9.4,1.77,,82239.8
1997-03-01,1.76,1535.4,1.92,11.0,1.76,,40311.9
1997-04-01,1.87,1627.1,2.04,11.7,1.87,,66663.2
1997-05-01,2.13,1855.27,2.32,13.3,2.13,,117014.2
1997-06-01,2.05,1789.17,2.24,12.8,2.05,,157336.4
1997-07-01,1.86,1624.96,2.04,11.7,1.86,,41815.0
1997-08-01,1.69,1473.98,1.85,9.1,1.69,,40926.8
1997-09-01,1.63,1422.8,1.78,8.8,1.63,,60364.9
1997-10-01,1.61,1407.45,1.76,8.7,1.61,,35808.0
1997-11-01,1.3,1131.08,1.42,7.0,1.3,,49901.6
1997-12-01,1.2,1046.63,1.31,6.4,1.2,,15319.4
1998-01-01,1.28,1172.02,1.47,7.2,1.28,,27197.3
1998-02-01,1.01,923.8,1.16,5.7,1.01,,29981.2
1998-03-01,1.28,1177.14,1.47,7.2,1.28,,26657.6
1998-04-01,1.17,1074.78,1.35,6.6,1.17,,15217.6
1998-05-01,1.2,1097.81,1.38,6.8,1.2,,39469.4
1998-06-01,1.19,1095.25,1.37,5.8,1.19,,63427.4
1998-07-01,1.05,958.09,1.2,5.1,1.05,,11124.3
1998-08-01,0.94,864.94,1.08,4.6,0.94,,76788.3
1998-09-01,0.81,745.18,0.93,3.9,0.81,,31698.9
1998-10-01,0.96,878.25,1.1,4.3,0.96,,22873.9
1998-11-01,0.87,795.08,1.0,3.9,0.87,,30358.1
1998-12-01,0.86,791.75,0.99,3.9,0.86,,19386.1
1999-01-01,0.68,701.93,0.88,3.5,0.68,,22907.3
1999-02-01,0.65,671.99,0.84,3.3,0.65,,10507.8
1999-03-01,0.62,635.4,0.8,3.1,0.62,,3020.4
1999-04-01,0.67,688.63,0.86,3.4,0.67,,27516.9
1999-05-01,0.92,951.44,1.19,4.7,0.92,,79468.4
1999-06-01,1.29,1324.03,1.66,6.5,1.29,,102637.1
1999-07-01,1.73,1776.46,2.22,8.8,1.73,,292433.1
1999-08-01,1.5,1540.26,1.93,7.6,1.5,,146048.5
1999-09-01,1.36,1397.21,1.75,6.9,1.36,,81485.5
1999-10-01,1.29,1330.68,1.67,6.6,1.29,,40927.8
1999-11-01,1.11,1144.38,1.43,5.6,1.11,,33940.3
1999-12-01,1.19,1220.9,1.53,5.9,1.19,,58564.2
2000-01-01,0.96,1204.26,1.51,5.8,0.96,,47978.7
2000-02-01,0.97,1214.24,1.52,5.9,0.97,,56757.0
2000-03-01,0.93,1164.34,1.46,5.7,0.93,,39001.4
2000-04-01,1.03,1294.09,1.62,6.3,1.03,,72974.8
2000-05-01,0.97,1214.24,1.52,5.9,0.97,,30448.9
2000-06-01,1.21,1516.97,1.9,7.4,1.21,,84302.6
2000-07-01,1.27,1596.82,2.0,7.7,1.27,,172639.1
2000-08-01,1.5,1882.91,2.36,9.1,1.5,,98813.3
2000-09-01,1.67,2099.15,2.63,10.2,1.67,,190223.6
2000-10-01,1.53,1919.5,2.4,9.3,1.53,,64797.3
2000-11-01,1.63,2049.25,2.57,9.9,1.63,,36808.4
2000-12-01,1.63,2042.59,2.56,9.9,1.63,,69541.5
2001-01-01,1.43,2295.42,2.88,11.1,1.43,,54979.9
2001-02-01,1.41,2255.5,2.82,10.9,1.41,,40304.7
2001-03-01,1.58,2528.29,3.17,12.2,1.58,,28584.8
2001-04-01,3.05,4890.25,6.12,23.6,3.05,,871140.8
2001-05-01,2.85,4570.88,5.72,19.2,2.85,,227477.1
2001-06-01,2.96,4743.87,5.94,19.9,2.96,,258624.5
2001-07-01,2.57,4118.45,5.16,17.3,2.57,,99468.4
2001-08-01,2.17,3473.07,4.35,14.6,2.17,,71773.9
