,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,,,,,,
1994-08-01,,,,,,,
1994-09-01,,,,,,,
1994-10-01,,,,,,,
1994-11-01,,,,,,,
1994-12-01,,,,,,,
1995-01-01,,,,,,,
1995-02-01,,,,,,,
1995-03-01,,,,,,,
1995-04-01,,,,,,,
1995-05-01,,,,,,,
1995-06-01,,,,,,,
1995-07-01,,,,,,,
1995-08-01,,,,,,,
1995-09-01,,,,,,,
1995-10-01,,,,,,,
1995-11-01,,,,,,,
1995-12-01,,,,,,,
1996-01-01,,,,,,,
1996-02-01,,,,,,,
1996-03-01,,,,,,,
1996-04-01,,,,,,,
1996-05-01,,848.0,1.72,,,,187541.0
1996-06-01,,825.6,1.68,,,,66162.3
1996-07-01,,752.64,1.53,,,,2304.9
1996-08-01,,929.6,1.89,,,,120582.5
1996-09-01,,840.0,1.71,,,,154498.8
1996-10-01,,798.56,1.62,,,,109321.7
1996-11-01,,1140.16,2.32,28.3,,,576161.6
1996-12-01,,1198.4,2.44,29.7,,,256644.1
1997-01-01,,856.8,1.74,21.3,,,280905.4
1997-02-01,,954.24,1.94,23.7,,,134287.6
1997-03-01,,1018.08,2.07,21.1,,,73165.3
1997-04-01,,1424.64,2.9,29.6,,,327259.2
1997-05-01,,1666.56,3.39,34.6,,,265826.3
1997-06-01,,1356.99,2.76,28.2,,,135630.8
1997-07-01,,1166.26,2.37,24.3,,,50547.1
1997-08-01,,1223.04,2.49,25.5,,,74349.3
1997-09-01,,1298.26,2.5,25.6,,,71907.8
1997-10-01,,1061.91,2.05,17.2,,,40956.4
1997-11-01,,1195.07,2.3,19.4,,,62232.6
1997-12-01,,1065.24,2.05,17.3,,,29994.1
1998-01-01,,1103.52,2.13,17.9,,,28632.0
1998-02-01,,1080.22,2.08,17.5,,,27754.3
1998-03-01,,1050.26,2.02,17.1,,,23846.1
1998-04-01,,1150.13,2.22,18.7,,,65143.6
1998-05-01,,1281.62,2.47,32.1,,,153668.4
1998-06-01,,1516.3,2.92,38.0,,,122482.4
1998-07-01,,1201.73,2.32,30.1,,,69040.1
1998-08-01,,1145.13,2.21,28.7,,,22034.0
1998-09-01,,1145.13,2.21,28.7,,,42072.3
1998-10-01,,1151.79,2.22,25.6,,,41107.0
1998-11-01,,1230.02,2.37,27.4,,,79073.4
1998-12-01,,1180.09,2.27,26.3,,,62619.3
1999-01-01,,1073.56,2.07,23.9,,,14783.3
1999-02-01,2.53,1115.17,2.15,24.8,2.72,,19770.8
1999-03-01,2.36,1040.27,2.01,23.1,2.53,,5961.1
1999-04-01,2.96,1303.7,2.34,27.0,2.96,,92990.6
1999-05-01,2.63,1158.84,2.08,24.0,2.63,,41920.3
1999-06-01,2.58,1138.41,2.04,24.5,2.58,,49938.7
1999-07-01,3.03,1337.13,2.4,28.8,3.03,,368066.1
1999-08-01,3.22,1420.7,2.55,30.6,3.22,,72527.6
1999-09-01,3.18,1402.13,2.52,30.2,3.18,,86320.3
1999-10-01,3.0,1322.27,2.37,28.5,3.0,,32390.4
1999-11-01,3.04,1340.84,2.41,28.9,3.04,,35784.4
1999-12-01,3.03,1333.41,2.39,28.7,3.03,,14736.0
2000-01-01,2.81,1199.7,2.15,30.8,2.81,,20099.0
2000-02-01,4.5,1923.98,3.45,49.3,4.5,,300109.0
2000-03-01,5.02,2146.83,3.85,55.0,5.02,,298820.7
2000-04-01,5.03,2148.69,3.86,55.1,5.03,,210393.1
2000-05-01,5.09,2174.69,3.9,55.8,5.09,,145977.4
2000-06-01,4.75,2027.97,3.64,52.0,4.75,,50811.1
2000-07-01,4.64,1983.4,3.56,50.9,4.64,,68435.7
2000-08-01,4.85,2072.55,3.72,53.1,4.85,,40135.8
2000-09-01,5.21,2228.54,4.0,57.1,5.21,,119996.1
2000-10-01,4.99,2133.83,3.83,54.7,4.99,,97922.9
2000-11-01,5.43,2319.54,4.16,59.5,5.43,,41805.0
2000-12-01,5.64,2410.54,4.33,61.8,5.64,,88731.1
2001-01-01,5.15,2352.97,4.22,60.3,5.15,,37124.9
2001-02-01,5.27,2406.83,4.32,61.7,5.27,,29266.2
2001-03-01,4.96,2265.69,4.07,58.1,4.96,,17147.2
2001-04-01,5.05,2308.4,4.14,42.9,5.05,,33399.3
2001-05-01,5.08,2321.4,4.17,43.1,5.08,,70063.1
2001-06-01,5.24,2395.68,4.3,44.5,5.24,,30028.6
2001-07-01,5.37,2455.11,4.41,45.6,5.37,,72518.2
2001-08-01,4.66,2131.97,3.83,39.6,4.66,,26294.2
2001-09-01,4.12,1884.98,3.38,35.0,4.12,,17343.1
2001-10-01,4.1,1873.83,3.36,34.8,4.1,,17540.9
2001-11-01,3.58,1637.98,2.94,30.4,3.58,,21205.0
2001-12-01,3.86,1764.26,3.17,32.8,3.86,,25125.9
2002-01-01,4.1,1552.55,2.79,28.8,4.1,,19325.5
2002-02-01,3.73,1411.41,2.53,24.5,3.73,,22337.8
2002-03-01,3.75,1420.7,2.55,24.7,3.75,,9575.4
2002-04-01,4.29,1623.12,2.91,28.2,4.29,,44035.6
2002-05-01,4.58,1734.55,3.11,30.1,4.58,,53106.0
2002-06-01,3.81,1442.98,2.59,38.9,3.81,,20753.5
2002-07-01,4.32,1636.12,2.94,44.1,4.32,,42465.9
2002-08-01,4.45,1684.41,3.02,45.4,4.45,,56531.6
