,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,1068.77,2.59,,,,187328.1
1994-01-01,,1015.94,2.46,,,,59643.1
1994-02-01,,910.28,2.2,,,,29244.9
1994-03-01,,987.49,2.39,,,,37618.1
1994-04-01,,902.15,2.18,19.1,,,39560.3
1994-05-01,,829.0,2.01,17.6,,,44714.5
1994-06-01,,773.74,1.87,16.4,,,59823.5
1994-07-01,,594.12,1.44,12.6,,,15539.1
1994-08-01,,718.47,1.74,15.2,,,27546.0
1994-09-01,,769.6,1.86,16.3,,,177571.8
1994-10-01,,846.97,2.05,18.0,,,195800.8
1994-11-01,,650.77,1.57,13.8,,,70897.4
1994-12-01,,635.57,1.54,13.5,,,12973.8
1995-01-01,,614.85,1.49,13.0,,,12271.8
1995-02-01,,547.15,1.32,11.6,,,7010.3
1995-03-01,,560.96,1.36,11.9,,,5782.0
1995-04-01,,636.56,1.39,10.3,,,35662.6
1995-05-01,,556.0,1.21,9.0,,,12946.3
1995-06-01,,576.54,1.26,9.4,,,56331.8
1995-07-01,,514.3,1.12,8.4,,,18861.7
1995-08-01,,535.15,1.17,8.7,,,25527.7
1995-09-01,,550.79,1.2,9.0,,,78856.5
1995-10-01,,535.15,1.17,11.0,,,18258.0
1995-11-01,,526.46,1.15,10.8,,,21645.1
1995-12-01,,521.25,1.14,10.7,,,873479.2
1996-01-01,,470.86,1.03,9.7,,,51768.1
1996-02-01,,436.11,0.95,9.0,,,5280.2
1996-03-01,,436.11,0.95,9.0,,,3368.4
1996-04-01,,434.37,0.95,8.9,,,7323.8
1996-05-01,,726.27,1.58,14.9,,,145903.6
1996-06-01,,755.81,1.65,15.5,,,212036.5
1996-07-01,,719.32,1.57,14.8,,,137705.4
1996-08-01,,1105.05,2.41,22.7,,,416531.9
1996-09-01,,1263.51,2.75,26.0,,,217753.4
1996-10-01,,1163.43,2.54,24.9,,,249093.6
1996-11-01,,1834.8,4.0,39.3,,,636307.8
1996-12-01,,1876.5,4.09,40.2,,,327873.2
1997-01-01,,1278.1,2.79,27.4,,,235126.1
1997-02-01,,1465.75,3.2,31.4,,,164308.4
1997-03-01,,1576.26,3.44,44.5,,,98411.9
1997-04-01,,1803.52,3.93,50.9,,,220368.2
1997-05-01,,1705.53,3.72,48.1,,,152084.9
1997-06-01,,1490.77,3.25,42.1,,,152216.5
1997-07-01,,1278.1,2.79,36.1,,,60190.1
1997-08-01,,1206.38,2.63,35.1,,,55966.3
1997-09-01,,1350.87,2.94,39.3,,,102381.0
1997-10-01,,1121.52,2.44,32.6,,,70338.3
1997-11-01,,1213.26,2.64,35.3,,,61095.4
1997-12-01,,1077.94,2.35,31.3,,,34496.6
1998-01-01,,1105.47,2.41,32.1,,,24795.8
1998-02-01,,1089.41,2.37,31.7,,,30981.0
1998-03-01,,1080.24,2.35,31.4,,,19295.9
1998-04-01,,1139.87,2.48,33.1,,,20388.9
1998-05-01,,1295.83,2.82,,,,107649.1
1998-06-01,,1385.27,3.02,,,,84224.5
1998-07-01,,1149.04,2.5,,,,32018.5
1998-08-01,,1210.97,2.64,,,,17498.9
1998-09-01,,1032.07,2.25,,,,22379.7
1998-10-01,,1144.46,2.49,,,,32393.4
1998-11-01,,1243.08,2.71,,,,87024.5
1998-12-01,,1105.47,2.41,,,,32738.0
1999-01-01,,1011.43,2.2,,,,11954.0
1999-02-01,1.99,1137.58,2.48,,1.99,,36253.5
1999-03-01,1.89,1077.94,2.35,,1.89,,8155.1
1999-04-01,2.03,1158.22,2.52,,2.03,,27978.0
1999-05-01,2.15,1227.02,2.67,,2.15,,133183.8
1999-06-01,2.97,1694.9,3.69,73.9,2.97,,209190.8
1999-07-01,3.07,1754.53,3.82,76.5,3.07,,372800.6
1999-08-01,2.91,1662.79,3.62,72.5,2.91,,85512.9
1999-09-01,2.85,1626.09,3.54,70.9,2.85,,55587.6
1999-10-01,2.85,1623.8,3.54,70.8,2.85,,44617.8
1999-11-01,2.56,1460.96,3.18,63.7,2.56,,10252.8
1999-12-01,2.49,1419.68,3.09,61.9,2.49,,11306.5
2000-01-01,3.0,1497.65,3.26,65.3,3.0,,22089.9
2000-02-01,2.86,1428.85,3.11,62.3,2.86,,54687.0
2000-03-01,3.0,1495.36,3.26,65.2,3.0,,62510.8
2000-04-01,3.56,1779.76,3.88,77.6,3.56,,241289.8
2000-05-01,3.54,1765.99,3.85,77.0,3.54,,96069.3
2000-06-01,3.51,1749.94,3.81,76.3,3.51,,42348.4
2000-07-01,3.55,1770.58,3.86,77.2,3.55,,126524.3
2000-08-01,4.31,2153.6,4.69,93.9,4.31,,114884.6
2000-09-01,4.72,2355.42,5.13,102.7,4.72,,136893.8
2000-10-01,5.14,2564.13,5.59,111.8,5.14,,77019.3
2000-11-01,5.26,2623.76,5.72,114.4,5.26,,117788.9
2000-12-01,5.47,2729.26,5.95,119.0,5.47,,111745.9
2001-01-01,5.04,2541.2,5.54,110.8,5.04,,50210.9
2001-02-01,4.94,2495.33,5.44,108.8,4.94,,34653.8
2001-03-01,4.36,2199.47,4.79,95.9,4.36,,27840.9
2001-04-01,4.89,2467.8,5.38,107.6,4.89,,60770.2
2001-05-01,4.82,2433.4,5.3,1061.0,4.82,,78506.2
2001-06-01,5.35,2701.74,5.89,1178.0,5.35,,61110.4
2001-07-01,5.29,2669.63,5.82,291.0,5.29,,58857.1
2001-08-01,4.72,2380.65,5.19,259.5,4.72,,31207.1
2001-09-01,3.99,2011.4,4.38,219.3,3.99,,15072.0
