,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,1096.71,1.26,,,,40410.0
1993-07-01,,1157.87,1.33,,,,111846.0
1993-08-01,,1021.81,1.18,60.1,,,111746.0
1993-09-01,,1205.5,1.39,70.9,,,399832.3
1993-10-01,,1159.58,1.34,68.2,,,266204.6
1993-11-01,,1033.29,1.2,60.8,,,114138.3
1993-12-01,,1148.1,1.33,67.6,,,451084.4
1994-01-01,,895.52,1.04,52.7,,,125527.1
1994-02-01,,786.45,0.91,46.3,,,64065.1
1994-03-01,,843.85,0.98,49.7,,,72105.4
1994-04-01,,665.9,0.77,11.6,,,51317.6
1994-05-01,,578.64,0.67,10.1,,,158919.5
1994-06-01,,557.98,0.65,9.7,,,256464.4
1994-07-01,,436.28,0.5,7.6,,,59662.8
1994-08-01,,455.8,0.53,7.9,,,89718.9
1994-09-01,,632.51,0.84,12.6,,,648834.3
1994-10-01,,678.16,0.9,13.5,,,653394.1
1994-11-01,,541.22,0.72,10.8,,,231099.6
1994-12-01,,526.88,0.7,10.5,,,52471.5
1995-01-01,,508.62,0.67,10.2,,,52482.4
1995-02-01,,440.8,0.58,8.8,,,22695.1
1995-03-01,,443.41,0.59,8.9,,,16708.2
1995-04-01,,492.97,0.65,13.5,,,72359.3
1995-05-01,,393.85,0.52,10.8,,,37798.1
1995-06-01,,414.72,0.55,11.4,,,114796.7
1995-07-01,,371.68,0.49,10.2,,,28686.6
1995-08-01,,388.64,0.51,10.6,,,50313.8
1995-09-01,,384.72,0.51,10.5,,,124995.7
1995-10-01,,391.24,0.52,21.4,,,35296.0
1995-11-01,,392.55,0.52,21.5,,,161284.8
1995-12-01,,361.25,0.48,19.8,,,496909.3
1996-01-01,,323.43,0.43,17.7,,,106507.1
1996-02-01,,301.26,0.4,16.5,,,11715.7
1996-03-01,,299.95,0.4,16.4,,,6335.1
1996-04-01,,292.13,0.39,16.0,,,18100.7
1996-05-01,,378.2,0.5,20.7,,,206486.6
1996-06-01,,331.25,0.44,36.3,,,196607.2
1996-07-01,,378.2,0.5,41.4,,,578542.2
1996-08-01,,731.63,0.97,80.1,,,1079955.0
1996-09-01,,629.9,0.83,69.0,,,326654.5
1996-10-01,,679.46,0.9,74.4,,,447016.4
1996-11-01,,1045.93,1.39,114.6,,,1494895.0
1996-12-01,,1220.68,1.62,133.7,,,1027191.0
1997-01-01,,692.5,0.92,75.9,,,427659.9
1997-02-01,,864.65,1.14,94.7,,,555988.6
1997-03-01,,983.33,1.3,94.3,,,373265.9
1997-04-01,,1108.53,1.47,106.3,,,474731.7
1997-05-01,,1012.02,1.34,97.0,,,348269.7
1997-06-01,,905.08,1.2,86.8,,,369062.3
1997-07-01,,854.22,1.13,81.9,,,177172.3
1997-08-01,,730.2,0.97,63.6,,,106738.2
1997-09-01,,869.35,1.15,75.8,,,268416.9
1997-10-01,,687.16,0.91,59.9,,,122528.1
1997-11-01,,748.85,0.99,65.3,,,116486.9
1997-12-01,,698.64,0.93,60.9,,,168213.6
1998-01-01,,750.28,0.99,65.4,,,102983.5
1998-02-01,,771.8,1.02,67.3,,,184999.7
1998-03-01,,766.06,1.01,66.8,,,103663.4
1998-04-01,,885.13,1.17,77.1,,,138129.6
1998-05-01,,986.98,1.31,86.0,,,605072.4
1998-06-01,,1113.23,1.47,,,,373274.5
1998-07-01,,1077.36,1.43,,,,255177.8
1998-08-01,,1372.88,1.82,,,,564587.8
1998-09-01,,1457.52,1.93,,,,199633.7
1998-10-01,,1747.31,2.31,,,,214314.4
1998-11-01,,1919.45,2.54,,,,106810.3
1998-12-01,,1953.88,2.59,,,,82097.6
1999-01-01,,1681.32,2.23,,,,52624.2
1999-02-01,4.79,1669.84,2.21,,4.79,,22262.1
1999-03-01,5.07,1765.96,2.34,,5.07,,9944.6
1999-04-01,5.31,1852.03,2.45,,5.31,,106946.7
1999-05-01,4.75,1656.93,2.19,,4.75,,71070.9
1999-06-01,5.35,1863.51,2.47,25.5,5.35,,101286.4
1999-07-01,9.84,3428.62,4.54,46.9,9.84,,294175.6
1999-08-01,10.29,3587.15,4.75,49.0,10.29,,122858.4
1999-09-01,10.24,3569.93,4.73,48.8,10.24,,56076.9
1999-10-01,10.61,3696.89,4.9,24.2,10.61,,54916.7
1999-11-01,9.82,3423.61,4.53,22.4,9.82,,19153.5
1999-12-01,9.29,3238.55,4.29,21.2,9.29,,23138.5
2000-01-01,9.21,2948.04,3.9,19.3,9.21,,83721.1
2000-02-01,11.67,3735.62,4.95,24.5,11.67,,155290.3
2000-03-01,14.0,4482.32,5.94,29.3,14.0,,174499.5
2000-04-01,13.14,4209.03,5.57,27.5,13.14,,128188.9
2000-05-01,12.45,3987.39,5.28,26.1,12.45,,89750.1
2000-06-01,12.86,4118.65,5.45,27.0,12.86,,50699.6
2000-07-01,13.09,4191.82,5.55,27.4,13.09,,150594.4
2000-08-01,13.67,4376.88,5.8,28.6,13.67,,83289.5
2000-09-01,11.34,3632.34,4.81,23.8,11.34,,114126.3
2000-10-01,11.08,3548.41,4.7,23.2,11.08,,31538.1
2000-11-01,10.72,3434.37,4.55,22.5,10.72,,29926.5
2000-12-01,10.68,3421.46,4.53,22.4,10.68,,108601.2
2001-01-01,4.37,3049.18,4.04,20.0,5.06,,96211.5
2001-02-01,4.32,3012.6,3.99,19.7,5.0,,48176.4
2001-03-01,3.74,2610.2,3.46,17.1,4.34,,20293.7
2001-04-01,4.29,2991.08,3.96,99.3,4.97,,76028.8
2001-05-01,4.18,2913.62,3.86,96.7,4.84,,63176.2
2001-06-01,4.56,3180.45,4.21,105.6,5.28,,80805.1
2001-07-01,4.33,3023.36,4.0,100.4,5.02,,68487.5
