,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,,,,,,
1993-10-01,,,,,,,
1993-11-01,,,,,,,
1993-12-01,,,,,,,
1994-01-01,,,,,,,
1994-02-01,,,,,,,
1994-03-01,,,,,,,
1994-04-01,,,,,,,
1994-05-01,,,,,,,
1994-06-01,,,,,,,
1994-07-01,,353.28,0.46,,,,199673.5
1994-08-01,,393.85,0.51,,,,122983.6
1994-09-01,,464.27,0.6,,,,424042.1
1994-10-01,,602.72,0.78,72.1,,,551481.6
1994-11-01,,491.72,0.63,58.9,,,160593.4
1994-12-01,,469.05,0.6,56.1,,,31840.5
1995-01-01,,451.14,0.58,54.0,,,33600.5
1995-02-01,,371.18,0.48,44.4,,,23675.7
1995-03-01,,384.31,0.5,46.0,,,26279.1
1995-04-01,,410.56,0.53,38.2,,,51857.1
1995-05-01,,350.89,0.45,32.7,,,25467.6
1995-06-01,,405.79,0.52,37.8,,,95812.5
1995-07-01,,381.92,0.49,35.6,,,27156.2
1995-08-01,,401.73,0.52,38.3,,,45011.8
1995-09-01,,403.04,0.52,38.4,,,93421.5
1995-10-01,,401.73,0.52,43.7,,,29868.5
1995-11-01,,442.43,0.57,48.1,,,410141.2
1995-12-01,,406.98,0.52,44.3,,,592280.1
1996-01-01,,379.41,0.49,41.3,,,147583.5
1996-02-01,,347.91,0.45,37.9,,,14668.2
1996-03-01,,342.65,0.44,37.3,,,4740.9
1996-04-01,,350.53,0.45,38.1,,,36551.3
1996-05-01,,456.87,0.59,49.7,,,132931.9
1996-06-01,,393.85,0.51,100.0,,,148328.9
1996-07-01,,401.73,0.52,102.0,,,232791.6
1996-08-01,,634.11,0.82,153.3,,,527771.9
1996-09-01,,577.59,0.74,,,,204165.7
1996-10-01,,538.99,0.7,,,,140515.6
1996-11-01,,1039.38,1.34,,,,942138.8
1996-12-01,,1174.47,1.51,,,,772592.4
1997-01-01,,689.24,0.89,,,,370566.9
1997-02-01,,762.3,0.98,,,,253323.7
1997-03-01,,900.15,1.16,217.7,,,210841.9
1997-04-01,,1123.47,1.45,271.7,,,358276.6
1997-05-01,,1015.95,1.31,245.7,,,190223.5
1997-06-01,,896.02,1.16,216.7,,,204523.1
1997-07-01,,894.64,1.15,216.3,,,144027.0
1997-08-01,,719.57,0.93,65.3,,,87488.4
1997-09-01,,729.22,0.94,66.1,,,97159.4
1997-10-01,,720.95,0.93,65.4,,,117637.5
1997-11-01,,926.34,1.19,84.0,,,292629.9
1997-12-01,,795.39,1.03,72.1,,,110743.7
1998-01-01,,820.2,1.06,74.4,,,60228.5
1998-02-01,,858.8,1.11,77.9,,,124475.8
1998-03-01,,873.96,1.13,79.3,,,50616.1
1998-04-01,,1124.85,1.45,102.0,,,134762.6
1998-05-01,,1494.28,1.93,135.5,,,231218.4
1998-06-01,,1763.09,2.27,,,,31265.8
1998-07-01,,1763.09,2.27,,,,
1998-08-01,,1763.09,2.27,,,,
1998-09-01,,1514.92,1.69,,,,422602.6
1998-10-01,,1661.14,1.85,,,,398638.3
1998-11-01,,1395.07,1.55,,,,135053.8
1998-12-01,,1510.13,1.68,,,,176622.1
1999-01-01,,1469.38,1.63,,,,180616.9
1999-02-01,1.76,1409.45,1.57,,1.76,,92053.6
1999-03-01,1.68,1349.53,1.5,,1.68,,17686.4
1999-04-01,1.88,1510.13,1.68,,1.88,,133612.3
1999-05-01,1.94,1553.27,1.73,,1.94,,328779.6
1999-06-01,1.97,1582.04,1.76,,1.97,,208249.7
1999-07-01,2.5,2006.31,2.23,,2.5,,789478.1
1999-08-01,2.42,1936.8,2.15,,2.42,,202571.8
1999-09-01,2.62,2099.8,2.34,26.5,2.62,,318124.6
1999-10-01,2.48,1989.53,2.21,25.2,2.48,,144264.9
1999-11-01,2.21,1773.8,1.97,22.4,2.21,,33331.3
1999-12-01,2.29,1831.33,2.04,23.2,2.29,,76685.7
2000-01-01,1.99,1713.88,1.91,21.7,1.99,,33836.1
2000-02-01,2.18,1874.48,2.09,23.7,2.18,,119232.2
2000-03-01,2.68,2301.15,2.56,29.1,2.68,,253464.3
2000-04-01,3.83,3298.31,3.67,41.7,3.83,,758644.3
2000-05-01,3.21,2758.98,3.07,34.9,3.21,,345844.5
2000-06-01,3.17,2727.82,3.03,34.5,3.17,,228002.2
2000-07-01,4.31,3703.41,4.12,46.8,4.31,,353609.5
2000-08-01,4.76,4096.52,4.56,51.8,4.76,,288162.3
2000-09-01,4.35,3739.36,4.16,47.3,4.35,,176845.9
2000-10-01,4.17,3585.95,3.99,45.3,4.17,,98227.2
2000-11-01,4.03,3462.5,3.85,43.8,4.03,,68535.8
2000-12-01,4.21,3617.11,4.02,45.7,4.21,,123355.9
2001-01-01,3.49,3437.33,3.82,43.5,3.49,,54734.8
2001-02-01,3.61,3559.58,3.96,45.0,3.61,,47974.5
2001-03-01,3.53,3473.29,3.86,43.9,3.53,,31759.3
2001-04-01,3.92,3865.2,4.3,48.9,3.92,,140938.9
2001-05-01,3.72,3660.26,4.07,29.6,3.72,,93487.8
2001-06-01,3.55,3498.46,3.89,37.4,3.55,,65934.9
2001-07-01,3.71,3653.07,4.06,39.1,3.71,,70137.6
2001-08-01,2.98,2937.55,3.27,31.4,2.98,,51568.8
2001-09-01,2.71,2664.29,2.96,28.5,2.71,,24104.8
2001-10-01,2.77,2729.01,3.04,29.2,2.77,,28655.0
2001-11-01,2.7,2660.7,2.96,28.5,2.7,,27068.0
2001-12-01,2.76,2718.23,3.02,29.1,2.76,,40527.8
2002-01-01,2.26,2534.85,2.82,27.1,2.26,,32266.6
