,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,562.4,3.03,,,,350.7
1993-09-01,,614.2,3.31,,,,1408.0
1993-10-01,,666.0,3.59,,,,1896.5
1993-11-01,,695.6,3.75,,,,2104.5
1993-12-01,,791.8,4.27,,,,17018.6
1994-01-01,,895.4,4.83,,,,6398.6
1994-02-01,,725.2,3.91,,,,2505.3
1994-03-01,,791.8,4.27,,,,1773.8
1994-04-01,,725.2,3.91,,,,112.7
1994-05-01,,666.0,3.59,,,,3134.2
1994-06-01,,710.4,3.83,,,,1864.0
1994-07-01,,679.32,3.66,,,,2958.8
1994-08-01,,611.24,3.3,,,,2813.5
1994-09-01,,666.0,3.59,,,,1490.7
1994-10-01,,592.0,3.19,,,,398.3
1994-11-01,,518.0,2.79,,,,207.9
1994-12-01,,444.0,2.39,,,,150.3
1995-01-01,5.48,569.8,3.07,,1.48,,360.8
1995-02-01,4.2,436.6,2.35,,1.14,,1175.0
1995-03-01,3.7,384.8,2.08,,1.0,,268.1
1995-04-01,3.85,399.6,2.16,,1.04,,350.7
1995-05-01,3.7,384.8,2.08,,1.0,,167.9
1995-06-01,2.99,310.8,1.68,,0.81,,233.0
1995-07-01,2.99,310.8,1.68,,0.81,,
1995-08-01,2.85,296.0,1.6,,0.77,,623.8
1995-09-01,2.56,266.4,1.44,,0.69,,368.3
1995-10-01,2.14,222.0,1.2,,0.58,,350.7
1995-11-01,2.49,259.0,1.4,,0.67,,26185.6
1995-12-01,2.35,244.2,1.32,,0.64,,46150.5
1996-01-01,1.95,222.0,1.2,,0.53,,61438.0
1996-02-01,1.91,217.56,1.17,,0.52,,29710.6
1996-03-01,1.95,222.0,1.2,,0.53,,7052.5
1996-04-01,1.96,223.48,1.21,,0.53,,497.9
1996-05-01,3.03,344.84,1.86,,0.82,,2769.4
1996-06-01,3.69,420.32,2.27,,1.0,,4905.0
1996-07-01,4.54,517.56,2.79,,1.23,,8172.4
1996-08-01,5.39,613.76,3.31,,1.46,,4016.0
1996-09-01,3.9,444.44,2.4,18.2,1.05,,2019.7
1996-10-01,4.27,486.77,2.63,20.0,1.15,,431.0
1996-11-01,4.02,457.91,2.47,18.8,1.09,,123.1
1996-12-01,6.42,731.12,3.94,30.0,1.73,,3479.2
1997-01-01,5.6,746.51,4.03,30.6,1.51,,42772.4
1997-02-01,5.8,773.45,4.17,31.7,1.57,,9876.2
1997-03-01,5.6,746.51,4.03,14.4,1.51,,8695.6
1997-04-01,6.05,806.16,4.35,15.6,1.63,,10577.2
1997-05-01,7.94,1058.2,5.71,20.4,2.15,,13331.9
1997-06-01,6.68,890.81,4.8,17.2,1.81,,4498.3
1997-07-01,5.11,681.1,3.67,3.2,1.38,,1884.8
1997-08-01,5.35,713.42,3.85,3.3,1.45,,2045.7
1997-09-01,5.46,727.27,3.92,25.9,1.47,,3143.2
1997-10-01,5.02,669.55,3.61,23.9,1.36,,866.4
1997-11-01,4.07,542.57,2.93,19.3,1.1,,455.3
1997-12-01,3.72,496.39,2.68,17.7,1.01,,451.6
1998-01-01,3.17,480.23,2.59,17.1,0.86,,214.5
1998-02-01,2.88,436.36,2.35,15.6,0.78,,377.3
1998-03-01,3.62,549.49,2.96,6.9,0.98,,894.5
1998-04-01,3.29,498.7,2.69,6.2,0.89,,719.6
1998-05-01,4.06,616.45,3.33,7.7,1.1,,758.4
1998-06-01,4.43,671.86,3.62,8.4,1.2,,1236.0
1998-07-01,3.69,559.88,3.02,7.0,1.0,,320.3
1998-08-01,2.47,375.18,2.02,4.7,0.67,,527.1
1998-09-01,2.57,389.61,2.1,4.9,0.69,,1485.2
1998-10-01,2.83,430.01,2.32,5.4,0.77,,1856.7
1998-11-01,2.53,383.84,2.07,4.8,0.68,,262.4
1998-12-01,2.11,320.35,1.73,4.0,0.57,,422.8
1999-01-01,1.8,329.0,1.77,4.1,0.49,,205.0
1999-02-01,1.5,274.17,1.48,3.4,0.4,,147.4
1999-03-01,1.89,346.32,1.87,4.2,0.51,,256.2
1999-04-01,2.05,375.18,2.02,4.6,0.55,,322.7
1999-05-01,2.83,519.48,2.8,6.3,0.77,,2066.2
1999-06-01,4.13,756.13,4.08,9.2,1.12,,2297.1
1999-07-01,6.95,1273.45,6.87,15.5,1.88,,11918.7
1999-08-01,5.22,955.99,5.16,11.6,1.41,,6627.6
1999-09-01,4.88,894.66,4.83,13.4,1.32,,1576.6
1999-10-01,4.8,880.23,4.75,13.2,1.3,,544.2
1999-11-01,4.13,757.57,4.09,11.3,1.12,,752.0
1999-12-01,4.35,797.26,4.3,11.9,1.18,,1015.5
2000-01-01,2.95,927.13,5.0,13.9,1.09,,1043.0
2000-02-01,3.77,1186.87,6.4,17.7,1.4,,2978.8
2000-03-01,3.41,1071.43,5.78,8.1,1.26,,1949.1
2000-04-01,3.34,1049.78,5.66,8.0,1.24,,1954.6
2000-05-01,3.75,1179.65,6.36,9.0,1.39,,3443.7
2000-06-01,4.67,1468.25,7.92,11.1,1.73,,6359.8
2000-07-01,4.14,1303.21,7.03,9.9,1.53,,6272.9
2000-08-01,4.35,1366.34,7.37,10.4,1.61,,1849.8
2000-09-01,4.45,1397.91,7.54,16.1,1.65,,6687.9
2000-10-01,4.3,1352.81,7.3,15.6,1.59,,3528.9
2000-11-01,4.53,1424.96,7.69,16.5,1.68,,1848.4
2000-12-01,4.53,1424.96,7.69,16.5,1.68,,2184.3
2001-01-01,4.18,1564.75,8.44,18.1,1.55,,2503.7
2001-02-01,4.27,1600.83,8.63,18.5,1.58,,2401.4
2001-03-01,4.86,1821.79,9.83,10.8,1.8,,1070.6
