,MTBV,MV,P,PE,PTBV,VA,VO
1990-01-01,,,,,,,
1990-02-01,,,,,,,
1990-03-01,,,,,,,
1990-04-01,,,,,,,
1990-05-01,,,,,,,
1990-06-01,,,,,,,
1990-07-01,,,,,,,
1990-08-01,,,,,,,
1990-09-01,,,,,,,
1990-10-01,,,,,,,
1990-11-01,,,,,,,
1990-12-01,,,,,,,
1991-01-01,,,,,,,
1991-02-01,,,,,,,
1991-03-01,,,,,,,
1991-04-01,,,,,,,
1991-05-01,,,,,,,
1991-06-01,,,,,,,
1991-07-01,,,,,,,
1991-08-01,,,,,,,
1991-09-01,,,,,,,
1991-10-01,,,,,,,
1991-11-01,,,,,,,
1991-12-01,,,,,,,
1992-01-01,,,,,,,
1992-02-01,,,,,,,
1992-03-01,,,,,,,
1992-04-01,,,,,,,
1992-05-01,,,,,,,
1992-06-01,,,,,,,
1992-07-01,,,,,,,
1992-08-01,,,,,,,
1992-09-01,,,,,,,
1992-10-01,,,,,,,
1992-11-01,,,,,,,
1992-12-01,,,,,,,
1993-01-01,,,,,,,
1993-02-01,,,,,,,
1993-03-01,,,,,,,
1993-04-01,,,,,,,
1993-05-01,,,,,,,
1993-06-01,,,,,,,
1993-07-01,,,,,,,
1993-08-01,,,,,,,
1993-09-01,,587.56,1.15,,,,112551.8
1993-10-01,,547.04,1.07,,,,37222.8
1993-11-01,,481.19,0.94,,,,23654.1
1993-12-01,,539.44,1.06,,,,117752.5
1994-01-01,,450.8,0.88,,,,39875.0
1994-02-01,,400.15,0.79,,,,27831.6
1994-03-01,,435.61,0.85,,,,45068.6
1994-04-01,,344.43,0.68,21.3,,,44466.0
1994-05-01,,261.36,0.51,16.1,,,54246.5
1994-06-01,,245.56,0.46,14.4,,,68364.8
1994-07-01,,186.0,0.35,10.9,,,23004.9
1994-08-01,,197.54,0.37,11.6,,,31938.4
1994-09-01,,278.39,0.52,16.4,,,233923.3
1994-10-01,,382.93,0.71,21.7,,,420231.0
1994-11-01,,313.03,0.58,17.8,,,189115.6
1994-12-01,,308.78,0.57,17.5,,,37124.9
1995-01-01,,431.56,0.8,24.5,,,217118.3
1995-02-01,,313.03,0.58,17.8,,,40766.6
1995-03-01,,324.58,0.6,18.4,,,26983.9
1995-04-01,,339.78,0.63,37.3,,,87666.9
1995-05-01,,345.85,0.64,37.9,,,141414.2
1995-06-01,,370.17,0.69,40.6,,,180296.2
1995-07-01,,347.07,0.65,38.1,,,41699.6
1995-08-01,,349.5,0.65,38.3,,,33947.8
1995-09-01,,295.41,0.55,32.4,,,82021.9
1995-10-01,,304.52,0.57,55.7,,,32423.5
1995-11-01,,320.93,0.6,58.7,,,61329.1
1995-12-01,,297.84,0.55,54.4,,,448570.2
1996-01-01,,268.66,0.5,49.1,,,83044.3
1996-02-01,,239.48,0.45,43.8,,,22164.0
1996-03-01,,244.04,0.45,45.1,,,5407.1
1996-04-01,,244.71,0.45,45.2,,,10824.5
1996-05-01,,304.22,0.57,56.2,,,76280.7
1996-06-01,,461.34,0.86,115.0,,,225817.6
1996-07-01,,554.95,1.03,138.3,,,929569.4
1996-08-01,,548.93,1.02,136.8,,,251101.4
1996-09-01,,481.4,0.89,120.0,,,122383.3
1996-10-01,,540.91,1.01,134.8,,,210638.4
1996-11-01,,609.77,1.13,152.0,,,367184.5
1996-12-01,,626.49,1.16,156.2,,,272022.8
1997-01-01,,414.54,0.77,103.3,,,216557.3
1997-02-01,,508.14,0.94,126.7,,,190132.1
1997-03-01,,554.28,1.03,75.4,,,91750.0
1997-04-01,,660.59,1.23,89.8,,,196125.2
1997-05-01,,1093.18,2.03,148.6,,,297119.1
1997-06-01,,949.43,1.76,129.1,,,184056.4
1997-07-01,,988.87,1.84,134.5,,,138870.4
1997-08-01,,926.02,1.72,44.7,,,103067.5
1997-09-01,,909.31,1.69,43.9,,,73142.6
1997-10-01,,750.18,1.39,36.2,,,53016.0
1997-11-01,,861.84,1.6,41.6,,,56513.3
1997-12-01,,792.3,1.47,38.2,,,40025.3
1998-01-01,,960.79,1.79,46.4,,,100580.8
1998-02-01,,1061.08,1.97,51.2,,,103151.1
1998-03-01,,1036.35,1.93,50.0,,,59747.5
1998-04-01,,1343.91,2.5,55.8,,,95063.8
1998-05-01,,1688.91,3.14,70.2,,,123683.4
1998-06-01,,1388.84,2.58,57.7,,,228661.4
1998-07-01,,1333.48,2.48,55.4,,,42425.7
1998-08-01,,1345.51,2.5,55.9,,,114489.3
1998-09-01,,1009.74,1.88,46.6,,,68846.1
1998-10-01,,1155.36,2.15,53.3,,,67962.9
1998-11-01,,1251.64,2.33,57.8,,,89527.3
1998-12-01,,1149.34,2.14,53.1,,,40355.6
1999-01-01,,1101.2,2.05,50.8,,,11613.4
1999-02-01,4.81,1067.5,1.98,49.3,4.81,,15936.1
1999-03-01,4.61,1022.97,1.9,47.2,4.61,,4958.1
1999-04-01,5.04,1119.25,2.08,51.7,5.04,,23357.2
1999-05-01,5.34,1186.65,2.21,54.8,5.34,,53415.0
1999-06-01,6.17,1369.58,2.55,56.9,6.17,,116416.6
1999-07-01,7.05,1564.55,2.91,65.0,7.05,,193150.5
1999-08-01,6.95,1542.89,2.87,64.1,6.95,,70426.7
1999-09-01,6.49,1441.79,2.68,63.1,6.49,,32849.7
1999-10-01,6.5,1444.2,2.68,63.2,6.5,,27715.0
1999-11-01,6.63,1473.08,2.74,64.4,6.63,,13599.7
1999-12-01,7.29,1618.71,3.01,70.8,7.29,,94046.4
2000-01-01,6.21,1424.94,2.65,62.3,6.21,,27199.1
2000-02-01,7.03,1611.49,3.0,70.5,7.03,,42375.3
2000-03-01,7.19,1650.0,3.07,72.2,7.19,,120628.6
2000-04-01,7.98,1830.52,3.4,80.1,7.98,,157550.9
2000-05-01,7.76,1778.77,3.31,77.8,7.76,,117902.0
2000-06-01,7.29,1671.66,3.11,73.1,7.29,,36266.2
2000-07-01,7.29,1671.66,3.11,73.1,7.29,,43958.2
2000-08-01,7.82,1794.42,3.34,78.5,7.82,,40209.2
2000-09-01,7.63,1749.89,3.25,76.5,7.63,,59983.5
2000-10-01,7.38,1692.12,3.14,74.0,7.38,,16581.9
2000-11-01,7.82,1793.21,3.33,78.4,7.82,,24155.4
2000-12-01,9.07,2080.85,3.87,91.0,9.07,,107887.1
2001-01-01,5.97,2124.18,3.95,92.9,6.09,,64458.5
2001-02-01,5.62,2001.3,3.65,85.8,5.62,,36413.6
2001-03-01,5.46,1943.94,3.54,83.3,5.46,,17516.5
2001-04-01,5.82,2073.01,3.78,88.9,5.82,,31955.0
2001-05-01,5.63,2005.21,3.65,54.9,5.63,,45684.1
2001-06-01,6.26,2229.46,4.06,61.1,6.26,,40360.4
2001-07-01,6.21,2212.51,4.03,60.6,6.21,,70707.4
2001-08-01,5.75,2048.24,3.73,56.1,5.75,,22640.1
